	SHH_INV_models44728.py	SHH_INV_models16521.py	SHH_INV_models29114.py	SHH_INV_models19205.py	SHH_INV_models21231.py	SHH_INV_models41734.py	SHH_INV_models46024.py	SHH_INV_models38317.py	SHH_INV_models4783.py	SHH_INV_models17285.py	SHH_INV_models47949.py	SHH_INV_models9775.py	SHH_INV_models9343.py	SHH_INV_models44527.py	SHH_INV_models27324.py	SHH_INV_models48063.py	SHH_INV_models32989.py	SHH_INV_models12294.py	SHH_INV_models35185.py	SHH_INV_models41236.py	SHH_INV_models49623.py	SHH_INV_models41504.py	SHH_INV_models33250.py	SHH_INV_models11878.py	SHH_INV_models32588.py	SHH_INV_models4738.py	SHH_INV_models10603.py	SHH_INV_models46386.py	SHH_INV_models36367.py	SHH_INV_models31544.py	SHH_INV_models752.py	SHH_INV_models9934.py	SHH_INV_models12136.py	SHH_INV_models303.py	SHH_INV_models31360.py	SHH_INV_models37821.py	SHH_INV_models24877.py	SHH_INV_models26389.py	SHH_INV_models7085.py	SHH_INV_models4335.py	SHH_INV_models14218.py	SHH_INV_models7363.py	SHH_INV_models3889.py	SHH_INV_models42182.py	SHH_INV_models5675.py	SHH_INV_models27731.py	SHH_INV_models34635.py	SHH_INV_models11759.py	SHH_INV_models26656.py	SHH_INV_models16997.py	SHH_INV_models34908.py	SHH_INV_models23069.py	SHH_INV_models24075.py	SHH_INV_models1789.py	SHH_INV_models39397.py	SHH_INV_models19979.py	SHH_INV_models18336.py	SHH_INV_models44002.py	SHH_INV_models4565.py	SHH_INV_models33503.py	SHH_INV_models43247.py	SHH_INV_models27753.py	SHH_INV_models407.py	SHH_INV_models31807.py	SHH_INV_models2428.py	SHH_INV_models42632.py	SHH_INV_models23162.py	SHH_INV_models8993.py	SHH_INV_models35750.py	SHH_INV_models28130.py	SHH_INV_models46914.py	SHH_INV_models9435.py	SHH_INV_models30420.py	SHH_INV_models6283.py	SHH_INV_models49486.py	SHH_INV_models34488.py	SHH_INV_models43398.py	SHH_INV_models29109.py	SHH_INV_models15318.py	SHH_INV_models39520.py	SHH_INV_models10717.py	SHH_INV_models853.py	SHH_INV_models48219.py	SHH_INV_models2647.py	SHH_INV_models48908.py	SHH_INV_models368.py	SHH_INV_models9466.py	SHH_INV_models15230.py	SHH_INV_models44068.py	SHH_INV_models43522.py	SHH_INV_models15177.py	SHH_INV_models19031.py	SHH_INV_models39150.py	SHH_INV_models34346.py	SHH_INV_models9432.py	SHH_INV_models20110.py	SHH_INV_models15480.py	SHH_INV_models12007.py	SHH_INV_models34874.py	SHH_INV_models19526.py	SHH_INV_models25486.py	SHH_INV_models44933.py	SHH_INV_models35015.py	SHH_INV_models28526.py	SHH_INV_models13586.py	SHH_INV_models3099.py	SHH_INV_models8262.py	SHH_INV_models31200.py	SHH_INV_models23205.py	SHH_INV_models47621.py	SHH_INV_models22324.py	SHH_INV_models37826.py	SHH_INV_models763.py	SHH_INV_models15545.py	SHH_INV_models14303.py	SHH_INV_models20474.py	SHH_INV_models21021.py	SHH_INV_models29121.py	SHH_INV_models49468.py	SHH_INV_models12977.py	SHH_INV_models7749.py	SHH_INV_models35953.py	SHH_INV_models13243.py	SHH_INV_models34617.py	SHH_INV_models17609.py	SHH_INV_models16734.py	SHH_INV_models48431.py	SHH_INV_models32647.py	SHH_INV_models46709.py	SHH_INV_models41489.py	SHH_INV_models41662.py	SHH_INV_models32470.py	SHH_INV_models49367.py	SHH_INV_models10563.py	SHH_INV_models7413.py	SHH_INV_models43979.py	SHH_INV_models31285.py	SHH_INV_models13852.py	SHH_INV_models13110.py	SHH_INV_models6069.py	SHH_INV_models28719.py	SHH_INV_models46385.py	SHH_INV_models48188.py	SHH_INV_models45646.py	SHH_INV_models24452.py	SHH_INV_models31761.py	SHH_INV_models18693.py	SHH_INV_models8715.py	SHH_INV_models31246.py	SHH_INV_models4864.py	SHH_INV_models8640.py	SHH_INV_models17914.py	SHH_INV_models1242.py	SHH_INV_models29492.py	SHH_INV_models2093.py	SHH_INV_models43953.py	SHH_INV_models5998.py	SHH_INV_models25902.py	SHH_INV_models219.py	SHH_INV_models11501.py	SHH_INV_models16003.py	SHH_INV_models19930.py	SHH_INV_models38269.py	SHH_INV_models45486.py	SHH_INV_models10289.py	SHH_INV_models25286.py	SHH_INV_models14269.py	SHH_INV_models36537.py	SHH_INV_models20421.py	SHH_INV_models29262.py	SHH_INV_models23725.py	SHH_INV_models19816.py	SHH_INV_models10829.py	SHH_INV_models18000.py	SHH_INV_models35002.py	SHH_INV_models12621.py	SHH_INV_models47672.py	SHH_INV_models24874.py	SHH_INV_models41386.py	SHH_INV_models1146.py	SHH_INV_models48988.py	SHH_INV_models28974.py	SHH_INV_models9425.py	SHH_INV_models19215.py	SHH_INV_models8192.py	SHH_INV_models6414.py	SHH_INV_models23766.py	SHH_INV_models40758.py	SHH_INV_models32339.py	SHH_INV_models3097.py	SHH_INV_models23234.py	SHH_INV_models34009.py	SHH_INV_models13349.py	SHH_INV_models36972.py	SHH_INV_models2826.py	SHH_INV_models8594.py	SHH_INV_models35358.py	SHH_INV_models14491.py	SHH_INV_models48061.py	SHH_INV_models44526.py	
SHH_INV_models44728.py	0.0	3043.925	3045.294	351.225	425.876	719.149	3019.795	3003.907	3085.813	3011.19	498.404	2983.867	3009.756	3013.777	3112.718	645.339	3082.669	533.242	3160.331	819.652	3187.247	617.391	479.844	517.761	580.072	3093.444	764.955	3002.138	2995.099	3139.626	1010.17	818.417	871.104	3212.129	3245.323	3284.356	1188.441	1315.96	2232.958	2258.961	3489.721	2214.715	3471.845	2197.468	2203.228	2152.645	3456.231	2188.235	3441.675	2211.083	2207.032	3474.799	3496.925	2243.055	2246.151	2240.146	2165.408	2240.569	2226.082	3462.482	2201.463	3475.565	2164.838	3471.536	3473.252	2277.031	2143.86	3475.275	2178.718	3449.96	2260.752	2129.287	3475.98	2161.68	3457.426	2256.261	2143.758	2217.558	3483.956	3452.35	3469.109	2271.776	2245.922	2175.903	3486.069	2122.465	3465.505	3491.365	3468.266	3458.998	3449.804	3472.396	2221.5	2241.768	2166.681	3458.562	3486.727	3467.229	3489.492	2127.292	2241.884	3480.464	3472.156	2255.446	3462.901	2176.246	2143.116	3455.759	2201.79	3468.35	3493.039	3491.975	3464.198	2197.231	3488.471	3485.475	2255.174	3451.786	3471.338	3456.703	3441.813	3461.93	2163.858	2216.894	2233.858	3499.396	2201.618	2250.656	3472.911	3446.469	2239.279	3456.082	2200.914	3472.525	3463.831	3451.235	3477.705	3480.642	2243.255	2212.782	2213.169	2252.432	3485.161	2227.568	3486.392	2275.075	2247.899	2145.472	3480.06	3469.758	2223.352	3442.819	2170.303	3500.309	2102.919	2248.708	2240.16	2172.753	2138.784	3465.954	3460.949	2271.917	2239.274	2137.885	2159.254	3506.177	2196.662	2261.288	3474.726	3462.714	2160.491	3493.435	2255.472	3495.18	2243.477	3468.095	3471.03	2120.287	3506.904	2268.77	3456.73	2189.702	3478.122	2165.127	3486.915	3468.543	3449.446	2256.444	2242.492	2221.198	3480.87	2261.795	3476.304	3461.064	2266.906	3480.96	2261.812	2210.884	2225.421	2222.746	
SHH_INV_models16521.py	3043.925	0.0	313.89	3046.13	3035.973	3114.979	611.662	515.497	439.32	493.393	3054.954	439.668	629.45	501.606	578.461	3148.94	507.587	3132.419	1045.596	3167.754	945.818	3072.288	2998.077	3130.52	3045.086	488.089	3233.64	537.451	538.485	707.829	3265.395	3208.482	2970.434	1142.614	1140.908	1005.631	3318.931	3459.752	3506.723	3524.702	2170.358	3510.592	2247.045	3517.985	3527.519	3524.541	2269.134	3489.925	2215.821	3489.544	3554.706	2334.879	2263.292	3521.358	3498.308	3497.781	3536.638	3509.047	3517.547	2297.889	3511.382	2232.629	3511.28	2211.957	2185.088	3515.932	3503.7	2297.908	3521.194	2254.323	3496.777	3540.153	2228.343	3533.321	2253.916	3515.388	3511.393	3517.282	2111.981	2299.806	2174.905	3503.034	3503.381	3499.57	2252.034	3527.165	2202.27	2258.166	2263.718	2307.748	2309.052	2260.598	3494.75	3507.873	3503.584	2327.144	2231.796	2240.984	2250.728	3520.175	3524.936	2148.665	2336.592	3515.708	2337.266	3535.959	3553.458	2243.775	3495.409	2295.754	2287.201	2256.937	2244.167	3499.736	2270.617	2269.272	3532.523	2316.248	2347.409	2326.348	2272.606	2228.339	3527.875	3466.708	3505.519	2325.939	3526.43	3504.986	2320.035	2319.466	3495.192	2318.876	3515.337	2257.809	2237.54	2326.251	2309.189	2223.893	3492.094	3510.217	3537.577	3507.022	2202.184	3510.544	2173.775	3482.755	3542.035	3508.192	2292.822	2330.453	3483.227	2321.159	3486.593	2239.053	3529.19	3499.849	3538.914	3520.362	3530.881	2335.588	2327.89	3499.295	3494.662	3508.825	3491.345	2310.919	3504.503	3517.284	2292.546	2239.232	3506.461	2356.015	3486.285	2199.293	3508.738	2202.929	2317.297	3538.809	2264.175	3518.925	2295.842	3498.668	2268.924	3515.781	2316.034	2230.798	2329.36	3503.495	3471.649	3485.192	2346.927	3501.206	2330.279	2315.704	3533.353	2213.594	3539.332	3536.359	3483.313	3517.202	
SHH_INV_models29114.py	3045.294	313.89	0.0	3051.86	3031.54	3145.855	576.264	503.578	434.047	345.433	3057.273	520.178	690.67	359.701	644.578	3170.915	450.383	3148.374	1048.634	3189.302	932.683	3098.642	3013.035	3148.567	3057.206	539.525	3254.47	512.034	527.29	656.347	3295.35	3224.694	2961.485	1123.622	1094.835	969.615	3342.761	3485.098	3537.053	3547.157	2181.608	3535.354	2257.28	3543.995	3551.22	3543.308	2255.488	3516.936	2221.964	3508.176	3583.53	2340.231	2277.153	3545.638	3530.209	3517.863	3552.217	3532.892	3537.801	2290.167	3535.039	2217.735	3534.268	2219.658	2178.937	3540.757	3514.706	2293.972	3546.491	2274.907	3521.121	3552.612	2227.967	3550.163	2259.17	3540.226	3532.401	3537.994	2118.786	2294.593	2166.563	3529.515	3532.471	3528.91	2258.335	3547.682	2192.431	2255.884	2264.441	2317.287	2309.533	2254.74	3520.185	3522.593	3520.521	2327.543	2218.032	2236.244	2250.335	3540.317	3552.875	2128.643	2326.98	3538.326	2331.802	3553.297	3583.186	2233.988	3516.744	2300.951	2287.945	2270.593	2237.189	3526.028	2261.498	2257.796	3550.029	2317.476	2346.424	2325.222	2264.853	2219.448	3541.108	3491.957	3520.311	2300.081	3540.44	3532.975	2302.333	2330.499	3517.265	2315.337	3524.191	2268.171	2246.468	2321.952	2306.431	2233.272	3518.529	3542.723	3556.187	3534.62	2208.587	3527.977	2183.603	3501.742	3558.909	3525.225	2290.1	2321.903	3506.008	2318.122	3507.208	2216.425	3547.088	3521.711	3570.746	3543.083	3558.409	2330.298	2340.271	3522.478	3516.111	3527.297	3512.172	2297.629	3523.843	3550.056	2292.418	2223.983	3524.227	2345.94	3512.019	2203.37	3533.128	2207.667	2317.058	3549.069	2263.285	3551.416	2280.118	3513.536	2258.196	3528.592	2311.546	2228.664	2327.969	3525.865	3493.719	3508.39	2325.892	3521.569	2317.795	2308.368	3552.77	2193.793	3568.486	3561.391	3511.46	3535.143	
SHH_INV_models19205.py	351.225	3046.13	3051.86	0.0	527.543	774.571	3052.82	3028.381	3073.103	3020.088	626.007	2993.73	3023.572	3028.139	3116.233	736.667	3074.605	664.289	3146.749	883.76	3167.316	756.109	469.293	545.842	724.967	3074.575	879.682	2999.698	3000.417	3120.941	1056.667	921.63	894.031	3175.194	3201.194	3242.005	1287.588	1428.313	2212.122	2236.078	3479.941	2208.44	3461.332	2175.021	2193.604	2134.835	3453.348	2165.788	3440.773	2200.203	2201.912	3466.877	3492.396	2227.024	2228.568	2221.029	2170.491	2224.229	2179.628	3455.637	2185.885	3476.814	2163.281	3463.37	3462.405	2252.245	2139.548	3462.979	2168.245	3442.254	2246.775	2128.431	3475.945	2149.938	3453.248	2231.467	2131.94	2220.96	3481.0	3446.086	3454.976	2262.044	2225.138	2156.585	3465.33	2110.132	3463.008	3481.091	3454.001	3449.242	3447.667	3466.658	2227.501	2213.429	2169.855	3452.434	3491.293	3467.328	3485.879	2125.205	2232.075	3475.405	3468.229	2237.723	3453.416	2172.054	2141.269	3455.985	2193.598	3464.548	3484.005	3477.113	3468.581	2163.95	3497.074	3469.984	2236.863	3449.874	3460.269	3452.382	3432.187	3456.869	2173.988	2194.222	2220.621	3489.401	2161.467	2254.189	3462.769	3441.833	2215.693	3460.193	2169.11	3458.081	3459.062	3440.286	3468.208	3474.621	2215.104	2183.513	2211.294	2234.802	3475.798	2198.305	3481.203	2236.121	2231.872	2127.744	3472.856	3450.472	2207.416	3436.332	2171.472	3498.888	2104.391	2233.959	2216.016	2161.808	2125.011	3461.788	3452.731	2256.741	2221.111	2148.352	2143.281	3493.044	2162.286	2240.682	3466.373	3464.088	2159.019	3483.518	2247.759	3478.994	2226.031	3464.695	3452.859	2125.565	3502.912	2238.689	3443.141	2169.113	3466.508	2138.451	3474.224	3467.79	3439.023	2244.949	2216.551	2204.854	3472.713	2235.135	3463.892	3461.248	2246.535	3478.156	2234.307	2165.793	2215.376	2220.301	
SHH_INV_models21231.py	425.876	3035.973	3031.54	527.543	0.0	879.532	2999.467	3003.31	3084.177	3000.166	402.299	2965.869	2987.51	2999.906	3098.192	777.804	3066.147	605.734	3144.803	933.106	3181.356	666.862	628.544	679.041	631.989	3082.166	937.966	3003.294	3014.276	3136.914	1172.269	911.293	913.485	3246.225	3260.493	3277.146	1238.384	1365.869	2298.842	2281.087	3509.47	2262.654	3499.663	2239.86	2247.54	2174.267	3490.065	2231.943	3465.867	2258.955	2225.985	3499.605	3517.043	2287.901	2296.93	2279.219	2164.805	2265.645	2265.776	3480.277	2244.389	3500.574	2201.245	3508.126	3500.576	2315.165	2174.8	3496.071	2216.835	3484.239	2301.229	2144.803	3489.441	2210.524	3483.209	2320.754	2193.016	2224.077	3521.269	3481.561	3506.781	2311.838	2311.322	2247.671	3516.826	2182.555	3501.395	3530.046	3490.745	3487.2	3461.477	3495.992	2265.934	2263.147	2179.58	3492.015	3516.722	3497.826	3514.288	2170.004	2289.463	3503.296	3489.992	2322.205	3482.034	2214.588	2168.032	3482.736	2248.297	3479.317	3524.077	3509.374	3497.161	2253.551	3532.952	3502.376	2299.212	3484.577	3492.016	3479.605	3464.612	3484.326	2173.399	2265.78	2270.506	3517.724	2204.082	2318.931	3491.668	3478.605	2303.654	3479.565	2207.462	3490.254	3500.26	3480.483	3498.974	3494.235	2289.085	2284.628	2233.082	2313.095	3516.85	2275.576	3516.982	2316.533	2264.243	2175.536	3504.422	3491.767	2276.571	3469.216	2206.626	3521.92	2127.98	2309.439	2325.92	2246.082	2194.637	3486.828	3488.244	2313.826	2293.86	2168.042	2211.341	3530.322	2261.66	2327.827	3499.206	3490.537	2226.459	3509.083	2311.59	3524.166	2293.898	3490.355	3487.591	2139.623	3550.296	2331.179	3479.144	2241.428	3506.411	2180.149	3500.493	3485.33	3469.675	2306.748	2295.241	2283.404	3491.936	2322.282	3497.239	3477.31	2311.27	3505.738	2327.355	2274.557	2273.965	2221.572	
SHH_INV_models41734.py	719.149	3114.979	3145.855	774.571	879.532	0.0	3078.721	3077.895	3171.736	3120.23	797.961	3048.589	3064.144	3126.983	3129.323	511.084	3191.883	759.264	3146.168	568.719	3185.719	744.612	789.812	642.495	669.837	3167.067	739.739	3087.11	3093.331	3188.484	723.154	609.948	1173.693	3179.857	3241.699	3304.803	956.853	1095.361	2253.766	2304.304	3488.674	2295.467	3480.613	2281.5	2212.159	2263.159	3479.062	2250.391	3447.581	2266.251	2236.39	3484.703	3496.047	2296.336	2263.055	2320.536	2286.787	2332.494	2313.631	3477.579	2272.16	3504.586	2270.889	3480.032	3493.117	2331.474	2261.864	3495.767	2268.907	3465.89	2330.916	2289.64	3500.121	2307.489	3462.521	2227.722	2195.79	2256.279	3502.063	3457.31	3494.095	2356.153	2294.281	2218.776	3478.781	2217.858	3487.924	3498.988	3480.017	3476.738	3462.839	3487.26	2305.728	2339.124	2245.32	3471.785	3523.16	3481.938	3510.506	2241.84	2238.001	3510.094	3484.546	2330.421	3476.373	2213.098	2132.36	3496.295	2286.899	3470.746	3500.882	3497.563	3480.529	2282.483	3515.825	3511.681	2291.317	3457.618	3476.739	3480.738	3464.62	3491.408	2287.238	2272.938	2262.27	3513.893	2315.574	2295.642	3492.704	3457.064	2326.503	3463.463	2319.753	3481.214	3472.072	3464.932	3487.417	3503.794	2240.895	2275.759	2307.919	2301.387	3499.776	2258.215	3503.182	2311.492	2331.703	2289.197	3509.346	3485.246	2280.669	3466.113	2264.276	3521.633	2256.9	2325.235	2214.73	2249.788	2152.943	3485.531	3453.663	2354.337	2274.983	2289.163	2224.013	3523.972	2225.635	2329.083	3490.766	3514.572	2259.574	3511.061	2311.688	3502.043	2288.621	3489.016	3487.416	2287.89	3522.967	2305.167	3488.414	2220.078	3495.741	2322.094	3500.927	3503.898	3476.168	2338.097	2274.914	2318.709	3500.452	2285.877	3496.003	3475.469	2353.816	3513.647	2291.621	2199.352	2237.937	2290.991	
SHH_INV_models46024.py	3019.795	611.662	576.264	3052.82	2999.467	3078.721	0.0	428.117	785.242	594.601	3010.404	467.727	559.072	511.054	564.958	3086.875	788.296	3075.572	918.334	3091.027	954.164	3025.832	3022.585	3124.025	3002.032	872.128	3149.051	754.309	798.822	839.633	3177.247	3106.146	2967.926	1152.631	1202.955	1169.2	3207.289	3329.739	3484.636	3472.595	2133.186	3462.143	2217.6	3480.306	3480.395	3477.73	2219.454	3460.533	2149.252	3442.09	3496.679	2277.919	2234.776	3472.506	3460.852	3450.769	3468.572	3460.681	3493.914	2218.867	3470.453	2161.437	3472.308	2209.326	2152.114	3473.298	3450.758	2259.588	3475.896	2237.613	3454.977	3488.861	2144.689	3492.218	2208.016	3477.066	3461.193	3462.368	2111.696	2207.767	2154.656	3458.694	3482.488	3478.841	2241.628	3488.94	2167.898	2236.241	2201.104	2272.954	2239.312	2216.557	3450.317	3456.587	3451.884	2288.282	2187.42	2180.196	2229.657	3474.036	3488.818	2102.296	2276.301	3471.678	2290.569	3469.675	3518.204	2213.243	3448.631	2204.455	2273.326	2227.135	2176.265	3475.606	2242.606	2229.767	3476.913	2238.137	2264.769	2265.95	2244.504	2152.024	3479.745	3451.856	3441.684	2237.754	3477.398	3463.441	2243.558	2285.894	3469.657	2224.145	3468.35	2214.009	2221.105	2262.824	2261.58	2172.249	3471.27	3490.891	3473.608	3465.113	2170.622	3454.66	2181.513	3454.34	3469.975	3479.008	2235.594	2297.159	3447.773	2262.301	3445.993	2183.033	3486.827	3461.969	3512.524	3477.797	3491.771	2284.975	2287.731	3461.727	3451.832	3464.008	3463.538	2258.592	3481.403	3492.393	2249.93	2214.448	3464.702	2280.704	3440.096	2202.193	3470.68	2134.796	2269.395	3491.328	2233.848	3494.859	2255.933	3456.523	2236.462	3481.937	2270.5	2171.485	2271.236	3466.016	3445.02	3454.083	2262.285	3452.729	2291.553	2259.806	3480.673	2173.964	3504.222	3507.061	3453.383	3452.465	
SHH_INV_models38317.py	3003.907	515.497	503.578	3028.381	3003.31	3077.895	428.117	0.0	687.691	574.606	3005.674	484.648	603.288	527.191	561.994	3089.497	726.416	3055.468	1017.245	3093.707	1012.243	3013.182	2981.189	3109.271	2990.159	829.428	3146.854	711.36	622.368	836.648	3180.819	3124.968	2937.699	1178.674	1213.926	1200.838	3230.549	3351.654	3444.011	3457.397	2118.195	3436.447	2181.626	3449.124	3458.983	3456.216	2191.095	3427.125	2135.859	3415.935	3479.607	2253.673	2219.965	3446.732	3433.066	3425.382	3453.347	3433.429	3458.885	2218.157	3443.829	2150.323	3438.407	2166.1	2134.132	3439.986	3423.755	2232.973	3443.166	2186.304	3424.018	3461.602	2137.211	3456.262	2193.859	3445.174	3437.437	3447.265	2062.971	2203.757	2113.458	3431.676	3439.704	3434.273	2211.56	3451.329	2149.032	2202.909	2191.306	2248.189	2238.017	2185.592	3420.227	3438.202	3434.759	2267.48	2156.821	2167.138	2214.513	3437.32	3460.464	2073.79	2262.145	3440.68	2278.706	3441.254	3488.846	2173.008	3426.983	2207.456	2236.033	2202.939	2166.818	3440.01	2194.564	2210.919	3454.194	2231.416	2267.075	2256.891	2209.722	2143.078	3456.865	3415.455	3428.65	2240.572	3448.383	3428.97	2229.921	2249.806	3433.119	2216.296	3442.428	2207.516	2170.628	2260.945	2247.837	2158.319	3432.203	3451.468	3462.948	3431.196	2149.69	3435.106	2144.008	3424.637	3454.964	3447.721	2226.893	2281.002	3415.83	2238.658	3412.71	2174.491	3457.961	3434.38	3468.893	3441.662	3455.015	2274.311	2257.809	3435.31	3421.903	3435.433	3427.828	2242.045	3445.109	3455.39	2217.917	2167.415	3427.391	2273.882	3412.863	2165.99	3440.3	2121.753	2262.225	3458.4	2205.337	3454.411	2236.637	3424.26	2217.032	3449.936	2262.802	2158.906	2247.096	3433.806	3414.346	3421.494	2277.062	3426.635	2274.952	2247.617	3455.69	2143.811	3463.62	3478.176	3417.672	3441.06	
SHH_INV_models4783.py	3085.813	439.32	434.047	3073.103	3084.177	3171.736	785.242	687.691	0.0	471.295	3115.9	624.247	779.205	612.657	712.199	3215.596	314.538	3195.493	1097.443	3212.791	944.176	3145.64	3032.53	3190.694	3100.803	372.385	3288.665	558.812	528.924	637.151	3314.252	3265.125	2976.329	1075.703	1047.686	883.051	3397.338	3557.224	3559.44	3578.832	2212.465	3571.009	2273.909	3567.855	3577.255	3580.848	2302.863	3537.598	2282.554	3549.311	3610.16	2358.994	2305.484	3577.583	3551.114	3547.276	3597.987	3559.934	3563.454	2323.882	3565.171	2260.839	3563.94	2260.816	2214.009	3570.408	3564.416	2317.368	3581.828	2280.191	3548.661	3594.271	2272.386	3584.95	2309.44	3564.263	3559.954	3572.257	2141.427	2351.877	2176.781	3559.972	3558.107	3544.25	2273.011	3577.068	2251.113	2271.576	2280.265	2319.952	2351.536	2285.635	3546.778	3560.179	3561.388	2354.476	2262.13	2303.226	2281.755	3578.639	3581.765	2174.504	2367.669	3564.056	2355.26	3596.805	3601.328	2272.235	3543.819	2340.07	2305.767	2294.632	2291.013	3550.88	2300.428	2274.979	3587.306	2358.811	2381.842	2350.364	2305.971	2243.112	3598.892	3518.018	3548.832	2338.844	3572.63	3558.539	2333.575	2354.092	3545.364	2359.812	3563.478	2294.38	2275.649	2355.504	2326.112	2262.672	3539.262	3556.516	3592.747	3563.365	2227.531	3556.97	2206.063	3531.675	3605.753	3563.588	2305.612	2335.092	3532.123	2358.071	3539.963	2249.176	3582.605	3549.044	3575.607	3572.397	3587.943	2363.029	2365.694	3546.156	3544.818	3571.022	3535.834	2316.268	3542.915	3567.446	2318.62	2271.716	3556.084	2373.254	3541.055	2219.439	3565.531	2241.409	2336.786	3606.784	2283.687	3565.985	2304.504	3553.737	2269.585	3563.246	2337.87	2267.259	2345.953	3553.37	3521.973	3536.17	2371.415	3552.466	2346.899	2348.43	3585.026	2240.042	3595.349	3568.792	3533.416	3570.528	
SHH_INV_models17285.py	3011.19	493.393	345.433	3020.088	3000.166	3120.23	594.601	574.606	471.295	0.0	3036.361	609.794	773.641	325.067	771.188	3144.843	502.969	3114.958	1134.637	3162.471	1028.615	3068.127	2992.892	3131.245	3032.067	611.608	3213.203	403.637	486.914	781.96	3254.231	3181.704	2928.238	1164.399	1107.314	1030.049	3309.541	3449.088	3557.653	3564.329	2228.909	3551.333	2299.308	3555.807	3562.647	3560.004	2285.605	3533.703	2260.314	3525.329	3599.745	2387.571	2333.677	3560.444	3551.396	3536.763	3565.543	3553.8	3549.553	2321.748	3550.771	2239.262	3553.232	2248.997	2202.395	3562.423	3523.479	2340.082	3560.009	2323.742	3537.162	3569.956	2272.772	3560.605	2291.615	3554.691	3544.431	3560.337	2147.643	2313.058	2187.894	3547.467	3548.704	3544.018	2291.635	3561.732	2206.559	2277.966	2295.705	2344.094	2354.877	2302.183	3539.632	3534.04	3538.507	2354.496	2267.412	2252.129	2293.435	3554.016	3575.02	2156.784	2380.713	3543.942	2370.147	3569.96	3604.638	2277.768	3531.497	2343.651	2338.448	2325.718	2256.761	3541.527	2296.445	2300.465	3555.704	2340.155	2377.168	2365.901	2313.178	2239.393	3561.64	3514.661	3527.506	2332.069	3552.924	3552.299	2338.25	2374.064	3531.665	2360.04	3539.115	2304.243	2291.497	2344.06	2345.717	2279.464	3545.493	3552.708	3565.877	3545.257	2247.438	3532.18	2221.673	3517.541	3566.616	3545.473	2327.91	2358.331	3523.518	2353.456	3527.886	2246.434	3561.629	3536.716	3580.298	3553.755	3574.539	2368.422	2386.117	3539.76	3526.389	3544.078	3528.535	2332.784	3537.355	3564.19	2331.765	2273.156	3533.694	2391.036	3527.596	2237.119	3551.9	2228.595	2349.978	3570.443	2294.894	3565.571	2312.066	3533.994	2284.957	3543.653	2356.904	2266.578	2373.037	3543.928	3514.439	3523.983	2354.925	3532.088	2347.954	2356.902	3564.179	2239.787	3579.573	3563.166	3531.154	3557.346	
