	SHH_WT_models38454.py	SHH_WT_models39215.py	SHH_WT_models3827.py	SHH_WT_models40786.py	SHH_WT_models10615.py	SHH_WT_models11746.py	SHH_WT_models357.py	SHH_WT_models12018.py	SHH_WT_models35923.py	SHH_WT_models1483.py	SHH_WT_models27725.py	SHH_WT_models22704.py	SHH_WT_models46610.py	SHH_WT_models25210.py	SHH_WT_models8890.py	SHH_WT_models21516.py	SHH_WT_models48773.py	SHH_WT_models491.py	SHH_WT_models1192.py	SHH_WT_models38276.py	SHH_WT_models49283.py	SHH_WT_models29668.py	SHH_WT_models2238.py	SHH_WT_models29348.py	SHH_WT_models37141.py	SHH_WT_models14847.py	SHH_WT_models30347.py	SHH_WT_models41853.py	SHH_WT_models7344.py	SHH_WT_models1588.py	SHH_WT_models22421.py	SHH_WT_models8764.py	SHH_WT_models39507.py	SHH_WT_models15435.py	SHH_WT_models41149.py	SHH_WT_models45309.py	SHH_WT_models11760.py	SHH_WT_models44296.py	SHH_WT_models47603.py	SHH_WT_models35629.py	SHH_WT_models44428.py	SHH_WT_models36637.py	SHH_WT_models47783.py	SHH_WT_models44981.py	SHH_WT_models37228.py	SHH_WT_models36833.py	SHH_WT_models2378.py	SHH_WT_models22582.py	SHH_WT_models34183.py	SHH_WT_models44943.py	SHH_WT_models28174.py	SHH_WT_models42616.py	SHH_WT_models6662.py	SHH_WT_models18902.py	SHH_WT_models26485.py	SHH_WT_models27908.py	SHH_WT_models40839.py	SHH_WT_models29459.py	SHH_WT_models17169.py	SHH_WT_models38759.py	SHH_WT_models19239.py	SHH_WT_models42278.py	SHH_WT_models15235.py	SHH_WT_models25278.py	SHH_WT_models9748.py	SHH_WT_models32436.py	SHH_WT_models37719.py	SHH_WT_models33732.py	SHH_WT_models34323.py	SHH_WT_models19436.py	SHH_WT_models34283.py	SHH_WT_models5070.py	SHH_WT_models17200.py	SHH_WT_models37605.py	SHH_WT_models7718.py	SHH_WT_models40490.py	SHH_WT_models1709.py	SHH_WT_models31532.py	SHH_WT_models30779.py	SHH_WT_models2347.py	SHH_WT_models15552.py	SHH_WT_models16149.py	SHH_WT_models10306.py	SHH_WT_models30402.py	SHH_WT_models13634.py	SHH_WT_models41778.py	SHH_WT_models29007.py	SHH_WT_models36378.py	SHH_WT_models31832.py	SHH_WT_models39112.py	SHH_WT_models24206.py	SHH_WT_models5307.py	SHH_WT_models12433.py	SHH_WT_models18377.py	SHH_WT_models12231.py	SHH_WT_models49537.py	SHH_WT_models9944.py	SHH_WT_models48341.py	SHH_WT_models25404.py	SHH_WT_models25325.py	SHH_WT_models8984.py	SHH_WT_models1789.py	SHH_WT_models6373.py	SHH_WT_models17583.py	SHH_WT_models47710.py	SHH_WT_models41859.py	SHH_WT_models21876.py	SHH_WT_models31879.py	SHH_WT_models22069.py	SHH_WT_models38869.py	SHH_WT_models21025.py	SHH_WT_models192.py	SHH_WT_models23133.py	SHH_WT_models19903.py	SHH_WT_models7880.py	SHH_WT_models27167.py	SHH_WT_models32722.py	SHH_WT_models18570.py	SHH_WT_models41837.py	SHH_WT_models40274.py	SHH_WT_models29228.py	SHH_WT_models38655.py	SHH_WT_models717.py	SHH_WT_models8847.py	SHH_WT_models28238.py	SHH_WT_models34190.py	SHH_WT_models6070.py	SHH_WT_models5447.py	SHH_WT_models27032.py	SHH_WT_models1166.py	SHH_WT_models33698.py	SHH_WT_models49440.py	SHH_WT_models43041.py	SHH_WT_models43346.py	SHH_WT_models44997.py	SHH_WT_models32237.py	SHH_WT_models9283.py	SHH_WT_models49996.py	SHH_WT_models45114.py	SHH_WT_models7095.py	SHH_WT_models18557.py	SHH_WT_models11029.py	SHH_WT_models41538.py	SHH_WT_models13902.py	SHH_WT_models9585.py	SHH_WT_models27717.py	SHH_WT_models29730.py	SHH_WT_models45774.py	SHH_WT_models8077.py	SHH_WT_models40317.py	SHH_WT_models42102.py	SHH_WT_models7530.py	SHH_WT_models31195.py	SHH_WT_models10580.py	SHH_WT_models17316.py	SHH_WT_models40479.py	SHH_WT_models17085.py	SHH_WT_models28244.py	SHH_WT_models47890.py	SHH_WT_models14471.py	SHH_WT_models11050.py	SHH_WT_models32291.py	SHH_WT_models32644.py	SHH_WT_models32695.py	SHH_WT_models7948.py	SHH_WT_models32116.py	SHH_WT_models3886.py	SHH_WT_models11273.py	SHH_WT_models17399.py	SHH_WT_models4621.py	SHH_WT_models4070.py	SHH_WT_models34817.py	SHH_WT_models35309.py	SHH_WT_models41274.py	SHH_WT_models5926.py	SHH_WT_models35708.py	SHH_WT_models33622.py	SHH_WT_models9654.py	SHH_WT_models28611.py	SHH_WT_models23029.py	SHH_WT_models40865.py	SHH_WT_models40152.py	SHH_WT_models32950.py	SHH_WT_models13608.py	SHH_WT_models34664.py	SHH_WT_models2611.py	SHH_WT_models39351.py	SHH_WT_models34543.py	SHH_WT_models8846.py	SHH_WT_models37289.py	SHH_WT_models488.py	SHH_WT_models38204.py	SHH_WT_models571.py	SHH_WT_models34442.py	SHH_WT_models17286.py	SHH_WT_models9457.py	SHH_WT_models15986.py	SHH_WT_models28664.py	SHH_WT_models1811.py	SHH_WT_models30093.py	
SHH_WT_models38454.py	0.0	602.432	3937.837	3850.241	3955.637	612.092	3875.436	543.814	592.599	706.302	4112.683	755.381	560.608	470.361	666.405	658.851	654.528	3867.959	4161.392	782.277	769.691	669.933	3925.161	518.988	3947.547	752.477	3856.062	3854.936	3906.217	3868.438	3950.382	3849.355	784.901	4029.998	744.191	3932.384	793.882	3951.757	3843.218	3930.441	643.46	802.615	868.287	815.567	3842.252	878.783	831.921	706.788	3840.964	826.656	786.326	3906.979	3880.066	3878.534	922.913	731.529	3866.022	841.245	811.407	3948.439	3869.012	938.922	858.538	3745.359	852.149	3895.68	3871.151	3889.75	972.002	3821.469	694.075	827.299	3926.949	834.924	3914.569	3906.099	921.026	795.236	3822.897	712.34	1212.622	3851.703	1254.884	4274.611	3890.349	1267.183	855.504	3834.835	4249.169	1683.225	4349.758	4161.568	4144.603	1255.262	1233.094	1315.264	4209.892	1249.424	954.616	1212.53	4098.712	1259.928	4253.324	4244.911	4242.059	4127.589	1275.265	4135.997	1239.875	1258.189	4258.821	1277.978	1274.456	4113.62	4293.307	1238.742	4049.617	1230.41	1271.462	1293.519	4217.911	1266.502	1254.995	1250.852	1314.195	1281.872	1280.188	1218.946	4259.245	4217.644	1317.717	4255.347	4188.973	1280.239	4204.834	1284.631	4240.943	4247.218	4266.919	1262.448	4142.912	4211.352	4126.778	1296.573	1260.731	4227.419	1247.918	4224.896	1254.378	1291.377	1250.469	1246.181	1242.107	4269.153	4266.625	1307.484	1319.267	4090.445	4279.464	1219.157	1246.862	4319.835	4261.604	1259.791	1324.038	1290.949	1296.135	1346.131	4252.032	4206.391	4055.686	4387.626	1321.646	1247.47	4232.728	4229.051	1242.245	1413.132	1309.25	4232.326	4204.408	1219.07	1325.209	4265.248	1267.639	1303.093	4199.118	4259.983	1285.995	1146.985	4241.879	4264.737	1267.799	1325.872	4183.817	1297.562	4220.657	4210.658	4256.638	4195.184	
SHH_WT_models39215.py	602.432	0.0	3788.879	3675.556	3836.559	443.301	3746.459	439.896	841.305	823.987	4012.732	842.572	446.511	482.02	758.15	386.142	845.432	3752.457	4139.885	632.135	715.657	518.282	3789.315	701.678	3794.991	693.503	3729.315	3683.405	3770.789	3745.323	3815.452	3687.437	783.111	3906.637	489.393	3753.657	703.111	3830.903	3712.913	3797.83	674.035	739.33	776.089	672.404	3713.392	751.662	836.883	763.428	3700.914	768.592	942.344	3744.823	3769.214	3748.626	753.518	869.922	3717.189	741.407	907.772	3812.483	3735.746	754.054	705.527	3568.442	767.031	3780.152	3744.705	3764.835	852.498	3695.043	608.435	776.162	3816.007	873.401	3748.03	3755.272	855.134	842.869	3692.051	759.948	1061.846	3696.976	1136.05	4107.917	3700.745	1276.228	694.931	3688.056	4104.12	1610.259	4253.183	3991.299	3976.979	1272.363	1136.249	1350.849	4068.035	1348.616	851.131	1080.051	3948.488	1324.513	4094.587	4082.638	4096.535	3974.322	1305.868	3979.45	1340.371	1141.627	4118.001	1330.217	1310.982	3932.21	4147.935	1304.44	3914.598	1121.394	1132.165	1150.035	4061.619	1340.775	1265.9	1160.753	1292.286	1324.621	1280.708	1083.14	4094.849	4054.731	1268.652	4091.87	4019.245	1326.319	4034.812	1205.636	4089.027	4090.14	4107.247	1184.972	3985.265	4033.214	3982.592	1422.39	1274.741	4065.89	1290.783	4057.823	1292.043	1229.099	1168.038	1292.08	1058.654	4121.394	4111.242	1227.136	1421.931	3901.356	4136.754	1281.323	1332.863	4192.791	4101.481	1330.194	1359.088	1285.6	1223.204	1266.845	4102.892	4037.249	3868.141	4307.307	1372.234	1316.098	4057.103	4059.62	1263.125	1509.686	1287.111	4064.304	4024.06	1263.622	1190.787	4109.938	1340.18	1263.753	4040.125	4097.295	1333.975	1022.18	4095.26	4112.278	1191.423	1325.15	4007.295	1164.538	4057.264	4041.934	4091.236	4026.433	
SHH_WT_models3827.py	3937.837	3788.879	0.0	489.51	624.88	3854.951	908.21	3885.7	3996.728	3992.429	1308.197	3975.434	3835.071	3885.908	3936.658	3827.124	3999.122	887.457	1254.12	3895.485	3893.58	3911.824	863.889	3906.178	927.433	3867.843	1010.442	577.402	990.315	1019.384	900.662	664.194	3913.788	865.023	3762.635	506.094	3836.739	1010.577	1038.559	926.323	3861.253	3851.847	3871.569	3821.991	865.282	3875.915	3957.62	3966.085	1010.886	3864.218	4026.581	905.158	952.05	734.785	3874.879	4024.551	932.378	3889.163	3965.353	1017.733	1068.687	3825.235	3833.933	754.405	3890.325	1071.624	1066.095	1015.312	3881.397	916.327	3917.095	3877.793	943.79	3857.413	1033.143	1121.196	3840.548	3860.008	939.494	3802.843	4044.029	1051.662	4107.422	1288.895	761.726	4217.131	3799.305	1124.758	1326.539	4132.806	1473.237	1333.296	1300.462	4182.47	4097.163	4286.783	1258.874	4260.287	3820.658	4041.165	1268.971	4229.825	1304.554	1329.45	1270.905	1325.887	4240.75	1226.546	4266.951	4108.478	1262.582	4282.907	4271.858	1157.094	1325.58	4235.122	1242.704	4051.925	4056.313	4072.763	1318.132	4274.718	4216.534	4132.283	4249.745	4238.837	4185.701	4052.908	1232.598	1270.174	4147.918	1329.134	1289.687	4247.635	1305.258	4161.238	1363.104	1322.522	1342.119	4123.073	1311.204	1311.9	1257.814	4339.467	4211.544	1307.405	4236.425	1249.433	4249.63	4172.953	4085.85	4242.57	3973.882	1283.557	1328.916	4170.72	4288.109	1166.252	1343.958	4241.759	4257.867	1360.816	1360.193	4276.205	4274.896	4236.9	4174.431	4168.766	1339.514	1333.159	1156.022	1482.759	4281.546	4259.457	1304.754	1346.156	4146.137	4381.691	4189.33	1346.611	1217.68	4202.228	4078.324	1313.393	4280.603	4209.456	1320.212	1342.178	4223.833	3958.574	1329.824	1329.831	4148.022	4238.338	1293.222	4100.816	1349.62	1362.436	1417.651	1341.036	
SHH_WT_models40786.py	3850.241	3675.556	489.51	0.0	711.667	3739.439	810.985	3770.279	3923.584	3927.62	1335.992	3905.214	3716.671	3767.089	3833.077	3697.221	3913.937	858.73	1473.858	3786.148	3800.266	3795.005	867.885	3802.635	814.629	3769.057	894.166	367.547	874.585	958.521	889.884	375.571	3802.688	898.865	3624.593	507.782	3746.645	1049.334	901.851	909.375	3747.177	3759.27	3774.471	3720.843	807.089	3773.292	3872.336	3858.841	866.842	3761.311	3941.503	785.364	931.903	758.655	3764.295	3918.102	866.813	3765.062	3860.824	1017.851	934.548	3723.198	3728.502	491.056	3797.363	1027.0	942.139	1005.887	3772.658	831.189	3787.665	3781.431	1024.276	3762.36	938.353	978.216	3733.593	3765.592	906.739	3696.236	3921.292	906.373	3989.445	1365.838	665.168	4095.851	3692.624	1040.081	1367.485	4022.589	1601.652	1276.69	1248.452	4060.197	3973.082	4163.671	1329.644	4153.163	3721.949	3944.466	1230.317	4110.505	1324.675	1339.576	1323.125	1298.925	4121.337	1221.565	4160.31	4011.867	1363.42	4169.611	4158.038	1155.484	1385.944	4124.046	1251.29	3923.541	3942.765	3954.775	1342.044	4156.242	4095.451	4011.204	4129.57	4119.478	4059.322	3948.273	1280.262	1319.761	4027.271	1345.116	1293.975	4134.976	1321.943	4030.049	1391.869	1353.049	1356.509	4004.85	1270.744	1332.904	1222.684	4248.914	4091.389	1315.326	4120.683	1285.88	4136.878	4054.991	3988.415	4124.105	3855.358	1344.244	1320.002	4054.815	4174.127	1102.044	1391.213	4139.934	4138.647	1442.622	1403.085	4161.883	4162.784	4115.873	4068.496	4043.99	1382.594	1319.197	1076.958	1615.108	4170.48	4148.783	1297.454	1343.852	4030.699	4281.241	4068.985	1323.565	1215.371	4081.266	3984.378	1340.669	4166.298	4091.519	1366.443	1382.144	4105.478	3848.418	1367.38	1357.88	4029.357	4124.185	1250.916	3999.717	1345.954	1355.91	1379.068	1261.508	
SHH_WT_models10615.py	3955.637	3836.559	624.88	711.667	0.0	3878.025	530.684	3889.219	3967.045	3927.797	893.731	3917.531	3892.347	3923.145	3931.033	3869.942	3978.491	698.439	982.472	3886.848	3887.514	3913.15	749.714	3921.471	666.747	3861.737	687.74	718.63	723.88	722.516	777.546	828.482	3918.446	777.828	3828.277	660.373	3836.472	884.336	812.496	872.544	3899.126	3848.96	3864.105	3830.033	769.813	3866.838	3908.108	3960.557	899.177	3870.124	3996.619	759.686	772.762	870.937	3870.8	4016.899	839.041	3884.238	3964.9	893.033	784.068	3835.473	3842.809	884.138	3874.874	909.651	843.944	845.26	3873.194	899.386	3943.255	3866.564	681.199	3875.665	906.759	901.187	3860.813	3886.904	853.59	3855.614	4067.014	962.307	4112.098	1225.597	817.363	4227.723	3828.108	933.887	1198.815	4129.931	1353.977	1113.371	1107.128	4205.735	4103.612	4285.014	1146.56	4255.926	3845.739	4038.745	997.925	4237.604	1170.308	1182.955	1179.615	1095.461	4239.068	1055.623	4258.882	4080.17	1170.373	4262.887	4256.754	1064.677	1193.21	4237.521	1021.712	4087.876	4065.582	4074.412	1192.329	4282.684	4220.978	4139.141	4250.03	4247.377	4223.626	4047.742	1204.415	1154.191	4181.908	1174.241	1222.575	4240.894	1187.988	4197.703	1227.724	1223.945	1150.783	4117.988	1070.343	1254.607	1062.092	4304.075	4213.93	1175.342	4230.373	1197.72	4240.741	4181.72	4063.039	4239.665	4008.663	1111.922	1168.577	4167.858	4292.21	1139.796	1166.726	4238.954	4264.892	1180.628	1221.587	4264.513	4255.229	4233.227	4131.488	4177.877	1208.038	1243.611	1117.626	1320.868	4259.247	4252.857	1223.957	1206.566	4167.186	4347.841	4194.143	1174.025	1182.484	4217.75	4055.259	1173.322	4272.097	4199.746	1207.308	1227.142	4235.522	3986.01	1186.768	1168.801	4150.604	4228.943	1208.223	4074.647	1188.94	1260.474	1244.902	1151.121	
SHH_WT_models11746.py	612.092	443.301	3854.951	3739.439	3878.025	0.0	3796.723	397.429	786.451	850.313	4061.432	876.643	434.731	434.921	830.542	531.104	832.039	3808.366	4188.641	695.366	799.412	419.338	3843.344	716.223	3832.517	915.036	3765.947	3737.111	3811.519	3794.168	3873.583	3735.585	809.555	3966.451	603.594	3800.472	794.549	3887.06	3749.26	3857.329	661.998	809.665	880.068	784.417	3754.302	825.384	864.963	803.814	3742.667	819.31	887.962	3780.015	3806.331	3805.102	764.983	838.142	3764.27	710.062	899.684	3872.166	3767.841	962.155	850.642	3625.811	945.272	3836.452	3797.073	3802.003	878.434	3743.081	490.489	894.607	3868.774	1004.538	3790.411	3802.555	870.353	892.6	3739.364	808.586	1055.547	3736.868	1075.408	4177.981	3747.824	1262.445	950.207	3726.86	4165.407	1808.989	4329.44	4023.469	4007.153	1270.283	1064.225	1327.424	4130.72	1358.502	1008.208	1084.232	3975.652	1330.259	4151.323	4128.738	4156.412	4001.119	1291.428	4005.112	1362.61	1136.359	4173.031	1280.747	1263.266	3968.615	4202.273	1265.581	3949.22	1033.444	1109.899	1190.983	4115.215	1324.944	1265.162	1109.562	1255.287	1334.142	1327.786	1023.22	4146.061	4112.438	1300.704	4135.33	4075.434	1305.207	4091.603	1158.817	4149.246	4149.073	4142.788	1143.713	4019.114	4086.748	4010.258	1357.616	1235.301	4117.134	1247.778	4109.259	1270.116	1211.576	1146.499	1263.691	1036.956	4163.56	4163.63	1188.46	1400.311	3943.767	4186.847	1222.974	1280.534	4247.297	4147.277	1308.303	1313.692	1295.316	1154.729	1250.367	4150.206	4083.747	3908.367	4365.272	1321.893	1243.856	4113.81	4109.581	1287.317	1442.509	1256.653	4108.35	4080.406	1192.95	1237.055	4152.307	1275.709	1237.714	4095.62	4145.515	1303.869	984.366	4140.466	4153.084	1172.325	1283.514	4051.764	1199.324	4097.818	4086.727	4135.347	4061.368	
SHH_WT_models357.py	3875.436	3746.459	908.21	810.985	530.684	3796.723	0.0	3789.744	3873.353	3843.575	967.652	3821.127	3800.23	3832.09	3825.051	3776.639	3880.771	509.939	1191.806	3793.55	3794.115	3823.321	683.008	3825.574	529.655	3748.463	494.608	850.325	550.832	461.198	695.814	948.972	3814.343	765.69	3728.583	904.638	3738.401	757.729	596.97	769.487	3805.414	3757.309	3768.638	3734.043	718.745	3768.849	3807.863	3852.833	704.999	3776.466	3894.046	713.903	726.643	914.495	3776.944	3916.105	780.631	3786.232	3861.535	771.056	585.169	3725.665	3740.468	866.035	3772.586	706.631	563.017	801.013	3779.762	840.189	3847.379	3773.545	561.372	3772.594	812.64	595.224	3768.62	3797.145	809.053	3759.275	3968.344	830.281	4021.076	1279.508	941.523	4116.984	3719.913	771.784	1183.84	3992.169	1467.732	1072.986	1086.746	4091.868	4007.644	4175.617	1164.395	4145.038	3743.938	3954.879	975.454	4123.918	1175.206	1186.714	1224.265	1080.819	4126.781	1124.093	4148.984	3985.868	1257.988	4160.093	4153.405	1172.143	1250.212	4131.537	982.561	3991.914	3969.145	3970.639	1166.053	4170.414	4107.757	4044.333	4148.793	4129.819	4105.306	3966.604	1309.046	1176.365	4071.136	1209.728	1204.882	4128.93	1155.127	4095.167	1179.141	1220.764	1210.778	4016.147	1016.407	1247.722	1134.543	4211.343	4107.745	1177.286	4122.334	1247.864	4133.298	4078.268	3962.138	4130.584	3917.923	1199.963	1168.037	4068.947	4177.739	1221.225	1214.783	4144.065	4157.305	1256.296	1237.048	4156.852	4148.795	4123.011	4036.361	4069.303	1222.033	1234.579	1173.956	1472.348	4155.606	4150.851	1242.236	1189.037	4051.892	4250.812	4089.435	1140.824	1231.284	4117.785	3959.143	1256.692	4171.175	4092.399	1178.91	1241.274	4120.494	3895.967	1203.367	1224.48	4042.314	4125.279	1193.226	3974.917	1187.999	1241.889	1192.696	1119.686	
SHH_WT_models12018.py	543.814	439.896	3885.7	3770.279	3889.219	397.429	3789.744	0.0	575.746	648.726	4042.466	649.841	527.804	464.572	608.892	542.673	626.655	3808.648	4164.689	544.117	626.997	351.386	3854.914	556.273	3841.435	658.407	3766.199	3765.598	3819.865	3788.229	3885.582	3764.395	627.033	3979.01	606.027	3832.357	600.366	3890.099	3754.206	3870.914	629.351	660.595	708.534	612.933	3765.538	647.771	660.839	563.301	3751.976	674.802	691.355	3796.484	3814.031	3824.833	639.885	680.494	3779.856	589.797	730.705	3880.822	3770.323	745.636	659.046	3648.201	722.583	3838.319	3799.559	3807.773	739.57	3759.842	462.449	708.793	3858.87	803.055	3804.295	3808.704	770.999	774.667	3755.345	741.714	1012.508	3749.783	1075.226	4184.451	3771.481	1146.987	712.555	3733.47	4169.148	1643.356	4317.113	4024.9	4011.0	1149.856	1041.353	1236.412	4132.583	1217.756	800.844	1051.704	3973.674	1202.402	4156.757	4136.157	4162.572	4000.233	1162.277	4011.536	1222.429	1020.068	4180.018	1179.015	1158.943	3979.753	4206.667	1153.313	3943.682	1074.735	1040.029	1074.924	4121.379	1231.239	1136.394	1064.529	1191.554	1201.806	1200.76	1014.021	4161.253	4118.436	1170.884	4142.022	4088.899	1161.381	4099.33	1150.715	4151.991	4155.789	4146.532	1046.762	4020.208	4097.336	4016.54	1252.432	1128.788	4125.081	1127.448	4122.437	1144.411	1104.654	1048.253	1148.142	1032.55	4167.368	4169.407	1104.818	1303.984	3960.717	4188.211	1149.242	1189.846	4244.123	4152.164	1186.524	1200.158	1170.717	1064.457	1160.312	4156.714	4097.226	3921.39	4354.923	1208.389	1149.101	4126.017	4116.621	1129.758	1369.443	1149.72	4115.867	4095.888	1143.128	1113.23	4159.976	1193.586	1126.381	4102.097	4151.511	1179.58	989.471	4146.865	4159.352	1063.441	1173.167	4065.003	1062.457	4104.002	4097.285	4139.297	4068.961	
SHH_WT_models35923.py	592.599	841.305	3996.728	3923.584	3967.045	786.451	3873.353	575.746	0.0	550.968	4088.35	525.205	905.938	757.299	505.579	973.067	355.866	3876.202	4115.335	724.073	645.598	733.037	3933.337	530.988	3945.04	785.491	3850.938	3923.396	3909.946	3854.038	3959.721	3921.816	631.252	4024.021	1024.301	3981.477	632.888	3935.718	3849.302	3945.903	776.755	688.076	775.003	731.438	3860.721	751.024	567.941	531.465	3861.666	727.133	389.678	3920.885	3880.495	3923.143	773.038	534.499	3890.944	694.948	529.737	3946.013	3867.376	844.092	790.643	3815.445	810.448	3894.762	3879.564	3885.193	813.599	3861.327	800.054	786.936	3901.942	766.611	3926.224	3912.142	804.927	773.492	3851.31	829.98	1271.876	3874.557	1327.211	4280.279	3947.1	1201.867	907.547	3836.705	4246.08	1792.35	4340.176	4159.334	4148.567	1192.553	1255.743	1323.578	4212.046	1211.968	901.133	1251.399	4094.768	1189.8	4261.273	4247.126	4255.971	4120.865	1180.275	4142.012	1215.073	1159.442	4256.919	1195.353	1181.638	4136.905	4287.346	1140.523	4047.121	1363.137	1235.675	1284.68	4225.117	1225.951	1178.356	1287.029	1318.282	1256.704	1276.478	1259.814	4280.872	4225.454	1250.878	4251.928	4213.435	1146.872	4214.231	1363.241	4232.197	4254.195	4260.465	1174.002	4141.522	4226.698	4144.408	1193.908	1190.887	4232.485	1143.105	4244.564	1204.836	1224.235	1142.72	1160.204	1336.92	4265.914	4276.717	1229.148	1247.57	4135.579	4268.594	1158.856	1191.503	4301.38	4250.079	1218.775	1206.408	1254.533	1188.711	1258.357	4246.446	4225.488	4096.505	4370.353	1198.795	1150.731	4256.927	4234.048	1148.767	1328.777	1216.861	4236.427	4242.905	1214.211	1255.335	4267.276	1206.842	1227.931	4201.06	4255.443	1149.071	1256.27	4238.844	4259.422	1173.23	1211.708	4209.389	1251.188	4219.042	4219.003	4254.985	4209.407	
SHH_WT_models1483.py	706.302	823.987	3992.429	3927.62	3927.797	850.313	3843.575	648.726	550.968	0.0	3997.127	321.732	1027.686	911.082	751.124	960.516	710.495	3861.712	4047.374	754.705	748.267	783.367	3920.199	813.281	3924.625	606.973	3834.976	3924.038	3887.398	3834.396	3941.804	3938.419	875.427	4004.898	1113.913	3979.486	739.905	3924.596	3845.964	3937.059	1024.968	766.9	805.027	840.867	3863.607	803.696	493.914	783.076	3868.276	860.864	739.639	3916.84	3873.104	3933.48	854.342	859.534	3886.074	853.338	882.11	3933.072	3855.857	825.291	825.484	3839.576	756.867	3880.519	3862.695	3880.395	908.577	3868.108	976.675	797.13	3883.667	919.398	3921.838	3889.824	1005.417	992.487	3852.402	1077.62	1264.997	3886.023	1252.027	4261.953	3957.347	1277.587	939.762	3832.901	4221.588	1522.056	4299.073	4145.663	4137.503	1293.388	1237.194	1289.442	4192.9	1251.076	983.482	1123.239	4076.748	1255.387	4235.287	4225.548	4236.007	4106.698	1234.367	4128.905	1223.192	1084.914	4238.681	1233.321	1228.467	4135.23	4260.353	1253.123	4037.494	1404.882	1212.2	1243.689	4205.947	1243.274	1208.513	1274.362	1288.539	1296.675	1347.5	1173.397	4275.365	4207.657	1348.865	4232.022	4207.893	1230.965	4199.016	1397.093	4210.963	4237.302	4232.982	1211.594	4114.024	4225.583	4127.06	1225.621	1260.847	4213.721	1219.236	4237.439	1207.432	1255.378	1071.439	1218.326	1327.458	4235.557	4242.389	1242.725	1284.415	4145.866	4237.217	1186.523	1262.945	4258.669	4233.697	1238.919	1262.689	1225.407	1154.631	1298.643	4228.959	4217.208	4109.505	4319.572	1257.931	1236.865	4246.268	4218.703	1255.766	1293.669	1282.998	4215.595	4235.705	1308.247	1124.644	4246.098	1257.521	1200.524	4189.117	4237.311	1269.014	1246.845	4221.97	4237.682	1194.81	1276.671	4206.506	1151.337	4205.877	4212.5	4230.382	4193.189	
