	SHH_WT_models24206.py	SHH_WT_models34817.py	SHH_WT_models32722.py	SHH_WT_models18557.py	SHH_WT_models5307.py	SHH_WT_models12433.py	SHH_WT_models8984.py	SHH_WT_models41859.py	SHH_WT_models31879.py	SHH_WT_models41538.py	SHH_WT_models19903.py	SHH_WT_models28244.py	SHH_WT_models4070.py	SHH_WT_models32291.py	SHH_WT_models30093.py	SHH_WT_models27032.py	SHH_WT_models5926.py	SHH_WT_models40865.py	SHH_WT_models1811.py	SHH_WT_models49440.py	SHH_WT_models38204.py	SHH_WT_models45114.py	SHH_WT_models13608.py	SHH_WT_models21025.py	SHH_WT_models10580.py	SHH_WT_models30402.py	SHH_WT_models7880.py	SHH_WT_models47890.py	SHH_WT_models17286.py	SHH_WT_models4621.py	SHH_WT_models28664.py	SHH_WT_models49996.py	SHH_WT_models9944.py	SHH_WT_models31832.py	SHH_WT_models9283.py	SHH_WT_models1166.py	SHH_WT_models47710.py	SHH_WT_models6373.py	SHH_WT_models17316.py	SHH_WT_models17399.py	SHH_WT_models34543.py	SHH_WT_models27717.py	SHH_WT_models23029.py	SHH_WT_models15986.py	SHH_WT_models17583.py	SHH_WT_models35708.py	SHH_WT_models32644.py	SHH_WT_models488.py	SHH_WT_models29228.py	SHH_WT_models44997.py	SHH_WT_models39351.py	SHH_WT_models43041.py	SHH_WT_models11029.py	SHH_WT_models45774.py	SHH_WT_models27725.py	SHH_WT_models1192.py	SHH_WT_models18902.py	SHH_WT_models2238.py	SHH_WT_models22421.py	SHH_WT_models32436.py	SHH_WT_models35629.py	SHH_WT_models44296.py	SHH_WT_models38759.py	SHH_WT_models47603.py	SHH_WT_models34183.py	SHH_WT_models16149.py	SHH_WT_models36378.py	SHH_WT_models19436.py	SHH_WT_models30779.py	SHH_WT_models6662.py	SHH_WT_models33732.py	SHH_WT_models37228.py	SHH_WT_models40839.py	SHH_WT_models42616.py	SHH_WT_models7718.py	SHH_WT_models37719.py	SHH_WT_models40490.py	SHH_WT_models7344.py	SHH_WT_models30347.py	SHH_WT_models19239.py	SHH_WT_models491.py	SHH_WT_models1588.py	SHH_WT_models15435.py	SHH_WT_models10615.py	SHH_WT_models17200.py	SHH_WT_models357.py	SHH_WT_models37141.py	SHH_WT_models13634.py	SHH_WT_models25278.py	SHH_WT_models8764.py	SHH_WT_models40786.py	SHH_WT_models41853.py	SHH_WT_models3827.py	SHH_WT_models45309.py	
SHH_WT_models24206.py	0.0	602.432	3937.837	3850.241	3955.637	612.092	3875.436	543.814	592.599	706.302	4112.683	755.381	560.608	470.361	666.405	658.851	654.528	3867.959	4161.392	782.277	769.691	669.933	3925.161	518.988	3947.547	752.477	3856.062	3854.936	3906.217	3868.438	3950.382	3849.355	784.901	4029.998	744.191	3932.384	793.882	3951.757	3843.218	3930.441	643.46	802.615	868.287	815.567	3842.252	878.783	831.921	706.788	3840.964	826.656	786.326	3906.979	3880.066	3878.534	922.913	731.529	3866.022	841.245	811.407	3948.439	3869.012	938.922	858.538	3745.359	852.149	3895.68	3871.151	3889.75	972.002	3821.469	694.075	827.299	3926.949	834.924	3914.569	3906.099	921.026	795.236	3822.897	712.34	1212.622	3851.703	1254.884	4274.611	3890.349	1267.183	855.504	3834.835	4249.169	1683.225	4349.758	4161.568	4144.603	1255.262	
SHH_WT_models34817.py	602.432	0.0	3788.879	3675.556	3836.559	443.301	3746.459	439.896	841.305	823.987	4012.732	842.572	446.511	482.02	758.15	386.142	845.432	3752.457	4139.885	632.135	715.657	518.282	3789.315	701.678	3794.991	693.503	3729.315	3683.405	3770.789	3745.323	3815.452	3687.437	783.111	3906.637	489.393	3753.657	703.111	3830.903	3712.913	3797.83	674.035	739.33	776.089	672.404	3713.392	751.662	836.883	763.428	3700.914	768.592	942.344	3744.823	3769.214	3748.626	753.518	869.922	3717.189	741.407	907.772	3812.483	3735.746	754.054	705.527	3568.442	767.031	3780.152	3744.705	3764.835	852.498	3695.043	608.435	776.162	3816.007	873.401	3748.03	3755.272	855.134	842.869	3692.051	759.948	1061.846	3696.976	1136.05	4107.917	3700.745	1276.228	694.931	3688.056	4104.12	1610.259	4253.183	3991.299	3976.979	1272.363	
SHH_WT_models32722.py	3937.837	3788.879	0.0	489.51	624.88	3854.951	908.21	3885.7	3996.728	3992.429	1308.197	3975.434	3835.071	3885.908	3936.658	3827.124	3999.122	887.457	1254.12	3895.485	3893.58	3911.824	863.889	3906.178	927.433	3867.843	1010.442	577.402	990.315	1019.384	900.662	664.194	3913.788	865.023	3762.635	506.094	3836.739	1010.577	1038.559	926.323	3861.253	3851.847	3871.569	3821.991	865.282	3875.915	3957.62	3966.085	1010.886	3864.218	4026.581	905.158	952.05	734.785	3874.879	4024.551	932.378	3889.163	3965.353	1017.733	1068.687	3825.235	3833.933	754.405	3890.325	1071.624	1066.095	1015.312	3881.397	916.327	3917.095	3877.793	943.79	3857.413	1033.143	1121.196	3840.548	3860.008	939.494	3802.843	4044.029	1051.662	4107.422	1288.895	761.726	4217.131	3799.305	1124.758	1326.539	4132.806	1473.237	1333.296	1300.462	4182.47	
SHH_WT_models18557.py	3850.241	3675.556	489.51	0.0	711.667	3739.439	810.985	3770.279	3923.584	3927.62	1335.992	3905.214	3716.671	3767.089	3833.077	3697.221	3913.937	858.73	1473.858	3786.148	3800.266	3795.005	867.885	3802.635	814.629	3769.057	894.166	367.547	874.585	958.521	889.884	375.571	3802.688	898.865	3624.593	507.782	3746.645	1049.334	901.851	909.375	3747.177	3759.27	3774.471	3720.843	807.089	3773.292	3872.336	3858.841	866.842	3761.311	3941.503	785.364	931.903	758.655	3764.295	3918.102	866.813	3765.062	3860.824	1017.851	934.548	3723.198	3728.502	491.056	3797.363	1027.0	942.139	1005.887	3772.658	831.189	3787.665	3781.431	1024.276	3762.36	938.353	978.216	3733.593	3765.592	906.739	3696.236	3921.292	906.373	3989.445	1365.838	665.168	4095.851	3692.624	1040.081	1367.485	4022.589	1601.652	1276.69	1248.452	4060.197	
SHH_WT_models5307.py	3955.637	3836.559	624.88	711.667	0.0	3878.025	530.684	3889.219	3967.045	3927.797	893.731	3917.531	3892.347	3923.145	3931.033	3869.942	3978.491	698.439	982.472	3886.848	3887.514	3913.15	749.714	3921.471	666.747	3861.737	687.74	718.63	723.88	722.516	777.546	828.482	3918.446	777.828	3828.277	660.373	3836.472	884.336	812.496	872.544	3899.126	3848.96	3864.105	3830.033	769.813	3866.838	3908.108	3960.557	899.177	3870.124	3996.619	759.686	772.762	870.937	3870.8	4016.899	839.041	3884.238	3964.9	893.033	784.068	3835.473	3842.809	884.138	3874.874	909.651	843.944	845.26	3873.194	899.386	3943.255	3866.564	681.199	3875.665	906.759	901.187	3860.813	3886.904	853.59	3855.614	4067.014	962.307	4112.098	1225.597	817.363	4227.723	3828.108	933.887	1198.815	4129.931	1353.977	1113.371	1107.128	4205.735	
SHH_WT_models12433.py	612.092	443.301	3854.951	3739.439	3878.025	0.0	3796.723	397.429	786.451	850.313	4061.432	876.643	434.731	434.921	830.542	531.104	832.039	3808.366	4188.641	695.366	799.412	419.338	3843.344	716.223	3832.517	915.036	3765.947	3737.111	3811.519	3794.168	3873.583	3735.585	809.555	3966.451	603.594	3800.472	794.549	3887.06	3749.26	3857.329	661.998	809.665	880.068	784.417	3754.302	825.384	864.963	803.814	3742.667	819.31	887.962	3780.015	3806.331	3805.102	764.983	838.142	3764.27	710.062	899.684	3872.166	3767.841	962.155	850.642	3625.811	945.272	3836.452	3797.073	3802.003	878.434	3743.081	490.489	894.607	3868.774	1004.538	3790.411	3802.555	870.353	892.6	3739.364	808.586	1055.547	3736.868	1075.408	4177.981	3747.824	1262.445	950.207	3726.86	4165.407	1808.989	4329.44	4023.469	4007.153	1270.283	
SHH_WT_models8984.py	3875.436	3746.459	908.21	810.985	530.684	3796.723	0.0	3789.744	3873.353	3843.575	967.652	3821.127	3800.23	3832.09	3825.051	3776.639	3880.771	509.939	1191.806	3793.55	3794.115	3823.321	683.008	3825.574	529.655	3748.463	494.608	850.325	550.832	461.198	695.814	948.972	3814.343	765.69	3728.583	904.638	3738.401	757.729	596.97	769.487	3805.414	3757.309	3768.638	3734.043	718.745	3768.849	3807.863	3852.833	704.999	3776.466	3894.046	713.903	726.643	914.495	3776.944	3916.105	780.631	3786.232	3861.535	771.056	585.169	3725.665	3740.468	866.035	3772.586	706.631	563.017	801.013	3779.762	840.189	3847.379	3773.545	561.372	3772.594	812.64	595.224	3768.62	3797.145	809.053	3759.275	3968.344	830.281	4021.076	1279.508	941.523	4116.984	3719.913	771.784	1183.84	3992.169	1467.732	1072.986	1086.746	4091.868	
SHH_WT_models41859.py	543.814	439.896	3885.7	3770.279	3889.219	397.429	3789.744	0.0	575.746	648.726	4042.466	649.841	527.804	464.572	608.892	542.673	626.655	3808.648	4164.689	544.117	626.997	351.386	3854.914	556.273	3841.435	658.407	3766.199	3765.598	3819.865	3788.229	3885.582	3764.395	627.033	3979.01	606.027	3832.357	600.366	3890.099	3754.206	3870.914	629.351	660.595	708.534	612.933	3765.538	647.771	660.839	563.301	3751.976	674.802	691.355	3796.484	3814.031	3824.833	639.885	680.494	3779.856	589.797	730.705	3880.822	3770.323	745.636	659.046	3648.201	722.583	3838.319	3799.559	3807.773	739.57	3759.842	462.449	708.793	3858.87	803.055	3804.295	3808.704	770.999	774.667	3755.345	741.714	1012.508	3749.783	1075.226	4184.451	3771.481	1146.987	712.555	3733.47	4169.148	1643.356	4317.113	4024.9	4011.0	1149.856	
SHH_WT_models31879.py	592.599	841.305	3996.728	3923.584	3967.045	786.451	3873.353	575.746	0.0	550.968	4088.35	525.205	905.938	757.299	505.579	973.067	355.866	3876.202	4115.335	724.073	645.598	733.037	3933.337	530.988	3945.04	785.491	3850.938	3923.396	3909.946	3854.038	3959.721	3921.816	631.252	4024.021	1024.301	3981.477	632.888	3935.718	3849.302	3945.903	776.755	688.076	775.003	731.438	3860.721	751.024	567.941	531.465	3861.666	727.133	389.678	3920.885	3880.495	3923.143	773.038	534.499	3890.944	694.948	529.737	3946.013	3867.376	844.092	790.643	3815.445	810.448	3894.762	3879.564	3885.193	813.599	3861.327	800.054	786.936	3901.942	766.611	3926.224	3912.142	804.927	773.492	3851.31	829.98	1271.876	3874.557	1327.211	4280.279	3947.1	1201.867	907.547	3836.705	4246.08	1792.35	4340.176	4159.334	4148.567	1192.553	
SHH_WT_models41538.py	706.302	823.987	3992.429	3927.62	3927.797	850.313	3843.575	648.726	550.968	0.0	3997.127	321.732	1027.686	911.082	751.124	960.516	710.495	3861.712	4047.374	754.705	748.267	783.367	3920.199	813.281	3924.625	606.973	3834.976	3924.038	3887.398	3834.396	3941.804	3938.419	875.427	4004.898	1113.913	3979.486	739.905	3924.596	3845.964	3937.059	1024.968	766.9	805.027	840.867	3863.607	803.696	493.914	783.076	3868.276	860.864	739.639	3916.84	3873.104	3933.48	854.342	859.534	3886.074	853.338	882.11	3933.072	3855.857	825.291	825.484	3839.576	756.867	3880.519	3862.695	3880.395	908.577	3868.108	976.675	797.13	3883.667	919.398	3921.838	3889.824	1005.417	992.487	3852.402	1077.62	1264.997	3886.023	1252.027	4261.953	3957.347	1277.587	939.762	3832.901	4221.588	1522.056	4299.073	4145.663	4137.503	1293.388	
