	SHH_WT_models_highres31596.py	SHH_WT_models_highres1378.py	SHH_WT_models_highres4863.py	SHH_WT_models_highres34599.py	SHH_WT_models_highres25781.py	SHH_WT_models_highres42525.py	SHH_WT_models_highres8490.py	SHH_WT_models_highres11881.py	SHH_WT_models_highres49960.py	SHH_WT_models_highres11966.py	SHH_WT_models_highres24080.py	SHH_WT_models_highres23829.py	SHH_WT_models_highres49057.py	SHH_WT_models_highres22983.py	SHH_WT_models_highres23072.py	SHH_WT_models_highres34517.py	SHH_WT_models_highres35879.py	SHH_WT_models_highres8834.py	SHH_WT_models_highres10104.py	SHH_WT_models_highres12150.py	SHH_WT_models_highres31879.py	SHH_WT_models_highres5395.py	SHH_WT_models_highres11087.py	SHH_WT_models_highres19906.py	SHH_WT_models_highres23466.py	SHH_WT_models_highres2200.py	SHH_WT_models_highres12741.py	SHH_WT_models_highres47931.py	SHH_WT_models_highres30712.py	SHH_WT_models_highres8504.py	SHH_WT_models_highres39011.py	SHH_WT_models_highres43463.py	SHH_WT_models_highres15002.py	SHH_WT_models_highres12864.py	SHH_WT_models_highres42203.py	SHH_WT_models_highres5002.py	SHH_WT_models_highres37859.py	SHH_WT_models_highres17943.py	SHH_WT_models_highres30274.py	SHH_WT_models_highres7416.py	SHH_WT_models_highres24273.py	SHH_WT_models_highres1427.py	SHH_WT_models_highres49526.py	SHH_WT_models_highres10707.py	SHH_WT_models_highres33745.py	SHH_WT_models_highres47636.py	SHH_WT_models_highres2349.py	SHH_WT_models_highres27492.py	SHH_WT_models_highres41632.py	SHH_WT_models_highres7736.py	SHH_WT_models_highres49927.py	SHH_WT_models_highres38933.py	SHH_WT_models_highres38046.py	SHH_WT_models_highres49180.py	SHH_WT_models_highres40627.py	SHH_WT_models_highres16260.py	SHH_WT_models_highres3504.py	SHH_WT_models_highres20506.py	SHH_WT_models_highres40730.py	SHH_WT_models_highres23113.py	SHH_WT_models_highres4319.py	SHH_WT_models_highres17007.py	SHH_WT_models_highres47141.py	SHH_WT_models_highres29282.py	SHH_WT_models_highres27213.py	SHH_WT_models_highres1670.py	SHH_WT_models_highres15001.py	SHH_WT_models_highres6063.py	SHH_WT_models_highres37336.py	SHH_WT_models_highres22748.py	SHH_WT_models_highres41537.py	SHH_WT_models_highres14127.py	SHH_WT_models_highres34760.py	SHH_WT_models_highres38036.py	SHH_WT_models_highres15190.py	SHH_WT_models_highres20684.py	SHH_WT_models_highres30575.py	SHH_WT_models_highres45679.py	SHH_WT_models_highres6417.py	SHH_WT_models_highres38114.py	SHH_WT_models_highres27394.py	SHH_WT_models_highres12843.py	SHH_WT_models_highres5327.py	SHH_WT_models_highres6304.py	SHH_WT_models_highres48059.py	SHH_WT_models_highres17001.py	SHH_WT_models_highres41357.py	SHH_WT_models_highres34831.py	SHH_WT_models_highres9547.py	SHH_WT_models_highres8956.py	SHH_WT_models_highres32733.py	SHH_WT_models_highres12385.py	SHH_WT_models_highres1093.py	SHH_WT_models_highres15191.py	SHH_WT_models_highres38493.py	SHH_WT_models_highres9157.py	SHH_WT_models_highres32352.py	SHH_WT_models_highres44329.py	SHH_WT_models_highres34949.py	SHH_WT_models_highres92.py	SHH_WT_models_highres18152.py	SHH_WT_models_highres42121.py	SHH_WT_models_highres26110.py	SHH_WT_models_highres24225.py	SHH_WT_models_highres32152.py	SHH_WT_models_highres30124.py	SHH_WT_models_highres22408.py	SHH_WT_models_highres24510.py	SHH_WT_models_highres37991.py	SHH_WT_models_highres5372.py	SHH_WT_models_highres26145.py	SHH_WT_models_highres19348.py	SHH_WT_models_highres38783.py	SHH_WT_models_highres29979.py	SHH_WT_models_highres42018.py	SHH_WT_models_highres11523.py	SHH_WT_models_highres3231.py	SHH_WT_models_highres21540.py	SHH_WT_models_highres23577.py	SHH_WT_models_highres35265.py	SHH_WT_models_highres47034.py	SHH_WT_models_highres4341.py	SHH_WT_models_highres3582.py	SHH_WT_models_highres18351.py	SHH_WT_models_highres9291.py	SHH_WT_models_highres12921.py	SHH_WT_models_highres8464.py	SHH_WT_models_highres35888.py	SHH_WT_models_highres26312.py	SHH_WT_models_highres4519.py	SHH_WT_models_highres36644.py	SHH_WT_models_highres34615.py	SHH_WT_models_highres12667.py	SHH_WT_models_highres40847.py	SHH_WT_models_highres5566.py	SHH_WT_models_highres6237.py	SHH_WT_models_highres32499.py	SHH_WT_models_highres29850.py	SHH_WT_models_highres10187.py	SHH_WT_models_highres24201.py	SHH_WT_models_highres9675.py	SHH_WT_models_highres34461.py	SHH_WT_models_highres46795.py	SHH_WT_models_highres38476.py	SHH_WT_models_highres38863.py	SHH_WT_models_highres42035.py	SHH_WT_models_highres28239.py	SHH_WT_models_highres40612.py	SHH_WT_models_highres44157.py	SHH_WT_models_highres22341.py	SHH_WT_models_highres1278.py	SHH_WT_models_highres9943.py	SHH_WT_models_highres15028.py	SHH_WT_models_highres29602.py	SHH_WT_models_highres23364.py	SHH_WT_models_highres24271.py	SHH_WT_models_highres16398.py	SHH_WT_models_highres46286.py	SHH_WT_models_highres34081.py	SHH_WT_models_highres39524.py	SHH_WT_models_highres8869.py	SHH_WT_models_highres31237.py	SHH_WT_models_highres13336.py	SHH_WT_models_highres27253.py	SHH_WT_models_highres13173.py	SHH_WT_models_highres29684.py	SHH_WT_models_highres26194.py	SHH_WT_models_highres43177.py	SHH_WT_models_highres7009.py	SHH_WT_models_highres15999.py	SHH_WT_models_highres40714.py	SHH_WT_models_highres22556.py	SHH_WT_models_highres37468.py	SHH_WT_models_highres45161.py	SHH_WT_models_highres18275.py	SHH_WT_models_highres17982.py	SHH_WT_models_highres31883.py	SHH_WT_models_highres33734.py	SHH_WT_models_highres23265.py	SHH_WT_models_highres40816.py	SHH_WT_models_highres4191.py	SHH_WT_models_highres44104.py	SHH_WT_models_highres45383.py	SHH_WT_models_highres42354.py	SHH_WT_models_highres2023.py	SHH_WT_models_highres8601.py	SHH_WT_models_highres42759.py	SHH_WT_models_highres25678.py	SHH_WT_models_highres9303.py	SHH_WT_models_highres1537.py	SHH_WT_models_highres29052.py	SHH_WT_models_highres2418.py	SHH_WT_models_highres49590.py	SHH_WT_models_highres12514.py	SHH_WT_models_highres31225.py	SHH_WT_models_highres15620.py	SHH_WT_models_highres46847.py	SHH_WT_models_highres35901.py	SHH_WT_models_highres18887.py	SHH_WT_models_highres33371.py	
SHH_WT_models_highres31596.py	0.0	1728.301	1732.468	325.762	281.993	349.156	1710.197	277.212	278.804	114.761	280.723	237.355	280.411	372.687	356.102	285.348	189.08	1752.625	285.175	434.728	295.209	358.667	331.093	225.643	1731.512	1687.369	1701.051	1741.061	242.578	404.438	1715.091	350.425	1681.831	389.65	372.669	1730.756	356.173	247.356	1740.214	1717.57	1739.482	1651.094	324.792	1777.236	428.777	361.596	400.741	1714.107	349.807	1753.988	314.349	1738.328	1716.828	289.305	1733.928	1701.872	268.31	242.952	1686.678	302.698	207.694	1690.576	426.294	336.866	1658.436	346.653	1694.662	1669.223	378.071	151.796	440.42	377.09	396.709	347.113	1713.418	1713.163	386.258	1708.065	348.659	397.504	1686.723	1711.95	1641.533	258.196	1749.216	441.283	316.835	1730.371	1647.395	275.979	497.223	399.897	397.37	1741.018	1728.941	291.189	1709.065	1751.454	1735.063	456.92	448.446	1737.169	442.524	1728.173	1692.784	1723.982	360.068	333.862	299.763	487.257	1730.965	307.141	289.707	462.826	1671.789	1755.053	1747.222	441.389	461.013	373.472	452.275	1766.27	444.298	444.977	1696.646	1720.176	314.38	1719.452	413.037	1650.303	1761.666	428.146	374.849	1769.654	301.195	319.81	1712.491	1627.937	426.841	360.987	1744.951	1699.411	1704.557	324.857	282.403	557.938	387.708	1663.137	1725.155	315.725	287.376	1739.961	405.108	431.511	1735.436	405.418	1652.736	475.114	482.55	305.43	1761.12	1721.812	432.498	1722.632	443.038	402.803	438.683	1622.55	1719.294	231.26	1708.071	557.779	438.277	1707.76	372.566	384.548	1718.517	406.48	429.205	1729.877	1660.944	1718.955	370.955	380.886	439.714	1734.673	1748.422	478.848	1700.213	443.912	1724.89	410.621	1678.205	409.877	510.0	1713.703	1723.519	349.298	593.959	1707.771	
SHH_WT_models_highres1378.py	1728.301	0.0	167.686	1721.553	1665.783	1742.669	354.72	1707.229	1709.956	1728.48	1763.757	1767.302	1754.231	1739.211	1738.251	1766.334	1737.614	224.025	1760.377	1660.658	1754.228	1735.145	1698.742	1743.627	347.206	368.543	325.854	306.06	1752.175	1753.25	246.025	1740.827	384.737	1735.407	1740.209	376.641	1753.418	1740.839	225.465	249.876	285.935	444.848	1702.839	663.933	1673.283	1758.167	1759.674	331.286	1708.312	211.923	1772.111	402.404	443.079	1738.648	293.146	266.885	1769.617	1755.567	383.228	1710.334	1763.237	382.402	1752.868	1746.892	322.023	1782.318	375.084	398.0	1764.774	1714.969	1693.662	1727.79	1778.222	1717.771	312.249	403.04	1764.337	522.109	1722.956	1746.607	404.345	272.761	350.435	1786.476	328.193	1754.741	1787.453	384.885	404.591	1715.001	1680.663	1730.611	1741.724	380.797	343.137	1745.325	310.783	297.942	402.774	1766.358	1690.717	235.974	1690.393	335.826	306.954	410.207	1765.408	1736.371	1732.202	1757.515	412.805	1741.35	1757.468	1725.059	454.901	384.796	522.462	1749.828	1741.043	1697.55	1722.909	317.274	1745.581	1702.099	335.562	441.76	1744.762	446.368	1733.624	468.676	334.298	1741.087	1787.362	379.601	1747.867	1772.458	454.905	447.961	1758.72	1780.953	401.75	419.773	466.926	1672.09	1667.813	1741.157	1743.063	385.299	254.6	1627.194	1764.063	396.703	1714.721	1746.369	314.258	1768.408	463.196	1760.375	1748.018	1776.169	260.011	520.273	1745.452	355.367	1761.382	1724.453	1741.969	486.056	543.173	1736.486	407.771	1766.633	1703.895	366.946	1758.845	1676.488	365.705	1671.163	1753.943	391.397	352.903	415.305	1710.341	1703.718	1768.969	402.444	269.387	1773.529	397.594	1728.437	405.125	1746.097	393.438	1720.207	1770.567	404.932	422.973	1680.634	1779.034	267.235	
SHH_WT_models_highres4863.py	1732.468	167.686	0.0	1727.56	1669.483	1744.279	357.091	1707.997	1712.145	1732.364	1767.223	1762.828	1745.78	1740.746	1737.572	1757.802	1737.764	234.245	1755.055	1666.72	1746.14	1741.809	1695.808	1749.254	380.108	392.073	335.228	240.607	1749.727	1752.496	233.495	1744.505	401.249	1732.079	1744.506	397.404	1756.36	1739.084	242.102	263.611	233.932	399.526	1704.965	684.391	1676.479	1758.735	1765.329	365.041	1707.559	222.953	1765.536	358.219	451.08	1735.061	233.988	243.974	1771.583	1750.19	408.795	1714.647	1759.039	411.625	1748.92	1736.457	310.618	1770.053	355.425	428.137	1745.782	1719.065	1693.899	1731.92	1766.911	1714.391	223.66	283.632	1766.571	476.366	1721.734	1750.171	425.997	307.68	393.831	1786.754	273.628	1748.255	1781.86	340.81	446.736	1714.166	1685.542	1736.801	1746.628	334.513	344.717	1739.216	327.787	256.945	355.093	1756.025	1693.703	217.432	1687.761	264.922	323.966	359.681	1749.753	1728.363	1727.076	1756.336	376.482	1730.909	1749.118	1733.298	450.291	352.019	546.631	1745.48	1732.572	1697.112	1727.561	309.466	1736.386	1705.413	301.109	385.345	1738.47	481.979	1736.822	453.067	349.795	1731.744	1773.698	374.694	1740.299	1775.934	385.708	505.93	1763.268	1770.665	338.922	407.905	478.269	1679.901	1674.311	1734.021	1747.194	420.47	253.576	1636.326	1753.855	342.302	1721.859	1737.666	260.967	1763.491	471.873	1764.22	1737.787	1771.42	258.395	489.102	1741.981	255.7	1750.987	1731.871	1739.196	510.141	490.91	1735.337	384.924	1759.902	1702.785	290.003	1762.615	1672.9	282.446	1677.204	1749.746	408.536	330.565	394.344	1709.812	1712.225	1759.981	406.415	293.123	1774.675	416.969	1725.027	411.196	1749.098	341.477	1727.175	1768.488	397.18	354.44	1681.087	1772.74	274.183	
SHH_WT_models_highres34599.py	325.762	1721.553	1727.56	0.0	427.912	143.844	1690.192	404.441	419.939	323.785	427.102	380.223	396.562	190.797	191.366	398.324	369.463	1730.914	395.319	272.85	394.666	158.871	448.213	377.391	1707.478	1656.285	1700.078	1725.246	381.535	236.622	1703.381	177.556	1655.568	234.069	189.989	1707.258	149.22	392.018	1722.293	1693.287	1722.299	1635.544	434.468	1741.714	284.981	209.088	250.639	1678.542	463.803	1748.853	422.6	1711.666	1740.099	396.506	1730.641	1694.839	399.865	396.501	1666.184	438.875	372.174	1661.674	282.127	433.497	1662.023	436.78	1676.004	1642.465	466.02	350.231	310.779	179.792	457.54	448.203	1706.253	1692.248	232.573	1737.785	464.004	247.369	1664.236	1688.43	1636.924	413.758	1738.442	314.648	447.914	1714.933	1614.143	410.612	427.21	219.285	223.852	1720.294	1730.779	422.216	1697.574	1726.428	1716.784	337.216	326.021	1727.098	321.324	1724.085	1682.835	1708.168	457.017	430.691	417.303	410.877	1702.285	426.247	418.591	332.796	1650.983	1737.377	1742.984	311.596	340.183	487.5	361.911	1747.83	319.948	295.082	1678.596	1698.377	428.442	1707.867	246.233	1635.371	1758.81	287.015	463.298	1746.079	414.409	462.959	1702.567	1600.037	280.997	457.39	1730.208	1677.965	1729.296	474.906	411.508	506.498	235.534	1646.37	1728.408	446.923	409.596	1721.858	249.509	487.482	1734.431	259.634	1627.315	399.825	365.94	418.395	1756.493	1747.194	303.876	1712.024	310.057	248.797	301.931	1595.455	1744.812	390.156	1698.066	510.828	308.114	1707.806	203.222	485.825	1689.33	242.014	287.808	1709.268	1660.748	1692.999	463.117	214.067	314.927	1706.545	1721.089	401.14	1680.016	304.284	1699.057	255.777	1661.992	244.138	448.192	1680.357	1708.838	460.747	546.99	1707.943	
SHH_WT_models_highres25781.py	281.993	1665.783	1669.483	427.912	0.0	408.259	1655.878	268.025	238.605	298.403	384.421	357.742	375.107	439.412	402.211	388.163	320.731	1690.895	388.153	392.862	390.54	437.788	282.192	377.557	1678.462	1643.307	1639.014	1680.862	352.142	476.542	1651.447	400.018	1636.531	468.295	468.201	1683.817	449.35	316.417	1680.841	1659.658	1677.426	1603.479	271.001	1737.802	403.633	434.374	468.703	1664.073	292.517	1691.268	421.234	1688.573	1672.281	386.822	1668.069	1641.003	388.046	315.455	1633.98	280.533	353.248	1648.14	501.158	423.487	1595.359	430.788	1643.543	1622.344	455.077	306.984	375.115	431.646	476.262	319.539	1647.166	1650.06	474.501	1665.59	315.685	482.301	1643.558	1654.464	1590.178	371.56	1688.394	489.92	390.984	1670.768	1603.031	305.799	471.184	497.019	485.733	1684.663	1668.969	351.492	1648.265	1689.386	1680.253	517.753	410.733	1670.551	388.047	1661.605	1637.683	1667.769	447.411	394.244	360.449	518.421	1686.298	381.345	363.586	534.758	1629.138	1695.217	1694.39	511.357	504.594	294.234	474.32	1702.427	486.109	443.745	1638.14	1673.551	383.074	1665.656	494.322	1605.407	1704.419	490.913	474.825	1715.219	384.699	393.151	1656.672	1586.751	501.927	448.85	1684.161	1653.973	1661.223	255.511	284.342	591.512	453.728	1617.514	1660.509	272.903	391.421	1683.481	495.16	500.233	1670.386	459.796	1618.128	521.364	536.7	408.559	1697.767	1681.273	505.938	1654.703	486.25	500.979	490.343	1591.839	1676.723	317.845	1657.635	604.882	392.834	1643.19	443.072	295.521	1658.517	429.657	480.097	1677.323	1600.407	1672.933	345.367	450.735	496.737	1687.958	1692.822	524.355	1648.891	489.99	1676.828	482.247	1623.003	490.132	558.113	1673.529	1666.821	272.568	602.849	1644.084	
SHH_WT_models_highres42525.py	349.156	1742.669	1744.279	143.844	408.259	0.0	1712.546	396.695	405.346	349.57	440.743	364.248	365.912	188.808	174.957	392.806	369.569	1750.582	376.784	262.994	370.259	178.481	424.855	406.914	1733.073	1678.41	1717.311	1743.91	373.815	221.672	1722.674	185.015	1677.417	232.606	197.308	1731.086	180.697	371.7	1742.396	1712.539	1739.765	1654.96	413.937	1761.2	283.64	197.614	249.621	1703.082	445.467	1768.919	430.003	1730.487	1763.975	390.198	1744.782	1711.473	409.975	354.366	1688.343	434.356	386.484	1684.776	279.413	424.608	1679.245	442.061	1696.499	1666.751	455.028	373.148	286.472	165.534	447.831	428.908	1718.948	1705.063	225.406	1758.228	447.977	278.97	1687.329	1708.408	1660.921	423.141	1752.707	263.091	436.376	1736.275	1638.615	413.141	401.068	253.445	233.851	1741.277	1748.771	401.621	1717.861	1744.026	1736.313	325.393	307.986	1744.474	246.432	1737.105	1704.408	1728.189	443.261	419.657	423.059	382.642	1720.786	420.23	404.61	344.033	1673.837	1760.316	1760.923	306.892	330.626	462.313	351.904	1769.121	295.381	284.416	1696.482	1716.72	418.402	1729.737	254.004	1659.12	1777.711	257.896	457.484	1768.807	409.001	467.393	1719.332	1626.259	286.982	441.623	1748.873	1698.446	1753.563	460.532	440.599	491.244	224.37	1667.837	1745.479	458.273	408.108	1742.418	272.495	466.708	1747.966	232.609	1652.2	385.892	348.692	415.878	1775.562	1765.285	305.796	1725.119	255.146	284.17	302.58	1621.976	1762.575	380.497	1718.871	487.752	284.8	1719.939	205.983	466.617	1703.27	262.284	263.109	1733.25	1675.669	1714.337	450.938	237.868	295.38	1730.508	1740.681	393.864	1704.847	311.075	1722.174	290.433	1677.402	281.996	421.293	1700.143	1727.03	440.863	514.435	1725.488	
SHH_WT_models_highres8490.py	1710.197	354.72	357.091	1690.192	1655.878	1712.546	0.0	1688.599	1693.536	1708.772	1744.507	1745.762	1737.091	1709.298	1707.216	1747.906	1715.177	389.188	1731.852	1639.105	1735.873	1705.401	1688.835	1718.081	207.512	216.418	436.658	382.569	1720.133	1726.66	380.908	1705.727	230.999	1704.003	1708.293	207.542	1723.701	1730.74	398.021	376.445	375.639	243.652	1684.482	612.174	1646.536	1723.27	1727.094	262.001	1694.281	414.093	1748.15	262.507	333.748	1712.642	404.73	380.16	1740.815	1744.131	243.54	1686.962	1746.366	237.659	1723.788	1733.172	385.074	1760.517	202.436	255.706	1745.816	1691.699	1667.153	1699.53	1743.038	1697.131	400.428	448.632	1729.261	437.178	1712.888	1714.788	248.27	415.01	480.176	1766.516	403.556	1724.474	1761.176	202.678	265.442	1695.356	1704.213	1702.441	1712.045	225.205	426.756	1727.993	445.551	407.679	250.846	1735.06	1665.612	396.042	1664.656	426.388	412.23	256.64	1746.161	1715.101	1716.341	1772.639	260.205	1719.402	1743.538	1689.249	292.168	215.039	614.135	1718.305	1716.12	1684.919	1737.669	435.941	1717.94	1678.491	397.345	268.293	1726.218	556.283	1705.864	313.479	495.059	1710.803	1769.668	252.849	1731.142	1751.044	286.478	304.275	1724.434	1751.849	247.983	252.023	374.916	1654.998	1646.361	1762.54	1711.926	477.277	397.588	1620.586	1760.559	230.349	1682.26	1707.675	408.359	1745.873	287.417	1781.174	1717.938	1742.333	392.657	434.56	1715.385	426.425	1734.191	1692.147	1719.21	317.586	475.634	1717.109	246.99	1781.296	1676.975	402.476	1732.225	1665.418	410.03	1636.03	1728.039	247.181	438.737	266.787	1688.674	1669.772	1743.062	260.374	431.399	1786.305	274.884	1701.303	263.514	1714.772	433.68	1689.886	1786.771	254.597	258.684	1664.993	1803.428	406.125	
SHH_WT_models_highres11881.py	277.212	1707.229	1707.997	404.441	268.025	396.695	1688.599	0.0	195.697	273.467	357.068	224.622	265.326	351.861	394.994	242.18	276.785	1732.007	238.149	414.711	255.177	428.717	263.778	268.615	1704.152	1677.305	1678.28	1717.595	243.541	398.105	1695.308	392.427	1666.48	382.586	406.726	1707.732	416.901	297.931	1720.352	1704.717	1718.412	1630.556	156.13	1762.393	359.149	420.187	450.084	1696.899	288.396	1726.316	268.197	1721.975	1701.775	237.563	1707.228	1675.255	253.7	322.139	1669.247	225.068	325.347	1679.44	394.831	335.566	1635.197	269.545	1668.087	1654.234	383.255	300.597	404.052	440.095	334.416	235.761	1683.969	1681.715	393.855	1700.018	327.857	378.411	1673.607	1702.612	1625.086	388.359	1722.566	393.533	370.636	1701.319	1636.217	307.344	443.096	413.223	421.078	1714.274	1705.8	335.896	1684.917	1730.092	1705.904	402.369	407.629	1713.112	404.055	1697.095	1677.052	1695.468	382.105	339.942	320.511	504.091	1720.568	351.084	312.513	510.55	1659.35	1723.504	1730.55	378.973	449.358	350.436	487.296	1744.484	442.635	360.835	1680.668	1707.872	331.488	1703.864	403.559	1632.942	1738.472	424.144	350.062	1742.955	343.039	438.322	1686.366	1613.166	453.047	343.212	1716.087	1687.571	1688.359	377.67	257.642	555.732	438.433	1659.6	1698.856	313.33	344.494	1706.224	393.399	345.313	1706.423	429.532	1650.495	502.152	418.564	279.026	1737.627	1713.943	385.867	1690.906	440.543	411.141	450.271	1626.759	1709.712	348.271	1683.954	513.351	410.834	1680.398	442.244	323.295	1702.529	442.467	429.518	1707.218	1637.143	1707.274	218.405	399.651	449.904	1725.034	1738.123	466.93	1671.107	416.92	1711.001	396.136	1663.478	430.286	494.022	1709.26	1692.122	320.869	537.694	1684.515	
SHH_WT_models_highres49960.py	278.804	1709.956	1712.145	419.939	238.605	405.346	1693.536	195.697	0.0	299.501	386.21	252.605	296.541	401.691	393.83	260.742	305.682	1736.989	265.918	403.289	281.699	432.685	297.453	266.878	1712.553	1680.397	1682.656	1721.297	267.693	384.127	1698.428	418.589	1671.51	418.342	403.556	1719.447	434.3	246.909	1726.311	1708.267	1722.433	1635.381	176.245	1766.294	334.825	372.544	464.806	1698.046	316.545	1734.579	276.536	1726.27	1705.423	303.337	1711.033	1684.2	268.377	307.619	1661.331	124.401	331.288	1683.347	404.441	396.469	1640.602	327.876	1672.421	1656.803	401.606	328.324	394.468	448.698	339.971	199.999	1688.065	1686.857	389.85	1700.979	292.45	383.79	1678.244	1704.289	1627.24	363.565	1728.573	419.343	346.833	1706.606	1639.57	309.833	446.525	428.091	409.895	1717.783	1710.845	332.947	1692.56	1736.488	1712.226	424.83	409.276	1714.088	392.152	1703.559	1680.301	1698.175	408.923	381.472	329.784	512.641	1727.135	341.103	325.718	505.211	1665.65	1734.938	1729.888	406.895	480.168	329.371	487.447	1748.547	466.143	365.322	1685.254	1711.479	381.538	1707.485	405.531	1637.261	1746.716	455.945	354.495	1754.88	367.826	406.227	1685.603	1616.334	453.915	328.558	1719.606	1693.192	1694.449	312.882	290.657	589.727	453.308	1664.85	1704.03	303.358	354.223	1718.267	420.5	392.75	1713.082	444.221	1658.997	478.19	444.81	312.021	1741.627	1717.491	398.767	1697.244	460.307	408.158	457.343	1632.679	1713.36	313.592	1683.885	532.936	389.664	1684.781	426.265	306.443	1705.081	446.999	461.904	1710.028	1642.076	1710.557	210.843	400.652	473.645	1729.569	1741.511	496.59	1679.24	423.873	1715.867	415.062	1666.431	406.682	499.149	1713.462	1698.342	291.382	539.53	1686.88	
SHH_WT_models_highres11966.py	114.761	1728.48	1732.364	323.785	298.403	349.57	1708.772	273.467	299.501	0.0	292.577	247.783	253.747	354.763	343.219	280.143	182.093	1752.901	281.564	433.399	281.427	348.687	295.27	263.166	1731.067	1687.886	1700.17	1739.331	251.695	401.178	1718.08	339.411	1683.141	356.965	381.77	1729.567	341.294	243.642	1742.293	1719.321	1739.799	1649.593	308.244	1777.158	424.318	376.887	390.863	1715.529	330.379	1752.436	310.094	1738.157	1720.75	283.309	1732.186	1702.708	281.881	229.444	1688.111	331.703	182.414	1691.804	414.014	272.017	1655.271	335.427	1693.269	1670.029	338.963	181.672	428.26	363.898	368.909	335.671	1712.123	1712.57	386.534	1713.098	325.904	391.438	1687.573	1715.344	1642.494	286.618	1747.604	413.827	336.59	1728.56	1647.967	276.315	500.467	403.189	402.51	1739.456	1728.291	267.401	1710.591	1750.98	1731.915	436.494	416.491	1736.934	419.705	1725.931	1691.241	1721.673	308.693	283.617	272.772	472.156	1730.34	284.41	298.284	461.073	1668.223	1752.328	1745.468	423.874	409.737	349.617	452.321	1765.958	397.147	447.145	1696.127	1720.699	264.578	1721.556	413.933	1647.035	1760.639	396.135	357.401	1766.31	255.938	343.793	1710.903	1629.715	425.854	350.284	1742.553	1701.155	1708.986	336.083	286.343	525.109	366.421	1664.831	1722.278	340.045	242.213	1736.51	400.758	396.921	1732.962	368.733	1651.607	477.27	452.612	298.601	1760.038	1726.933	420.519	1721.121	413.452	414.25	389.585	1621.48	1725.188	203.508	1707.837	539.121	422.987	1704.437	359.592	356.136	1719.293	418.012	391.364	1729.977	1658.656	1721.497	356.831	378.624	392.407	1735.122	1749.616	481.452	1699.152	416.039	1727.324	393.619	1677.995	429.558	500.925	1714.691	1721.476	323.306	576.645	1706.568	
