	SHH_WT_models_highres25781.py	SHH_WT_models_highres38863.py	SHH_WT_models_highres38476.py	SHH_WT_models_highres22341.py	SHH_WT_models_highres6304.py	SHH_WT_models_highres41357.py	SHH_WT_models_highres24080.py	SHH_WT_models_highres6237.py	SHH_WT_models_highres45383.py	SHH_WT_models_highres49960.py	SHH_WT_models_highres23113.py	SHH_WT_models_highres38036.py	SHH_WT_models_highres11881.py	SHH_WT_models_highres49526.py	SHH_WT_models_highres8956.py	SHH_WT_models_highres6417.py	SHH_WT_models_highres41632.py	SHH_WT_models_highres35265.py	SHH_WT_models_highres11087.py	SHH_WT_models_highres17982.py	SHH_WT_models_highres35901.py	SHH_WT_models_highres17943.py	SHH_WT_models_highres22748.py	SHH_WT_models_highres35879.py	SHH_WT_models_highres31596.py	SHH_WT_models_highres11966.py	SHH_WT_models_highres1278.py	SHH_WT_models_highres29282.py	SHH_WT_models_highres37336.py	SHH_WT_models_highres22408.py	SHH_WT_models_highres9157.py	SHH_WT_models_highres20506.py	SHH_WT_models_highres4319.py	SHH_WT_models_highres15999.py	SHH_WT_models_highres19348.py	SHH_WT_models_highres37991.py	SHH_WT_models_highres8464.py	SHH_WT_models_highres24510.py	SHH_WT_models_highres5566.py	SHH_WT_models_highres29602.py	SHH_WT_models_highres38783.py	SHH_WT_models_highres12667.py	SHH_WT_models_highres34760.py	SHH_WT_models_highres1670.py	SHH_WT_models_highres24201.py	SHH_WT_models_highres19906.py	SHH_WT_models_highres3504.py	SHH_WT_models_highres49057.py	SHH_WT_models_highres39524.py	SHH_WT_models_highres49180.py	SHH_WT_models_highres49927.py	SHH_WT_models_highres31879.py	SHH_WT_models_highres34517.py	SHH_WT_models_highres10104.py	SHH_WT_models_highres23829.py	SHH_WT_models_highres30712.py	SHH_WT_models_highres42035.py	SHH_WT_models_highres22556.py	SHH_WT_models_highres18887.py	SHH_WT_models_highres5372.py	SHH_WT_models_highres31225.py	SHH_WT_models_highres46286.py	SHH_WT_models_highres25678.py	SHH_WT_models_highres32733.py	SHH_WT_models_highres47034.py	SHH_WT_models_highres8504.py	SHH_WT_models_highres47141.py	SHH_WT_models_highres21540.py	SHH_WT_models_highres13336.py	SHH_WT_models_highres1537.py	SHH_WT_models_highres17001.py	SHH_WT_models_highres92.py	SHH_WT_models_highres34081.py	SHH_WT_models_highres24271.py	SHH_WT_models_highres23265.py	SHH_WT_models_highres26194.py	SHH_WT_models_highres13173.py	SHH_WT_models_highres2023.py	SHH_WT_models_highres23577.py	SHH_WT_models_highres3582.py	SHH_WT_models_highres12864.py	SHH_WT_models_highres34615.py	SHH_WT_models_highres22983.py	SHH_WT_models_highres47636.py	SHH_WT_models_highres23072.py	SHH_WT_models_highres37859.py	SHH_WT_models_highres34599.py	SHH_WT_models_highres42525.py	SHH_WT_models_highres14127.py	SHH_WT_models_highres5395.py	SHH_WT_models_highres43463.py	SHH_WT_models_highres10187.py	SHH_WT_models_highres18275.py	SHH_WT_models_highres2349.py	SHH_WT_models_highres28239.py	SHH_WT_models_highres12514.py	SHH_WT_models_highres12385.py	SHH_WT_models_highres29684.py	SHH_WT_models_highres15028.py	SHH_WT_models_highres30575.py	SHH_WT_models_highres26312.py	SHH_WT_models_highres42203.py	SHH_WT_models_highres1093.py	SHH_WT_models_highres38114.py	SHH_WT_models_highres2418.py	SHH_WT_models_highres42354.py	SHH_WT_models_highres33745.py	SHH_WT_models_highres18351.py	SHH_WT_models_highres29979.py	SHH_WT_models_highres12150.py	SHH_WT_models_highres33734.py	SHH_WT_models_highres26110.py	SHH_WT_models_highres37468.py	SHH_WT_models_highres41537.py	SHH_WT_models_highres18152.py	
SHH_WT_models_highres25781.py	0.0	1728.301	1732.468	325.762	281.993	349.156	1710.197	277.212	278.804	114.761	280.723	237.355	280.411	372.687	356.102	285.348	189.08	1752.625	285.175	434.728	295.209	358.667	331.093	225.643	1731.512	1687.369	1701.051	1741.061	242.578	404.438	1715.091	350.425	1681.831	389.65	372.669	1730.756	356.173	247.356	1740.214	1717.57	1739.482	1651.094	324.792	1777.236	428.777	361.596	400.741	1714.107	349.807	1753.988	314.349	1738.328	1716.828	289.305	1733.928	1701.872	268.31	242.952	1686.678	302.698	207.694	1690.576	426.294	336.866	1658.436	346.653	1694.662	1669.223	378.071	151.796	440.42	377.09	396.709	347.113	1713.418	1713.163	386.258	1708.065	348.659	397.504	1686.723	1711.95	1641.533	258.196	1749.216	441.283	316.835	1730.371	1647.395	275.979	497.223	399.897	397.37	1741.018	1728.941	291.189	1709.065	1751.454	1735.063	456.92	448.446	1737.169	442.524	1728.173	1692.784	1723.982	360.068	333.862	299.763	487.257	1730.965	307.141	289.707	462.826	1671.789	
SHH_WT_models_highres38863.py	1728.301	0.0	167.686	1721.553	1665.783	1742.669	354.72	1707.229	1709.956	1728.48	1763.757	1767.302	1754.231	1739.211	1738.251	1766.334	1737.614	224.025	1760.377	1660.658	1754.228	1735.145	1698.742	1743.627	347.206	368.543	325.854	306.06	1752.175	1753.25	246.025	1740.827	384.737	1735.407	1740.209	376.641	1753.418	1740.839	225.465	249.876	285.935	444.848	1702.839	663.933	1673.283	1758.167	1759.674	331.286	1708.312	211.923	1772.111	402.404	443.079	1738.648	293.146	266.885	1769.617	1755.567	383.228	1710.334	1763.237	382.402	1752.868	1746.892	322.023	1782.318	375.084	398.0	1764.774	1714.969	1693.662	1727.79	1778.222	1717.771	312.249	403.04	1764.337	522.109	1722.956	1746.607	404.345	272.761	350.435	1786.476	328.193	1754.741	1787.453	384.885	404.591	1715.001	1680.663	1730.611	1741.724	380.797	343.137	1745.325	310.783	297.942	402.774	1766.358	1690.717	235.974	1690.393	335.826	306.954	410.207	1765.408	1736.371	1732.202	1757.515	412.805	1741.35	1757.468	1725.059	454.901	
SHH_WT_models_highres38476.py	1732.468	167.686	0.0	1727.56	1669.483	1744.279	357.091	1707.997	1712.145	1732.364	1767.223	1762.828	1745.78	1740.746	1737.572	1757.802	1737.764	234.245	1755.055	1666.72	1746.14	1741.809	1695.808	1749.254	380.108	392.073	335.228	240.607	1749.727	1752.496	233.495	1744.505	401.249	1732.079	1744.506	397.404	1756.36	1739.084	242.102	263.611	233.932	399.526	1704.965	684.391	1676.479	1758.735	1765.329	365.041	1707.559	222.953	1765.536	358.219	451.08	1735.061	233.988	243.974	1771.583	1750.19	408.795	1714.647	1759.039	411.625	1748.92	1736.457	310.618	1770.053	355.425	428.137	1745.782	1719.065	1693.899	1731.92	1766.911	1714.391	223.66	283.632	1766.571	476.366	1721.734	1750.171	425.997	307.68	393.831	1786.754	273.628	1748.255	1781.86	340.81	446.736	1714.166	1685.542	1736.801	1746.628	334.513	344.717	1739.216	327.787	256.945	355.093	1756.025	1693.703	217.432	1687.761	264.922	323.966	359.681	1749.753	1728.363	1727.076	1756.336	376.482	1730.909	1749.118	1733.298	450.291	
SHH_WT_models_highres22341.py	325.762	1721.553	1727.56	0.0	427.912	143.844	1690.192	404.441	419.939	323.785	427.102	380.223	396.562	190.797	191.366	398.324	369.463	1730.914	395.319	272.85	394.666	158.871	448.213	377.391	1707.478	1656.285	1700.078	1725.246	381.535	236.622	1703.381	177.556	1655.568	234.069	189.989	1707.258	149.22	392.018	1722.293	1693.287	1722.299	1635.544	434.468	1741.714	284.981	209.088	250.639	1678.542	463.803	1748.853	422.6	1711.666	1740.099	396.506	1730.641	1694.839	399.865	396.501	1666.184	438.875	372.174	1661.674	282.127	433.497	1662.023	436.78	1676.004	1642.465	466.02	350.231	310.779	179.792	457.54	448.203	1706.253	1692.248	232.573	1737.785	464.004	247.369	1664.236	1688.43	1636.924	413.758	1738.442	314.648	447.914	1714.933	1614.143	410.612	427.21	219.285	223.852	1720.294	1730.779	422.216	1697.574	1726.428	1716.784	337.216	326.021	1727.098	321.324	1724.085	1682.835	1708.168	457.017	430.691	417.303	410.877	1702.285	426.247	418.591	332.796	1650.983	
SHH_WT_models_highres6304.py	281.993	1665.783	1669.483	427.912	0.0	408.259	1655.878	268.025	238.605	298.403	384.421	357.742	375.107	439.412	402.211	388.163	320.731	1690.895	388.153	392.862	390.54	437.788	282.192	377.557	1678.462	1643.307	1639.014	1680.862	352.142	476.542	1651.447	400.018	1636.531	468.295	468.201	1683.817	449.35	316.417	1680.841	1659.658	1677.426	1603.479	271.001	1737.802	403.633	434.374	468.703	1664.073	292.517	1691.268	421.234	1688.573	1672.281	386.822	1668.069	1641.003	388.046	315.455	1633.98	280.533	353.248	1648.14	501.158	423.487	1595.359	430.788	1643.543	1622.344	455.077	306.984	375.115	431.646	476.262	319.539	1647.166	1650.06	474.501	1665.59	315.685	482.301	1643.558	1654.464	1590.178	371.56	1688.394	489.92	390.984	1670.768	1603.031	305.799	471.184	497.019	485.733	1684.663	1668.969	351.492	1648.265	1689.386	1680.253	517.753	410.733	1670.551	388.047	1661.605	1637.683	1667.769	447.411	394.244	360.449	518.421	1686.298	381.345	363.586	534.758	1629.138	
SHH_WT_models_highres41357.py	349.156	1742.669	1744.279	143.844	408.259	0.0	1712.546	396.695	405.346	349.57	440.743	364.248	365.912	188.808	174.957	392.806	369.569	1750.582	376.784	262.994	370.259	178.481	424.855	406.914	1733.073	1678.41	1717.311	1743.91	373.815	221.672	1722.674	185.015	1677.417	232.606	197.308	1731.086	180.697	371.7	1742.396	1712.539	1739.765	1654.96	413.937	1761.2	283.64	197.614	249.621	1703.082	445.467	1768.919	430.003	1730.487	1763.975	390.198	1744.782	1711.473	409.975	354.366	1688.343	434.356	386.484	1684.776	279.413	424.608	1679.245	442.061	1696.499	1666.751	455.028	373.148	286.472	165.534	447.831	428.908	1718.948	1705.063	225.406	1758.228	447.977	278.97	1687.329	1708.408	1660.921	423.141	1752.707	263.091	436.376	1736.275	1638.615	413.141	401.068	253.445	233.851	1741.277	1748.771	401.621	1717.861	1744.026	1736.313	325.393	307.986	1744.474	246.432	1737.105	1704.408	1728.189	443.261	419.657	423.059	382.642	1720.786	420.23	404.61	344.033	1673.837	
SHH_WT_models_highres24080.py	1710.197	354.72	357.091	1690.192	1655.878	1712.546	0.0	1688.599	1693.536	1708.772	1744.507	1745.762	1737.091	1709.298	1707.216	1747.906	1715.177	389.188	1731.852	1639.105	1735.873	1705.401	1688.835	1718.081	207.512	216.418	436.658	382.569	1720.133	1726.66	380.908	1705.727	230.999	1704.003	1708.293	207.542	1723.701	1730.74	398.021	376.445	375.639	243.652	1684.482	612.174	1646.536	1723.27	1727.094	262.001	1694.281	414.093	1748.15	262.507	333.748	1712.642	404.73	380.16	1740.815	1744.131	243.54	1686.962	1746.366	237.659	1723.788	1733.172	385.074	1760.517	202.436	255.706	1745.816	1691.699	1667.153	1699.53	1743.038	1697.131	400.428	448.632	1729.261	437.178	1712.888	1714.788	248.27	415.01	480.176	1766.516	403.556	1724.474	1761.176	202.678	265.442	1695.356	1704.213	1702.441	1712.045	225.205	426.756	1727.993	445.551	407.679	250.846	1735.06	1665.612	396.042	1664.656	426.388	412.23	256.64	1746.161	1715.101	1716.341	1772.639	260.205	1719.402	1743.538	1689.249	292.168	
SHH_WT_models_highres6237.py	277.212	1707.229	1707.997	404.441	268.025	396.695	1688.599	0.0	195.697	273.467	357.068	224.622	265.326	351.861	394.994	242.18	276.785	1732.007	238.149	414.711	255.177	428.717	263.778	268.615	1704.152	1677.305	1678.28	1717.595	243.541	398.105	1695.308	392.427	1666.48	382.586	406.726	1707.732	416.901	297.931	1720.352	1704.717	1718.412	1630.556	156.13	1762.393	359.149	420.187	450.084	1696.899	288.396	1726.316	268.197	1721.975	1701.775	237.563	1707.228	1675.255	253.7	322.139	1669.247	225.068	325.347	1679.44	394.831	335.566	1635.197	269.545	1668.087	1654.234	383.255	300.597	404.052	440.095	334.416	235.761	1683.969	1681.715	393.855	1700.018	327.857	378.411	1673.607	1702.612	1625.086	388.359	1722.566	393.533	370.636	1701.319	1636.217	307.344	443.096	413.223	421.078	1714.274	1705.8	335.896	1684.917	1730.092	1705.904	402.369	407.629	1713.112	404.055	1697.095	1677.052	1695.468	382.105	339.942	320.511	504.091	1720.568	351.084	312.513	510.55	1659.35	
SHH_WT_models_highres45383.py	278.804	1709.956	1712.145	419.939	238.605	405.346	1693.536	195.697	0.0	299.501	386.21	252.605	296.541	401.691	393.83	260.742	305.682	1736.989	265.918	403.289	281.699	432.685	297.453	266.878	1712.553	1680.397	1682.656	1721.297	267.693	384.127	1698.428	418.589	1671.51	418.342	403.556	1719.447	434.3	246.909	1726.311	1708.267	1722.433	1635.381	176.245	1766.294	334.825	372.544	464.806	1698.046	316.545	1734.579	276.536	1726.27	1705.423	303.337	1711.033	1684.2	268.377	307.619	1661.331	124.401	331.288	1683.347	404.441	396.469	1640.602	327.876	1672.421	1656.803	401.606	328.324	394.468	448.698	339.971	199.999	1688.065	1686.857	389.85	1700.979	292.45	383.79	1678.244	1704.289	1627.24	363.565	1728.573	419.343	346.833	1706.606	1639.57	309.833	446.525	428.091	409.895	1717.783	1710.845	332.947	1692.56	1736.488	1712.226	424.83	409.276	1714.088	392.152	1703.559	1680.301	1698.175	408.923	381.472	329.784	512.641	1727.135	341.103	325.718	505.211	1665.65	
SHH_WT_models_highres49960.py	114.761	1728.48	1732.364	323.785	298.403	349.57	1708.772	273.467	299.501	0.0	292.577	247.783	253.747	354.763	343.219	280.143	182.093	1752.901	281.564	433.399	281.427	348.687	295.27	263.166	1731.067	1687.886	1700.17	1739.331	251.695	401.178	1718.08	339.411	1683.141	356.965	381.77	1729.567	341.294	243.642	1742.293	1719.321	1739.799	1649.593	308.244	1777.158	424.318	376.887	390.863	1715.529	330.379	1752.436	310.094	1738.157	1720.75	283.309	1732.186	1702.708	281.881	229.444	1688.111	331.703	182.414	1691.804	414.014	272.017	1655.271	335.427	1693.269	1670.029	338.963	181.672	428.26	363.898	368.909	335.671	1712.123	1712.57	386.534	1713.098	325.904	391.438	1687.573	1715.344	1642.494	286.618	1747.604	413.827	336.59	1728.56	1647.967	276.315	500.467	403.189	402.51	1739.456	1728.291	267.401	1710.591	1750.98	1731.915	436.494	416.491	1736.934	419.705	1725.931	1691.241	1721.673	308.693	283.617	272.772	472.156	1730.34	284.41	298.284	461.073	1668.223	
