	Six_mouse_models37455.py	Six_mouse_models20174.py	Six_mouse_models38690.py	Six_mouse_models10811.py	Six_mouse_models15117.py	Six_mouse_models24968.py	Six_mouse_models918.py	Six_mouse_models36618.py	Six_mouse_models12314.py	Six_mouse_models22789.py	Six_mouse_models8863.py	Six_mouse_models24535.py	Six_mouse_models39421.py	Six_mouse_models23566.py	Six_mouse_models27791.py	Six_mouse_models36432.py	Six_mouse_models30179.py	Six_mouse_models12750.py	Six_mouse_models8255.py	Six_mouse_models49893.py	Six_mouse_models23222.py	Six_mouse_models17756.py	Six_mouse_models48513.py	Six_mouse_models24703.py	Six_mouse_models31015.py	Six_mouse_models11370.py	Six_mouse_models7247.py	Six_mouse_models6364.py	Six_mouse_models49081.py	Six_mouse_models18368.py	Six_mouse_models28062.py	Six_mouse_models33861.py	Six_mouse_models14178.py	Six_mouse_models36715.py	Six_mouse_models4575.py	Six_mouse_models24482.py	Six_mouse_models25136.py	Six_mouse_models14262.py	Six_mouse_models44251.py	Six_mouse_models48573.py	Six_mouse_models38755.py	Six_mouse_models655.py	Six_mouse_models2564.py	Six_mouse_models25663.py	Six_mouse_models13801.py	Six_mouse_models20327.py	Six_mouse_models9268.py	Six_mouse_models23848.py	Six_mouse_models19966.py	Six_mouse_models2110.py	Six_mouse_models24016.py	Six_mouse_models23833.py	Six_mouse_models26036.py	Six_mouse_models9042.py	Six_mouse_models44717.py	Six_mouse_models25959.py	Six_mouse_models20817.py	Six_mouse_models10289.py	Six_mouse_models30124.py	Six_mouse_models9465.py	Six_mouse_models32.py	Six_mouse_models43061.py	Six_mouse_models24027.py	Six_mouse_models43439.py	Six_mouse_models32878.py	Six_mouse_models18683.py	Six_mouse_models17239.py	Six_mouse_models18082.py	Six_mouse_models23837.py	Six_mouse_models24115.py	Six_mouse_models42115.py	Six_mouse_models12693.py	Six_mouse_models469.py	Six_mouse_models20897.py	Six_mouse_models13033.py	Six_mouse_models38578.py	Six_mouse_models46556.py	Six_mouse_models2070.py	Six_mouse_models17178.py	Six_mouse_models4952.py	Six_mouse_models3269.py	Six_mouse_models4128.py	Six_mouse_models49270.py	Six_mouse_models45856.py	Six_mouse_models39041.py	Six_mouse_models9617.py	Six_mouse_models380.py	Six_mouse_models4407.py	Six_mouse_models22040.py	Six_mouse_models48086.py	Six_mouse_models5551.py	Six_mouse_models28097.py	Six_mouse_models40464.py	Six_mouse_models25517.py	Six_mouse_models5535.py	Six_mouse_models33140.py	Six_mouse_models36748.py	Six_mouse_models24474.py	Six_mouse_models19402.py	Six_mouse_models28226.py	Six_mouse_models31826.py	Six_mouse_models3490.py	Six_mouse_models25955.py	Six_mouse_models10170.py	Six_mouse_models16824.py	Six_mouse_models45064.py	Six_mouse_models10486.py	Six_mouse_models16162.py	Six_mouse_models38863.py	Six_mouse_models15504.py	Six_mouse_models11017.py	Six_mouse_models26179.py	Six_mouse_models47608.py	Six_mouse_models28537.py	Six_mouse_models36339.py	Six_mouse_models44324.py	Six_mouse_models34148.py	Six_mouse_models48880.py	Six_mouse_models43457.py	Six_mouse_models18305.py	Six_mouse_models12049.py	Six_mouse_models26804.py	Six_mouse_models34188.py	Six_mouse_models26653.py	Six_mouse_models1007.py	Six_mouse_models27183.py	Six_mouse_models49851.py	Six_mouse_models40438.py	Six_mouse_models41648.py	Six_mouse_models29270.py	Six_mouse_models2970.py	Six_mouse_models433.py	Six_mouse_models2596.py	Six_mouse_models46861.py	Six_mouse_models9475.py	Six_mouse_models3660.py	Six_mouse_models35271.py	Six_mouse_models4828.py	Six_mouse_models43407.py	Six_mouse_models33559.py	Six_mouse_models436.py	Six_mouse_models19407.py	Six_mouse_models4411.py	Six_mouse_models41645.py	Six_mouse_models24658.py	Six_mouse_models35416.py	Six_mouse_models17088.py	Six_mouse_models15222.py	Six_mouse_models40675.py	Six_mouse_models28548.py	Six_mouse_models44200.py	Six_mouse_models749.py	Six_mouse_models25281.py	Six_mouse_models29151.py	Six_mouse_models39562.py	Six_mouse_models18989.py	Six_mouse_models39307.py	Six_mouse_models27280.py	Six_mouse_models45447.py	Six_mouse_models49200.py	Six_mouse_models8909.py	Six_mouse_models46675.py	Six_mouse_models10710.py	Six_mouse_models677.py	Six_mouse_models37595.py	Six_mouse_models44792.py	Six_mouse_models35625.py	Six_mouse_models47451.py	Six_mouse_models48604.py	Six_mouse_models39401.py	Six_mouse_models21704.py	Six_mouse_models8585.py	Six_mouse_models33993.py	Six_mouse_models16182.py	Six_mouse_models39436.py	Six_mouse_models48847.py	Six_mouse_models21597.py	Six_mouse_models30079.py	Six_mouse_models14974.py	Six_mouse_models19283.py	Six_mouse_models4772.py	Six_mouse_models7712.py	Six_mouse_models14155.py	Six_mouse_models39349.py	Six_mouse_models43352.py	Six_mouse_models36290.py	Six_mouse_models26931.py	Six_mouse_models49815.py	Six_mouse_models9766.py	Six_mouse_models46973.py	Six_mouse_models33238.py	Six_mouse_models29317.py	Six_mouse_models22723.py	Six_mouse_models32887.py	Six_mouse_models23955.py	Six_mouse_models23349.py	Six_mouse_models48145.py	Six_mouse_models47029.py	Six_mouse_models1439.py	Six_mouse_models23784.py	
Six_mouse_models37455.py	0.0	2286.181	935.214	242.066	904.996	2340.014	364.221	815.829	967.307	914.769	2281.595	911.896	966.271	2284.831	2309.766	2323.961	2373.969	2185.681	2276.853	2351.301	872.439	2334.971	2235.626	2326.412	911.344	783.392	2280.539	902.655	2231.649	2285.359	921.903	2258.813	931.933	470.151	2284.008	961.473	2271.868	2265.484	2256.97	1023.44	420.075	2209.555	2263.661	2207.731	796.967	2284.834	934.039	900.186	909.105	930.554	2279.869	911.396	789.951	2370.125	803.965	1010.163	2210.486	426.208	2245.919	1009.9	2270.285	2252.051	945.599	905.177	2236.981	422.182	906.367	908.85	2306.045	887.349	797.051	2272.501	940.434	2365.213	1009.369	906.221	2224.769	2308.82	2273.728	2274.26	2378.663	2341.766	976.217	2331.502	2206.496	903.146	938.265	2312.728	2339.541	881.288	2370.251	2283.268	993.4	2309.139	491.244	792.788	2212.117	2326.412	2289.843	2328.974	2276.355	1012.257	953.98	2280.813	2258.127	787.656	2277.659	930.019	985.684	2378.274	2315.242	448.644	2304.319	2254.02	1011.241	532.093	1009.041	2289.421	1010.954	484.383	2267.641	2265.315	823.522	2235.237	2293.893	1000.219	917.016	2236.694	2300.218	442.894	1012.916	970.65	882.521	584.958	972.022	2313.388	967.978	2196.785	2206.105	991.013	981.196	817.412	987.354	2301.087	2274.581	929.445	2237.728	503.095	986.234	2317.275	2271.622	406.833	817.135	896.504	2285.492	2232.61	923.781	970.778	908.386	2376.631	953.139	2295.776	921.632	2313.621	965.892	954.82	942.246	941.377	505.75	965.879	2208.436	2352.975	2253.545	1009.515	828.097	2220.34	2317.783	2313.129	2261.111	2331.191	852.199	973.939	2222.423	873.441	2282.78	486.044	997.927	950.475	525.896	2230.486	458.013	2284.855	976.156	978.66	993.043	881.033	957.419	992.631	2184.691	2261.562	
Six_mouse_models20174.py	2286.181	0.0	2346.246	2299.972	2360.687	800.121	2290.086	2339.975	2380.789	2328.859	816.881	2329.949	2342.537	443.592	824.1	778.201	794.647	545.449	808.261	801.078	2331.076	810.683	871.829	763.367	2304.814	2332.946	791.482	2305.641	868.492	831.006	2301.359	600.552	2306.21	2299.954	801.245	2360.172	294.649	770.82	805.772	2371.468	2291.924	861.558	870.375	895.062	2311.645	867.404	2352.828	2358.814	2321.907	2302.604	818.07	2349.721	2314.031	789.268	2289.676	2378.934	688.679	2248.037	933.097	2384.237	824.087	593.2	2354.782	2295.639	881.324	2246.419	2291.161	2340.026	882.211	2309.625	2313.225	807.727	2337.098	803.443	2380.047	2328.692	919.079	876.435	851.301	859.087	902.58	881.453	2295.612	842.397	920.755	2268.983	2284.489	912.119	840.539	2313.14	877.292	859.067	2361.126	739.44	2323.142	2291.504	761.41	880.866	820.943	792.566	760.594	2349.112	2378.176	781.515	576.345	2309.92	732.875	2271.45	2353.059	909.574	857.201	2320.132	845.814	771.993	2384.139	2303.023	2355.736	881.028	2395.858	2293.677	848.617	921.797	2298.191	619.532	873.399	2370.276	2255.91	778.551	775.181	2273.128	2367.936	2377.766	2334.908	2254.774	2288.007	736.454	2336.296	618.655	907.611	2370.436	2311.768	2258.998	2307.442	872.388	882.124	2335.83	916.536	2276.417	2336.266	876.344	724.084	2273.27	2323.876	2295.106	856.264	826.338	2303.892	2316.89	2375.666	886.724	2270.781	848.026	2302.244	823.71	2323.252	2320.246	2348.642	2269.945	2317.555	2263.949	618.379	868.778	675.219	2387.941	2308.885	630.097	857.584	842.808	903.361	872.284	2347.014	2334.93	935.383	2293.535	753.543	2332.935	2315.046	2297.946	2285.979	858.55	2307.715	764.428	2325.571	2328.856	2354.208	2346.742	2299.868	2314.0	900.443	911.738	
Six_mouse_models38690.py	935.214	2346.246	0.0	931.874	241.684	2212.188	903.159	461.048	205.731	372.675	2222.87	312.641	308.853	2395.801	2207.6	2222.141	2226.91	2316.315	2222.743	2226.439	352.965	2230.855	2251.813	2238.317	377.569	510.827	2227.302	354.239	2260.905	2196.969	412.953	2345.004	353.784	982.392	2237.435	251.527	2332.362	2234.888	2200.182	274.829	1014.515	2244.51	2258.041	2244.216	530.427	2216.132	236.122	358.03	350.79	414.395	2212.418	274.444	528.737	2221.14	585.438	390.85	2314.761	864.63	2251.491	375.833	2225.872	2340.218	269.087	452.676	2256.487	952.286	419.977	315.504	2235.36	375.553	504.542	2194.899	357.735	2228.846	431.896	367.476	2242.818	2231.571	2295.11	2244.11	2247.758	2241.067	532.758	2244.54	2245.019	460.514	408.32	2285.181	2248.607	347.671	2232.911	2231.195	260.483	2243.162	997.028	583.763	2246.923	2237.795	2236.276	2247.757	2244.214	467.792	316.525	2233.487	2337.591	519.44	2245.77	507.915	363.928	2243.404	2247.907	994.641	2241.789	2239.857	389.241	951.134	494.967	2224.828	404.708	825.092	2237.606	2274.531	605.207	2333.717	2209.572	410.739	489.735	2210.618	2231.869	1065.786	373.364	423.772	486.808	808.785	544.953	2249.057	394.304	2311.714	2247.389	393.166	376.059	667.462	492.622	2225.003	2279.585	316.896	2266.261	775.904	347.739	2264.134	2250.441	1031.527	595.763	395.778	2229.589	2203.308	424.709	464.509	559.28	2258.001	581.833	2228.419	472.836	2253.686	474.777	455.627	473.053	472.619	974.711	577.196	2303.045	2258.114	2343.509	392.941	633.719	2326.274	2216.215	2230.146	2212.595	2271.664	567.879	387.164	2256.46	693.434	2244.652	850.573	490.142	485.301	871.059	2198.358	984.39	2244.782	435.564	453.364	435.588	609.192	446.049	519.491	2222.722	2233.568	
Six_mouse_models10811.py	242.066	2299.972	931.874	0.0	887.923	2345.672	430.91	791.22	959.682	932.131	2285.058	883.866	949.365	2298.391	2325.426	2329.338	2384.95	2204.767	2275.795	2349.588	872.438	2344.394	2242.474	2330.547	927.53	800.122	2284.097	914.858	2228.224	2294.344	920.56	2260.035	950.536	529.363	2297.378	947.065	2293.426	2272.121	2266.034	1005.089	466.007	2218.239	2271.214	2205.707	818.281	2279.803	926.449	884.66	930.472	920.426	2295.635	896.65	790.651	2382.689	825.61	989.365	2225.286	501.043	2245.822	1001.769	2269.398	2266.909	921.947	905.734	2236.492	441.589	918.769	902.387	2303.303	886.033	812.472	2283.726	917.189	2365.278	1011.365	931.16	2222.358	2314.523	2267.909	2278.925	2380.852	2346.339	992.0	2340.304	2210.44	915.526	955.429	2323.136	2349.776	876.793	2374.231	2285.283	962.552	2314.299	448.127	805.142	2241.527	2324.483	2287.243	2330.674	2279.941	994.141	956.7	2283.223	2280.33	805.874	2287.336	947.704	956.568	2377.122	2317.829	510.635	2312.234	2264.137	1002.763	540.372	1014.854	2301.363	1016.848	551.073	2270.694	2267.208	826.192	2253.273	2295.38	1004.489	914.467	2249.092	2304.692	521.04	1004.449	914.407	881.064	624.053	968.002	2321.899	980.433	2220.977	2212.877	995.018	983.604	842.453	952.541	2314.322	2280.133	923.925	2241.96	537.634	987.26	2319.06	2280.727	465.044	827.334	911.587	2286.588	2242.376	904.122	982.896	891.467	2377.749	968.933	2298.168	935.301	2327.634	962.31	962.43	924.803	965.8	463.599	962.582	2230.469	2352.535	2269.281	1019.457	835.463	2237.217	2319.471	2313.693	2261.148	2331.666	846.175	959.641	2225.057	840.196	2281.54	564.159	1019.175	934.04	555.138	2233.906	491.195	2279.66	992.836	974.003	974.522	875.425	987.093	989.015	2198.099	2262.482	
Six_mouse_models15117.py	904.996	2360.687	241.684	887.923	0.0	2228.379	849.45	339.387	312.549	387.626	2247.6	317.469	322.805	2403.856	2226.813	2235.002	2233.361	2317.309	2243.939	2244.683	281.641	2249.543	2258.849	2253.613	401.771	489.796	2248.066	373.041	2255.074	2221.066	424.233	2352.586	436.776	942.297	2263.157	216.163	2357.284	2254.333	2225.566	371.715	951.81	2249.438	2260.12	2236.757	485.917	2230.72	339.081	370.179	459.32	437.006	2230.021	326.509	512.531	2242.776	558.809	405.821	2313.117	841.921	2248.0	426.115	2248.463	2354.213	344.494	463.798	2256.811	916.037	460.138	332.619	2244.477	441.042	471.034	2214.978	417.686	2241.316	475.997	423.466	2229.612	2254.389	2291.4	2263.547	2269.702	2262.633	536.067	2267.178	2235.603	498.813	419.58	2288.27	2266.639	394.181	2250.899	2237.34	273.289	2263.203	928.779	532.416	2250.247	2259.439	2255.937	2255.339	2268.098	472.264	432.494	2251.984	2359.471	476.792	2266.336	530.304	366.254	2263.084	2267.411	965.434	2267.686	2263.28	458.647	918.17	508.661	2245.925	424.896	779.59	2253.753	2275.559	537.715	2333.213	2225.729	441.154	496.852	2231.763	2255.77	1021.584	440.908	419.907	388.872	857.306	503.885	2263.801	408.101	2317.588	2244.062	463.645	421.442	651.542	487.81	2235.983	2279.631	399.95	2264.6	775.478	422.731	2287.714	2273.674	966.946	574.335	445.753	2253.946	2226.16	455.158	500.637	517.399	2271.197	573.691	2251.907	524.314	2277.685	508.496	472.032	410.723	499.451	902.935	545.881	2310.289	2277.702	2342.126	452.364	581.152	2326.273	2236.852	2246.165	2234.456	2295.663	542.205	447.517	2252.858	632.851	2263.009	806.925	538.434	499.774	820.566	2218.175	977.228	2265.283	513.946	441.767	437.421	579.356	491.879	512.419	2223.852	2252.114	
Six_mouse_models24968.py	2340.014	800.121	2212.188	2345.672	2228.379	0.0	2362.092	2247.689	2234.924	2203.223	294.44	2212.249	2214.74	907.131	229.628	341.97	315.066	942.513	364.767	337.394	2203.323	404.022	518.231	396.425	2210.293	2252.269	371.709	2213.203	541.706	259.465	2210.01	936.656	2195.843	2356.82	385.761	2233.494	809.366	348.143	278.558	2217.68	2348.25	549.695	486.547	632.299	2240.953	443.685	2216.388	2205.595	2239.675	2212.581	377.34	2225.323	2243.508	314.456	2236.344	2256.888	1054.245	2317.678	611.522	2245.207	413.572	950.04	2227.837	2210.265	551.815	2305.278	2204.185	2219.548	487.15	2228.631	2244.148	233.233	2209.341	362.254	2277.409	2199.345	615.313	473.444	553.652	445.93	533.833	489.169	2202.712	448.406	641.602	2196.693	2206.227	652.062	459.995	2222.25	478.888	429.585	2212.975	410.329	2398.28	2232.457	835.795	487.358	437.358	359.039	407.401	2266.42	2223.655	414.26	918.492	2255.282	378.978	2164.235	2233.193	534.306	515.619	2381.877	464.461	440.992	2237.853	2371.446	2266.962	424.15	2250.193	2260.825	467.064	682.406	2230.179	1013.039	431.565	2237.098	2188.586	438.36	344.239	2314.803	2241.146	2215.54	2205.63	2306.954	2198.075	368.8	2212.08	1001.911	587.757	2255.267	2225.444	2207.186	2207.828	435.801	632.842	2233.796	676.044	2303.68	2233.028	553.874	414.52	2323.319	2263.912	2214.547	483.076	460.265	2234.688	2247.133	2302.81	562.88	2192.363	449.658	2238.853	484.669	2255.685	2201.104	2273.797	2176.37	2386.958	2197.553	899.896	489.402	1060.629	2254.704	2262.29	1019.427	420.359	419.575	514.191	534.703	2298.819	2249.182	724.051	2246.045	425.085	2302.521	2229.288	2214.185	2248.313	519.655	2364.788	436.009	2249.461	2246.746	2248.812	2303.817	2212.663	2242.439	644.285	609.571	
Six_mouse_models918.py	364.221	2290.086	903.159	430.91	849.45	2362.092	0.0	827.19	935.419	881.042	2329.483	885.019	901.634	2291.143	2338.525	2348.98	2360.65	2234.527	2310.416	2380.137	844.499	2354.488	2299.479	2352.562	889.375	865.756	2314.374	854.443	2302.33	2321.397	886.688	2304.379	902.234	442.275	2320.646	887.052	2276.832	2312.226	2307.997	972.915	406.641	2272.981	2324.707	2258.657	874.224	2321.059	927.094	880.723	897.975	890.002	2324.622	887.209	866.658	2375.378	863.946	962.22	2246.787	292.596	2292.877	980.646	2316.666	2275.681	895.044	895.441	2300.517	492.93	890.737	868.185	2334.797	879.447	865.497	2315.27	942.721	2390.715	956.85	895.966	2274.437	2358.812	2334.368	2324.378	2402.713	2377.148	924.207	2371.937	2257.223	885.986	908.875	2359.422	2379.634	847.591	2395.506	2329.49	934.786	2345.769	525.643	826.981	2257.756	2372.191	2321.99	2380.017	2323.887	956.454	953.092	2308.658	2288.762	819.795	2319.256	942.329	958.079	2392.955	2351.619	538.685	2332.208	2297.637	1008.62	472.588	978.139	2321.696	953.351	586.231	2316.519	2322.232	879.299	2287.271	2328.01	986.245	912.052	2284.225	2335.225	566.049	976.284	911.881	822.613	528.139	926.447	2348.039	941.725	2236.89	2273.677	974.445	940.521	898.973	931.592	2323.16	2328.165	917.151	2306.342	413.766	959.979	2363.041	2319.546	428.783	878.8	871.869	2332.441	2279.607	869.727	950.926	916.074	2396.976	935.108	2324.133	902.394	2360.312	966.01	938.281	919.172	941.859	488.078	930.175	2225.268	2399.23	2282.875	986.313	860.594	2247.137	2362.877	2360.192	2301.104	2386.566	913.979	954.766	2282.074	925.189	2321.393	604.048	991.099	915.136	627.422	2267.494	601.157	2324.973	971.364	944.532	966.619	910.106	915.432	985.468	2241.165	2313.245	
Six_mouse_models36618.py	815.829	2339.975	461.048	791.22	339.387	2247.689	827.19	0.0	509.375	489.46	2247.325	411.707	468.284	2347.142	2242.647	2266.458	2256.697	2241.403	2237.862	2268.251	361.728	2280.961	2204.184	2280.459	482.822	319.53	2242.946	449.35	2192.032	2222.884	474.289	2272.811	515.431	863.259	2265.961	430.996	2333.251	2246.892	2224.901	555.162	847.174	2191.028	2226.051	2174.982	322.968	2216.066	499.737	473.83	547.88	478.232	2240.748	435.592	339.689	2255.333	360.437	542.809	2229.238	835.852	2187.983	576.55	2236.326	2284.202	448.827	501.521	2193.852	801.19	509.664	444.548	2221.612	501.22	311.065	2221.913	512.643	2285.254	590.841	513.003	2169.573	2259.246	2234.06	2235.916	2304.028	2279.823	564.858	2292.382	2175.242	528.751	515.872	2269.218	2302.367	469.152	2294.11	2207.069	486.412	2284.961	873.435	322.903	2183.944	2260.563	2242.574	2275.727	2266.349	570.108	551.094	2248.466	2295.596	297.835	2266.229	570.423	518.258	2293.529	2273.76	901.305	2265.099	2251.952	606.331	873.589	603.034	2243.084	602.332	671.607	2238.517	2228.316	365.518	2264.6	2213.93	583.212	523.34	2230.176	2264.304	914.231	582.609	546.588	403.966	928.181	520.63	2289.684	560.589	2245.105	2185.859	583.426	552.548	459.272	533.48	2228.902	2240.276	543.978	2216.121	786.295	567.642	2290.23	2272.67	856.645	392.749	517.331	2250.26	2214.284	502.308	599.968	424.915	2306.254	578.096	2245.368	553.473	2302.219	600.524	543.325	456.236	553.136	837.559	547.619	2254.967	2299.66	2268.209	618.788	376.923	2249.833	2240.776	2254.014	2216.399	2303.79	444.663	558.827	2199.297	427.438	2250.663	702.704	629.945	537.487	687.185	2201.933	925.228	2260.087	617.743	538.128	546.269	474.321	551.072	594.805	2170.339	2236.666	
Six_mouse_models12314.py	967.307	2380.789	205.731	959.682	312.549	2234.924	935.419	509.375	0.0	403.411	2244.086	358.871	340.013	2408.805	2240.071	2233.033	2236.582	2357.014	2242.876	2233.708	435.293	2237.217	2281.204	2250.357	410.819	513.116	2257.37	401.797	2292.045	2224.178	433.65	2382.105	395.964	997.7	2266.515	299.978	2358.943	2267.191	2230.819	236.388	1053.508	2277.629	2278.776	2276.285	519.525	2243.413	260.08	382.973	312.879	421.763	2244.956	302.524	542.425	2241.26	597.673	390.773	2354.382	899.41	2281.904	343.768	2248.223	2372.591	311.424	482.2	2283.165	987.443	455.506	367.226	2260.308	393.215	497.19	2228.817	364.792	2226.236	406.152	383.627	2273.773	2257.384	2303.217	2269.63	2242.551	2248.839	540.415	2260.872	2272.859	505.905	423.178	2298.372	2265.395	397.992	2230.76	2256.187	313.655	2254.122	1019.245	621.418	2280.971	2257.841	2262.028	2257.375	2268.404	495.388	303.071	2260.083	2370.396	541.214	2273.782	548.178	424.818	2239.545	2267.975	993.847	2270.475	2272.189	367.246	972.054	458.82	2255.579	396.434	870.163	2256.613	2297.142	628.982	2374.623	2232.926	416.983	539.907	2247.632	2254.077	1091.194	378.479	461.595	534.52	822.907	574.936	2264.539	412.616	2353.833	2276.99	342.645	432.039	679.907	528.171	2241.871	2301.871	334.066	2298.288	791.984	372.031	2278.976	2278.589	1070.7	578.172	446.335	2249.335	2240.493	445.542	474.312	566.754	2250.649	594.059	2255.208	446.524	2276.963	481.666	441.189	523.697	468.014	993.978	615.907	2340.992	2268.107	2384.318	372.209	627.69	2374.391	2239.65	2255.084	2237.124	2288.702	582.432	387.011	2285.37	686.425	2271.153	866.548	479.39	517.361	922.109	2232.084	983.425	2257.954	431.959	488.871	433.339	627.006	449.064	528.514	2254.452	2259.603	
Six_mouse_models22789.py	914.769	2328.859	372.675	932.131	387.626	2203.223	881.042	489.46	403.411	0.0	2199.462	269.758	289.731	2376.925	2183.517	2234.931	2233.312	2292.123	2202.954	2232.038	270.113	2241.617	2224.949	2246.503	145.391	512.477	2197.375	243.583	2228.555	2168.655	227.405	2307.581	233.208	870.804	2213.011	392.146	2308.043	2207.018	2174.933	545.124	913.436	2211.57	2247.207	2211.556	492.978	2181.074	304.212	313.116	374.138	288.257	2191.651	345.853	507.448	2205.727	507.694	510.47	2275.705	819.049	2218.146	528.735	2198.827	2300.694	396.355	273.873	2224.032	886.254	252.799	249.276	2204.949	340.408	503.009	2166.167	339.946	2254.109	476.667	238.159	2206.382	2212.858	2276.96	2209.58	2270.988	2249.202	277.266	2246.019	2208.951	280.896	256.684	2291.908	2265.345	342.235	2265.125	2204.814	531.763	2250.156	1026.165	540.051	2214.561	2221.299	2206.677	2255.577	2223.006	492.895	407.331	2206.212	2290.865	482.28	2224.062	270.799	502.465	2263.416	2234.486	1004.875	2214.796	2208.688	575.039	869.818	448.16	2193.589	500.277	763.252	2221.155	2259.632	466.242	2300.734	2176.496	466.757	337.164	2179.897	2217.032	936.111	526.581	423.097	320.497	860.502	311.618	2249.128	399.753	2268.639	2218.063	511.276	423.483	544.513	372.404	2211.324	2265.618	536.476	2242.517	767.683	463.184	2258.998	2227.314	930.496	543.442	227.712	2208.07	2162.683	382.797	447.05	669.256	2296.475	313.512	2196.85	384.575	2252.537	494.87	267.945	531.402	265.92	981.112	351.685	2270.566	2265.492	2311.173	458.176	527.475	2281.393	2192.214	2215.005	2174.492	2273.187	652.427	524.657	2225.704	604.207	2217.486	805.677	438.207	320.848	782.669	2159.928	1034.226	2227.859	479.867	441.418	522.461	688.768	252.269	460.778	2179.765	2198.94	
