	Six_zebra_models19141.py	Six_zebra_models30685.py	Six_zebra_models31521.py	Six_zebra_models5357.py	Six_zebra_models21964.py	Six_zebra_models33077.py	Six_zebra_models13971.py	Six_zebra_models31450.py	Six_zebra_models30077.py	Six_zebra_models40097.py	Six_zebra_models6232.py	Six_zebra_models11675.py	Six_zebra_models9809.py	Six_zebra_models16815.py	Six_zebra_models31407.py	Six_zebra_models31012.py	Six_zebra_models23934.py	Six_zebra_models32367.py	Six_zebra_models29975.py	Six_zebra_models41766.py	Six_zebra_models45108.py	Six_zebra_models10562.py	Six_zebra_models40274.py	Six_zebra_models20989.py	Six_zebra_models48603.py	Six_zebra_models18520.py	Six_zebra_models28610.py	Six_zebra_models6742.py	Six_zebra_models6845.py	Six_zebra_models44976.py	Six_zebra_models26549.py	Six_zebra_models15390.py	Six_zebra_models41230.py	Six_zebra_models13986.py	Six_zebra_models9343.py	Six_zebra_models32843.py	Six_zebra_models17723.py	Six_zebra_models48110.py	Six_zebra_models7301.py	Six_zebra_models8148.py	Six_zebra_models45514.py	Six_zebra_models6070.py	Six_zebra_models18265.py	Six_zebra_models3208.py	Six_zebra_models31570.py	Six_zebra_models26789.py	Six_zebra_models11849.py	Six_zebra_models26054.py	Six_zebra_models24118.py	Six_zebra_models8646.py	Six_zebra_models42748.py	Six_zebra_models19011.py	Six_zebra_models49458.py	Six_zebra_models47696.py	Six_zebra_models26526.py	Six_zebra_models48658.py	Six_zebra_models24181.py	Six_zebra_models39759.py	Six_zebra_models5087.py	Six_zebra_models8371.py	Six_zebra_models35233.py	Six_zebra_models6913.py	Six_zebra_models38315.py	Six_zebra_models40040.py	Six_zebra_models13643.py	Six_zebra_models43329.py	Six_zebra_models17323.py	Six_zebra_models48117.py	Six_zebra_models27030.py	Six_zebra_models7326.py	Six_zebra_models29145.py	Six_zebra_models6022.py	Six_zebra_models12459.py	Six_zebra_models30406.py	Six_zebra_models23632.py	Six_zebra_models47209.py	Six_zebra_models33241.py	Six_zebra_models49742.py	Six_zebra_models7675.py	Six_zebra_models33593.py	Six_zebra_models31239.py	Six_zebra_models41213.py	Six_zebra_models32405.py	Six_zebra_models19570.py	Six_zebra_models31567.py	Six_zebra_models32794.py	Six_zebra_models38753.py	Six_zebra_models70.py	Six_zebra_models39147.py	Six_zebra_models14045.py	Six_zebra_models40466.py	Six_zebra_models44165.py	Six_zebra_models44419.py	Six_zebra_models42684.py	Six_zebra_models47909.py	Six_zebra_models42582.py	Six_zebra_models7070.py	Six_zebra_models42418.py	Six_zebra_models30110.py	Six_zebra_models36599.py	Six_zebra_models41366.py	Six_zebra_models22688.py	Six_zebra_models8758.py	Six_zebra_models33742.py	Six_zebra_models13458.py	Six_zebra_models44763.py	Six_zebra_models44.py	Six_zebra_models39827.py	Six_zebra_models24276.py	Six_zebra_models34481.py	Six_zebra_models37407.py	Six_zebra_models48782.py	Six_zebra_models1567.py	Six_zebra_models35444.py	Six_zebra_models27943.py	Six_zebra_models688.py	Six_zebra_models49070.py	Six_zebra_models32355.py	Six_zebra_models17665.py	Six_zebra_models44006.py	Six_zebra_models45283.py	Six_zebra_models7937.py	Six_zebra_models46895.py	Six_zebra_models8788.py	Six_zebra_models34065.py	Six_zebra_models7436.py	Six_zebra_models16607.py	Six_zebra_models24449.py	Six_zebra_models44732.py	Six_zebra_models49145.py	Six_zebra_models43232.py	Six_zebra_models43305.py	Six_zebra_models27294.py	Six_zebra_models41696.py	Six_zebra_models19050.py	Six_zebra_models48514.py	Six_zebra_models12356.py	Six_zebra_models28341.py	Six_zebra_models39576.py	Six_zebra_models44714.py	Six_zebra_models814.py	Six_zebra_models11123.py	Six_zebra_models46800.py	Six_zebra_models44457.py	Six_zebra_models43140.py	Six_zebra_models23020.py	Six_zebra_models39091.py	Six_zebra_models36304.py	Six_zebra_models20028.py	Six_zebra_models49576.py	Six_zebra_models44432.py	Six_zebra_models10386.py	Six_zebra_models13485.py	Six_zebra_models28596.py	Six_zebra_models40470.py	Six_zebra_models45725.py	Six_zebra_models29901.py	Six_zebra_models46815.py	Six_zebra_models1011.py	Six_zebra_models30383.py	Six_zebra_models11801.py	Six_zebra_models25374.py	Six_zebra_models49388.py	Six_zebra_models30473.py	Six_zebra_models41232.py	Six_zebra_models30001.py	Six_zebra_models9215.py	Six_zebra_models26211.py	Six_zebra_models2299.py	Six_zebra_models17787.py	Six_zebra_models48389.py	Six_zebra_models19111.py	Six_zebra_models557.py	Six_zebra_models41516.py	Six_zebra_models19885.py	Six_zebra_models16368.py	Six_zebra_models43332.py	Six_zebra_models17743.py	Six_zebra_models20594.py	Six_zebra_models16120.py	Six_zebra_models21838.py	Six_zebra_models45198.py	Six_zebra_models9786.py	Six_zebra_models23434.py	Six_zebra_models23904.py	Six_zebra_models5319.py	Six_zebra_models19053.py	Six_zebra_models10463.py	Six_zebra_models15851.py	Six_zebra_models36984.py	Six_zebra_models861.py	Six_zebra_models23773.py	Six_zebra_models44090.py	Six_zebra_models10552.py	Six_zebra_models49499.py	Six_zebra_models13808.py	Six_zebra_models45324.py	Six_zebra_models48085.py	Six_zebra_models42190.py	Six_zebra_models23114.py	
Six_zebra_models19141.py	0.0	4376.828	4377.321	331.93	4411.849	4443.163	354.738	583.334	4426.05	560.431	4054.389	4341.164	2408.491	4038.892	4458.896	2603.122	2608.552	4156.788	2649.101	4030.053	2380.546	2694.6	2617.044	4098.011	4141.685	2697.776	4115.557	2406.501	2665.379	4178.623	4121.05	4176.018	4066.505	4008.277	2670.501	2547.595	4120.197	2621.892	2721.128	2668.973	4041.943	2623.057	811.335	4152.828	4054.153	4116.153	2525.573	2666.902	2705.441	2630.012	4037.558	4148.162	2688.354	2625.689	3991.974	2715.321	4045.814	4181.932	4191.074	4087.889	2688.93	2692.87	3939.311	4160.416	2667.126	2666.379	2602.757	4077.632	2571.185	2691.864	4207.287	4133.456	4243.705	4034.386	4227.046	2725.774	2727.771	2719.073	4108.667	4003.212	3932.43	4085.939	4141.114	4031.931	2535.473	4140.486	4049.522	3880.278	4046.065	2667.73	3949.934	2689.782	4151.166	4086.614	2702.051	4055.877	2600.205	3924.833	4168.895	2774.482	4009.563	2479.868	4116.96	2690.128	4116.944	4110.1	2633.758	4208.185	3892.039	2799.292	2737.729	4206.945	4026.582	2778.838	2819.824	4136.199	4154.72	2728.255	4101.392	3946.041	4048.622	4132.908	2783.008	4071.361	2752.672	4082.211	2585.978	2666.187	4100.839	2797.163	2816.547	3966.341	4077.433	2813.495	2509.512	4064.545	4138.155	3998.653	2738.117	2601.382	4090.669	2833.106	4167.648	2679.556	2812.872	2766.55	4172.174	2707.202	2784.906	4046.284	4123.249	3950.43	4001.15	4105.996	3999.123	3884.878	2836.623	4091.412	4032.534	4013.202	3979.102	4077.474	4064.616	2626.293	2739.074	4036.242	4048.395	2442.823	2748.418	2721.634	2820.098	2809.753	2801.178	2796.691	2826.818	2691.583	4065.482	4084.796	2866.512	4107.592	2735.801	3906.499	4073.614	4070.881	4261.435	4182.003	2767.947	2691.549	3947.287	2829.635	4044.244	3925.191	3956.722	4171.02	2763.527	2827.308	4149.602	2780.829	4109.661	2816.582	
Six_zebra_models30685.py	4376.828	0.0	478.09	4328.575	391.889	419.668	4455.34	4367.406	456.801	4301.772	2598.245	476.65	3906.878	2593.212	577.486	3845.678	3974.452	2539.275	3866.997	2429.858	3990.131	3936.818	3985.972	2706.876	2507.245	4000.999	2523.581	3815.868	4048.215	2650.764	2541.99	2634.023	2687.821	2673.37	3894.314	3845.464	2713.048	4119.687	4009.472	4026.291	2734.474	3965.292	4350.055	2672.495	2693.913	2689.705	4015.876	4051.672	3868.248	3843.596	2689.61	2774.047	4071.835	3965.53	2236.791	3857.386	2767.82	2769.807	2708.363	2785.502	3927.589	3794.03	2646.157	2758.128	3846.421	3764.374	3881.035	2734.743	3959.514	4002.19	2675.383	2774.253	2673.812	2690.486	2718.807	3903.929	3821.042	3993.017	2414.524	2712.928	2702.419	2688.745	2758.499	2705.989	3868.995	2749.015	2754.4	2649.928	2813.61	4004.345	2578.748	3822.228	2604.454	2711.293	3902.985	2701.305	3862.905	2724.276	2829.222	4072.493	2687.648	4062.406	2801.412	3923.918	2775.812	2688.88	3968.305	2735.386	2732.674	3997.98	3939.798	2805.061	2731.452	4025.253	4043.891	2855.754	2592.363	3765.262	2797.265	2814.7	2778.306	2733.062	3791.39	2656.69	3869.799	2727.38	3739.869	4042.133	2817.371	3921.06	3987.375	2812.136	2728.885	4014.231	3940.359	2830.056	2799.919	2605.003	3744.515	4036.029	2715.489	3944.318	2838.024	3990.498	3809.782	3864.21	2811.611	3935.331	4009.539	2755.836	2823.952	2825.165	2612.929	2827.603	2849.628	2590.273	3889.265	2674.405	2807.486	2696.527	2807.388	2866.408	2764.943	3938.656	3854.79	2793.487	2834.115	3945.753	3899.48	3794.652	3940.403	3906.251	4036.606	4010.94	4034.047	4102.268	2856.329	2786.55	3976.852	2676.044	3849.281	2778.381	2839.627	2821.304	2680.649	2746.034	4008.653	3830.079	2796.753	3899.456	2751.09	2807.719	2831.999	2829.051	3941.082	3905.317	2785.396	3908.95	2882.064	3997.615	
Six_zebra_models31521.py	4377.321	478.09	0.0	4343.892	376.583	351.541	4471.62	4380.223	466.695	4333.628	2514.544	397.733	3938.357	2505.579	602.025	3877.92	3996.706	2476.341	3897.61	2324.129	4006.114	3972.23	4004.095	2633.748	2484.238	4031.509	2440.307	3842.87	4071.109	2623.383	2496.833	2586.064	2617.31	2605.681	3951.664	3876.854	2659.265	4138.598	4059.352	4074.597	2654.809	4006.331	4369.75	2615.418	2644.364	2613.196	4020.286	4079.335	3898.207	3885.55	2652.831	2706.436	4101.491	4004.588	2194.911	3900.811	2703.168	2712.832	2665.095	2730.853	3957.929	3824.91	2613.74	2705.963	3879.005	3807.402	3912.872	2672.189	3975.788	4035.483	2617.106	2717.912	2624.441	2638.522	2681.757	3931.057	3855.902	4044.635	2322.254	2678.487	2641.156	2622.929	2730.103	2674.644	3908.66	2711.009	2709.567	2590.008	2739.744	4023.094	2488.675	3860.954	2564.945	2685.468	3950.95	2660.388	3909.662	2648.098	2787.236	4104.009	2644.41	4093.214	2734.851	3955.028	2719.918	2618.286	3992.278	2663.456	2690.428	4038.085	3980.72	2769.696	2710.038	4071.902	4079.693	2786.723	2534.037	3810.018	2731.612	2768.39	2744.574	2673.882	3826.797	2616.817	3898.624	2682.807	3776.944	4059.913	2751.154	3952.029	4032.311	2771.576	2700.524	4053.046	3970.9	2772.707	2739.231	2534.833	3784.801	4043.015	2633.031	3987.485	2787.392	4011.913	3844.088	3894.178	2762.994	3957.703	4047.611	2709.308	2777.473	2770.316	2556.61	2754.012	2781.28	2516.631	3915.238	2651.945	2745.668	2664.026	2745.911	2823.54	2729.715	3957.022	3888.997	2747.893	2787.873	3978.918	3926.886	3835.292	3963.408	3937.993	4067.391	4046.275	4075.245	4132.859	2791.852	2760.849	4026.011	2601.843	3883.42	2723.264	2772.139	2761.592	2618.488	2682.946	4041.02	3863.648	2755.916	3934.736	2673.112	2751.477	2747.323	2768.828	3962.427	3934.026	2745.877	3936.656	2823.811	4024.274	
Six_zebra_models5357.py	331.93	4328.575	4343.892	0.0	4371.918	4400.977	359.031	463.458	4388.64	432.344	3992.292	4310.622	2462.494	3973.887	4424.074	2654.389	2662.862	4088.901	2693.827	3969.675	2450.895	2739.93	2672.192	4044.138	4061.486	2755.971	4062.039	2461.928	2738.507	4111.296	4051.72	4101.425	4005.193	3933.764	2721.827	2603.319	4053.279	2697.914	2775.105	2717.08	3975.48	2681.118	701.077	4091.952	3977.72	4051.965	2604.338	2738.368	2749.49	2685.767	3956.959	4090.203	2753.536	2664.694	3918.647	2747.41	3979.71	4110.491	4118.859	4015.477	2748.125	2738.84	3857.982	4093.088	2718.036	2705.477	2654.312	4011.76	2640.486	2747.227	4144.279	4068.761	4178.512	3952.309	4158.935	2775.641	2779.08	2761.257	4047.42	3922.23	3856.174	4014.454	4069.202	3959.95	2603.309	4064.142	3972.939	3810.759	3977.636	2728.579	3886.404	2748.471	4075.27	4004.845	2737.238	3972.417	2657.006	3855.357	4103.654	2840.772	3927.883	2534.361	4055.749	2756.338	4044.363	4043.765	2703.007	4144.924	3811.551	2862.397	2780.551	4138.952	3944.996	2829.032	2876.332	4074.126	4077.19	2765.003	4030.02	3875.915	3975.468	4058.229	2829.184	3995.806	2800.85	4004.895	2624.016	2730.588	4032.946	2846.738	2862.315	3885.882	4004.106	2879.008	2574.911	3987.147	4060.102	3929.698	2779.484	2682.047	4024.926	2879.985	4105.689	2761.672	2858.253	2814.36	4099.064	2771.336	2855.128	3965.922	4050.282	3870.293	3936.56	4040.328	3926.695	3812.894	2896.95	4008.634	3958.508	3932.379	3898.396	4008.68	3978.66	2698.12	2800.216	3953.835	3968.646	2512.796	2806.352	2767.567	2880.661	2856.388	2872.011	2852.188	2890.207	2755.467	3986.994	4004.973	2911.615	4033.081	2791.822	3826.062	4010.509	3996.266	4194.477	4119.521	2841.962	2747.143	3870.867	2874.402	3987.874	3846.919	3890.605	4107.739	2827.903	2876.866	4075.266	2842.833	4036.65	2881.442	
Six_zebra_models21964.py	4411.849	391.889	376.583	4371.918	0.0	340.145	4498.627	4420.897	363.289	4357.16	2561.718	364.55	3933.744	2579.057	486.355	3863.849	3996.671	2538.793	3889.385	2382.132	4004.459	3967.831	4007.201	2692.845	2539.065	4031.615	2466.841	3847.492	4075.753	2650.691	2532.381	2634.802	2677.883	2692.706	3924.612	3865.489	2696.054	4146.68	4044.782	4072.19	2713.18	3998.986	4415.278	2657.16	2707.134	2689.414	4035.589	4076.909	3888.606	3868.299	2723.548	2759.111	4098.891	4004.297	2253.402	3893.289	2743.152	2758.512	2711.017	2775.538	3944.174	3810.635	2680.668	2738.553	3867.537	3790.656	3910.774	2733.531	3967.334	4025.608	2656.764	2773.624	2673.245	2708.114	2712.359	3928.515	3837.08	4033.038	2354.783	2732.629	2704.466	2674.641	2762.495	2718.038	3898.581	2748.88	2777.681	2653.114	2794.798	4022.791	2556.378	3841.747	2629.655	2744.865	3944.533	2723.852	3893.392	2719.983	2815.624	4095.031	2717.871	4097.564	2776.763	3935.926	2774.792	2670.599	3976.983	2694.337	2758.004	4015.98	3973.835	2801.597	2765.609	4061.623	4074.706	2844.603	2601.609	3790.055	2789.23	2819.025	2781.344	2724.022	3811.858	2690.073	3889.634	2767.505	3762.334	4054.76	2811.608	3949.04	4022.682	2835.022	2752.351	4034.748	3958.72	2826.56	2793.497	2626.186	3764.453	4044.194	2695.173	3976.119	2838.467	3996.508	3834.211	3886.039	2801.433	3945.112	4028.796	2779.818	2810.729	2836.376	2621.814	2827.824	2836.568	2571.62	3903.271	2718.285	2790.044	2744.299	2811.371	2854.678	2798.477	3950.649	3873.209	2815.121	2850.846	3973.86	3910.314	3815.762	3955.738	3923.538	4052.941	4037.856	4056.816	4138.084	2853.443	2809.313	4013.698	2651.487	3858.069	2790.134	2835.038	2804.128	2654.571	2743.251	4021.747	3846.523	2806.279	3920.257	2704.482	2819.448	2821.983	2824.999	3949.428	3926.722	2784.155	3916.946	2876.306	4015.835	
Six_zebra_models33077.py	4443.163	419.668	351.541	4400.977	340.145	0.0	4526.494	4441.728	528.538	4389.183	2583.528	463.447	3996.952	2590.351	617.981	3932.12	4063.619	2541.661	3956.622	2409.789	4071.913	4035.111	4072.584	2706.165	2546.521	4095.797	2505.205	3906.606	4135.677	2668.779	2548.692	2640.665	2683.791	2699.259	4000.483	3933.219	2710.471	4212.902	4116.933	4136.514	2729.475	4064.2	4433.422	2673.441	2711.349	2682.615	4092.692	4146.96	3954.895	3931.338	2728.437	2764.903	4169.808	4066.775	2294.934	3957.62	2770.054	2765.286	2716.672	2786.872	4011.692	3879.193	2699.454	2758.946	3930.321	3854.801	3969.228	2744.068	4040.229	4100.7	2664.264	2782.841	2669.54	2721.674	2726.703	3993.363	3904.968	4103.088	2396.501	2742.752	2724.806	2686.549	2784.815	2741.956	3961.174	2757.419	2786.254	2681.817	2807.94	4091.656	2579.965	3913.027	2628.587	2754.858	4011.376	2733.518	3962.49	2736.809	2835.47	4165.22	2728.644	4160.175	2792.737	4006.808	2787.993	2680.35	4044.589	2718.206	2780.745	4092.601	4037.958	2814.829	2780.867	4130.067	4142.798	2848.888	2610.208	3856.918	2799.183	2845.494	2809.749	2735.452	3876.34	2691.248	3953.609	2763.63	3830.606	4124.639	2817.508	4011.306	4086.846	2851.526	2769.844	4105.337	4025.171	2837.421	2802.25	2633.149	3832.279	4110.834	2712.84	4046.811	2844.3	4067.925	3894.052	3949.766	2817.999	4011.578	4101.465	2784.804	2831.923	2853.882	2648.607	2826.503	2853.467	2600.886	3970.965	2718.84	2817.714	2749.269	2827.648	2877.991	2805.278	4011.744	3944.373	2828.105	2858.966	4034.471	3979.116	3881.786	4018.19	3990.11	4124.793	4110.686	4130.469	4204.667	2863.664	2819.313	4080.811	2672.193	3931.589	2807.604	2844.868	2821.907	2666.828	2743.375	4097.446	3914.72	2828.662	3984.843	2736.925	2834.821	2830.804	2829.369	4017.205	3988.134	2793.962	3985.941	2882.798	4083.467	
Six_zebra_models13971.py	354.738	4455.34	4471.62	359.031	4498.627	4526.494	0.0	556.389	4518.652	477.209	4103.299	4434.214	2491.748	4091.748	4547.203	2699.426	2705.203	4206.978	2739.979	4089.916	2479.519	2778.678	2710.234	4144.834	4190.709	2780.928	4167.247	2489.36	2745.145	4217.369	4162.777	4220.028	4108.333	4059.682	2742.271	2641.451	4156.63	2721.087	2794.938	2742.015	4084.912	2698.423	745.295	4194.982	4099.06	4161.938	2627.012	2758.638	2791.118	2709.19	4082.574	4187.583	2779.191	2715.643	4056.093	2790.765	4084.646	4219.497	4230.017	4125.09	2785.519	2784.465	3988.574	4198.029	2755.533	2744.662	2687.251	4119.854	2675.876	2782.298	4248.61	4171.777	4283.675	4084.103	4264.138	2811.407	2821.13	2786.434	4165.368	4046.838	3976.64	4130.954	4179.9	4074.462	2609.907	4179.306	4093.603	3931.406	4083.971	2763.418	4003.755	2770.327	4198.896	4129.427	2781.235	4099.928	2673.602	3974.748	4203.792	2855.608	4055.776	2575.584	4156.085	2777.722	4159.355	4152.7	2725.699	4250.192	3937.311	2876.243	2813.04	4240.423	4068.739	2849.991	2900.42	4172.797	4206.809	2800.864	4143.333	3985.896	4088.806	4175.989	2866.343	4119.284	2841.484	4128.797	2667.815	2761.121	4143.163	2877.473	2892.243	4006.955	4119.145	2891.667	2585.06	4100.923	4177.736	4053.514	2817.116	2707.517	4137.409	2910.18	4202.44	2774.529	2892.526	2847.051	4207.655	2796.464	2860.875	4089.632	4159.47	3992.347	4055.129	4146.203	4039.327	3938.149	2923.298	4134.411	4073.351	4061.37	4022.151	4111.374	4107.65	2725.505	2818.77	4081.05	4087.048	2514.222	2834.786	2796.706	2909.148	2895.137	2881.952	2889.026	2901.319	2788.709	4104.085	4122.595	2939.646	4156.355	2820.23	3951.811	4115.687	4108.557	4301.953	4222.112	2854.542	2784.735	3986.663	2911.477	4087.648	3967.686	4000.933	4209.694	2854.686	2908.104	4186.874	2872.729	4146.865	2906.729	
Six_zebra_models31450.py	583.334	4367.406	4380.223	463.458	4420.897	4441.728	556.389	0.0	4438.476	426.158	3964.287	4365.832	2540.395	3931.006	4488.88	2760.545	2765.491	4053.473	2795.436	3939.006	2543.829	2822.349	2765.528	4009.99	4019.705	2845.118	4045.155	2529.35	2825.983	4082.398	4018.357	4061.763	3972.309	3884.865	2815.098	2690.443	4023.279	2800.383	2866.728	2789.695	3934.655	2758.066	334.67	4064.211	3931.605	4011.681	2707.207	2840.042	2852.162	2768.608	3907.044	4058.821	2852.072	2757.055	3890.674	2820.318	3946.14	4075.376	4080.589	3979.404	2858.023	2842.703	3804.113	4062.398	2810.747	2785.731	2724.2	3968.787	2757.892	2859.262	4111.14	4032.506	4145.558	3902.497	4126.841	2863.604	2882.125	2836.419	4032.242	3876.562	3809.606	3976.846	4033.653	3925.48	2673.559	4027.946	3921.951	3770.798	3938.756	2834.813	3850.664	2839.063	4031.283	3955.556	2825.363	3927.006	2723.216	3808.548	4069.626	2944.994	3874.241	2612.627	4023.098	2860.766	4003.148	4013.813	2814.646	4119.103	3760.456	2971.363	2845.419	4105.672	3896.732	2913.177	2970.967	4036.012	4030.927	2841.559	3990.579	3829.519	3933.991	4016.558	2925.66	3951.095	2909.603	3954.176	2697.6	2837.728	3992.057	2935.406	2949.965	3837.91	3963.75	2983.14	2664.4	3941.026	4016.939	3876.522	2861.966	2800.824	3985.276	2976.469	4070.881	2880.912	2939.734	2911.993	4060.85	2882.138	2958.956	3912.177	4012.61	3818.755	3900.44	3998.086	3882.207	3773.046	3002.704	3962.075	3916.918	3878.334	3850.959	3973.007	3927.397	2818.615	2891.608	3902.114	3920.408	2593.311	2912.229	2842.206	2986.568	2963.447	2982.135	2968.641	2994.457	2855.006	3941.218	3960.374	2994.086	4000.611	2905.285	3774.37	3969.844	3953.739	4164.951	4082.849	2955.07	2837.614	3824.967	2971.901	3963.534	3797.219	3844.001	4072.845	2940.513	2968.422	4035.474	2959.094	3994.854	2985.832	
Six_zebra_models30077.py	4426.05	456.801	466.695	4388.64	363.289	528.538	4518.652	4438.476	0.0	4367.434	2714.72	328.327	3897.508	2706.974	316.43	3821.182	3940.719	2675.21	3839.104	2517.625	3971.566	3902.878	3952.546	2829.689	2651.784	3967.083	2621.832	3812.324	4017.713	2800.386	2695.197	2779.933	2835.911	2794.505	3875.844	3825.897	2857.734	4081.399	3980.914	4001.205	2858.387	3946.439	4427.863	2806.951	2835.247	2830.787	3986.428	4017.023	3837.228	3831.375	2834.0	2916.658	4035.114	3938.491	2322.84	3830.313	2891.091	2913.404	2861.359	2931.2	3897.133	3766.162	2770.166	2893.138	3824.154	3748.202	3863.367	2870.921	3927.05	3961.876	2820.488	2921.305	2834.005	2807.839	2868.725	3868.585	3793.645	3964.647	2503.757	2858.279	2822.154	2819.885	2897.295	2835.483	3863.957	2897.343	2889.002	2747.863	2943.178	3964.921	2672.862	3804.131	2751.279	2852.762	3874.693	2829.393	3854.659	2828.543	2965.42	4032.813	2820.392	4040.369	2929.875	3898.77	2902.749	2813.09	3942.123	2855.998	2850.808	3962.951	3910.682	2955.21	2869.994	3991.654	4003.637	2994.232	2717.002	3747.493	2924.903	2934.709	2901.382	2862.897	3765.774	2797.617	3840.608	2868.938	3722.442	4003.653	2946.71	3885.112	3955.574	2941.383	2865.931	3980.552	3924.482	2968.927	2933.585	2721.097	3723.506	4001.668	2829.196	3904.581	2984.929	3960.085	3783.76	3830.938	2949.789	3907.596	3978.662	2895.435	2956.31	2944.407	2711.952	2969.118	2969.147	2691.04	3851.937	2829.428	2918.093	2834.158	2920.204	2996.191	2902.321	3914.745	3825.606	2913.589	2971.389	3939.587	3870.398	3777.04	3904.567	3867.186	3998.747	3968.132	3997.778	4064.717	2985.005	2932.912	3939.963	2786.883	3819.284	2895.16	2963.889	2946.098	2815.364	2899.307	3974.61	3804.564	2925.359	3863.24	2854.96	2927.461	2948.044	2966.593	3907.261	3871.717	2934.82	3877.153	3019.61	3955.422	
Six_zebra_models40097.py	560.431	4301.772	4333.628	432.344	4357.16	4389.183	477.209	426.158	4367.434	0.0	3918.612	4299.836	2467.975	3898.481	4412.107	2681.178	2717.443	4016.135	2727.554	3902.573	2482.929	2783.351	2724.407	3968.087	3980.571	2807.853	3991.133	2474.102	2790.951	4026.366	3968.23	4019.71	3928.741	3861.279	2731.935	2614.585	3969.438	2775.244	2811.084	2754.635	3896.369	2709.587	509.834	4013.469	3895.142	3977.257	2669.051	2795.435	2781.756	2685.489	3874.718	4011.779	2815.106	2717.393	3848.953	2775.671	3897.693	4027.096	4034.953	3933.271	2787.747	2759.614	3774.684	4008.247	2732.286	2704.404	2669.797	3931.709	2689.036	2809.058	4061.871	3988.469	4098.809	3873.811	4072.041	2812.299	2795.007	2794.541	3982.567	3839.839	3778.898	3935.378	3982.467	3878.185	2593.751	3979.913	3890.428	3739.081	3897.561	2791.704	3813.503	2752.812	3994.382	3920.599	2781.163	3892.751	2645.039	3781.213	4012.928	2896.684	3845.021	2586.489	3973.002	2777.059	3964.736	3967.983	2732.942	4066.305	3731.507	2898.637	2810.227	4049.85	3858.607	2869.761	2930.995	3991.295	3999.001	2761.306	3952.768	3791.572	3888.647	3976.778	2845.333	3916.677	2836.172	3925.57	2618.245	2791.942	3955.307	2891.376	2905.257	3805.826	3921.574	2919.629	2578.504	3902.463	3977.445	3852.978	2779.262	2742.633	3950.983	2925.602	4021.985	2806.677	2871.408	2850.45	4011.348	2801.118	2889.877	3882.355	3963.041	3792.004	3864.893	3965.71	3845.997	3741.088	2932.316	3926.829	3877.78	3849.393	3821.83	3920.74	3897.501	2738.676	2825.812	3872.847	3886.592	2511.627	2829.462	2765.83	2921.762	2899.562	2919.188	2918.207	2932.765	2827.072	3907.578	3917.533	2949.989	3959.733	2810.723	3747.483	3933.28	3910.467	4113.876	4042.232	2881.617	2759.746	3786.292	2911.57	3908.258	3769.242	3815.33	4028.014	2866.194	2906.748	3985.223	2872.036	3952.09	2939.121	
