	Six_zebra_models13971.py	Six_zebra_models19141.py	Six_zebra_models5357.py	Six_zebra_models18265.py	Six_zebra_models31450.py	Six_zebra_models40097.py	Six_zebra_models48110.py	Six_zebra_models16368.py	Six_zebra_models8148.py	Six_zebra_models47909.py	Six_zebra_models47696.py	Six_zebra_models22688.py	Six_zebra_models48658.py	Six_zebra_models6070.py	Six_zebra_models49145.py	Six_zebra_models37407.py	Six_zebra_models10562.py	Six_zebra_models18520.py	Six_zebra_models19053.py	Six_zebra_models34481.py	Six_zebra_models20028.py	Six_zebra_models23114.py	Six_zebra_models19885.py	Six_zebra_models41696.py	Six_zebra_models557.py	Six_zebra_models36599.py	Six_zebra_models49458.py	Six_zebra_models41516.py	Six_zebra_models11123.py	Six_zebra_models27943.py	Six_zebra_models43232.py	Six_zebra_models35444.py	Six_zebra_models20594.py	Six_zebra_models7301.py	Six_zebra_models49742.py	Six_zebra_models6845.py	Six_zebra_models26054.py	Six_zebra_models7326.py	Six_zebra_models31012.py	Six_zebra_models13643.py	Six_zebra_models6913.py	Six_zebra_models33241.py	Six_zebra_models10463.py	Six_zebra_models32843.py	Six_zebra_models43329.py	Six_zebra_models8646.py	Six_zebra_models17787.py	Six_zebra_models32355.py	Six_zebra_models39576.py	Six_zebra_models17323.py	Six_zebra_models46895.py	Six_zebra_models43140.py	Six_zebra_models29975.py	Six_zebra_models24118.py	Six_zebra_models34065.py	Six_zebra_models27030.py	Six_zebra_models44714.py	Six_zebra_models44165.py	Six_zebra_models33742.py	Six_zebra_models21838.py	Six_zebra_models49499.py	Six_zebra_models44.py	Six_zebra_models30473.py	Six_zebra_models36304.py	Six_zebra_models2299.py	Six_zebra_models48085.py	Six_zebra_models16607.py	Six_zebra_models45108.py	Six_zebra_models9809.py	Six_zebra_models19050.py	Six_zebra_models26211.py	Six_zebra_models6742.py	Six_zebra_models31567.py	Six_zebra_models7070.py	Six_zebra_models44457.py	Six_zebra_models9343.py	Six_zebra_models41232.py	Six_zebra_models48389.py	Six_zebra_models13808.py	Six_zebra_models19111.py	Six_zebra_models36984.py	Six_zebra_models47209.py	Six_zebra_models23020.py	Six_zebra_models35233.py	Six_zebra_models29901.py	Six_zebra_models11849.py	Six_zebra_models23934.py	Six_zebra_models40274.py	Six_zebra_models14045.py	Six_zebra_models24449.py	
Six_zebra_models13971.py	0.0	4376.828	4377.321	331.93	4411.849	4443.163	354.738	583.334	4426.05	560.431	4054.389	4341.164	2408.491	4038.892	4458.896	2603.122	2608.552	4156.788	2649.101	4030.053	2380.546	2694.6	2617.044	4098.011	4141.685	2697.776	4115.557	2406.501	2665.379	4178.623	4121.05	4176.018	4066.505	4008.277	2670.501	2547.595	4120.197	2621.892	2721.128	2668.973	4041.943	2623.057	811.335	4152.828	4054.153	4116.153	2525.573	2666.902	2705.441	2630.012	4037.558	4148.162	2688.354	2625.689	3991.974	2715.321	4045.814	4181.932	4191.074	4087.889	2688.93	2692.87	3939.311	4160.416	2667.126	2666.379	2602.757	4077.632	2571.185	2691.864	4207.287	4133.456	4243.705	4034.386	4227.046	2725.774	2727.771	2719.073	4108.667	4003.212	3932.43	4085.939	4141.114	4031.931	2535.473	4140.486	4049.522	3880.278	4046.065	2667.73	
Six_zebra_models19141.py	4376.828	0.0	478.09	4328.575	391.889	419.668	4455.34	4367.406	456.801	4301.772	2598.245	476.65	3906.878	2593.212	577.486	3845.678	3974.452	2539.275	3866.997	2429.858	3990.131	3936.818	3985.972	2706.876	2507.245	4000.999	2523.581	3815.868	4048.215	2650.764	2541.99	2634.023	2687.821	2673.37	3894.314	3845.464	2713.048	4119.687	4009.472	4026.291	2734.474	3965.292	4350.055	2672.495	2693.913	2689.705	4015.876	4051.672	3868.248	3843.596	2689.61	2774.047	4071.835	3965.53	2236.791	3857.386	2767.82	2769.807	2708.363	2785.502	3927.589	3794.03	2646.157	2758.128	3846.421	3764.374	3881.035	2734.743	3959.514	4002.19	2675.383	2774.253	2673.812	2690.486	2718.807	3903.929	3821.042	3993.017	2414.524	2712.928	2702.419	2688.745	2758.499	2705.989	3868.995	2749.015	2754.4	2649.928	2813.61	4004.345	
Six_zebra_models5357.py	4377.321	478.09	0.0	4343.892	376.583	351.541	4471.62	4380.223	466.695	4333.628	2514.544	397.733	3938.357	2505.579	602.025	3877.92	3996.706	2476.341	3897.61	2324.129	4006.114	3972.23	4004.095	2633.748	2484.238	4031.509	2440.307	3842.87	4071.109	2623.383	2496.833	2586.064	2617.31	2605.681	3951.664	3876.854	2659.265	4138.598	4059.352	4074.597	2654.809	4006.331	4369.75	2615.418	2644.364	2613.196	4020.286	4079.335	3898.207	3885.55	2652.831	2706.436	4101.491	4004.588	2194.911	3900.811	2703.168	2712.832	2665.095	2730.853	3957.929	3824.91	2613.74	2705.963	3879.005	3807.402	3912.872	2672.189	3975.788	4035.483	2617.106	2717.912	2624.441	2638.522	2681.757	3931.057	3855.902	4044.635	2322.254	2678.487	2641.156	2622.929	2730.103	2674.644	3908.66	2711.009	2709.567	2590.008	2739.744	4023.094	
Six_zebra_models18265.py	331.93	4328.575	4343.892	0.0	4371.918	4400.977	359.031	463.458	4388.64	432.344	3992.292	4310.622	2462.494	3973.887	4424.074	2654.389	2662.862	4088.901	2693.827	3969.675	2450.895	2739.93	2672.192	4044.138	4061.486	2755.971	4062.039	2461.928	2738.507	4111.296	4051.72	4101.425	4005.193	3933.764	2721.827	2603.319	4053.279	2697.914	2775.105	2717.08	3975.48	2681.118	701.077	4091.952	3977.72	4051.965	2604.338	2738.368	2749.49	2685.767	3956.959	4090.203	2753.536	2664.694	3918.647	2747.41	3979.71	4110.491	4118.859	4015.477	2748.125	2738.84	3857.982	4093.088	2718.036	2705.477	2654.312	4011.76	2640.486	2747.227	4144.279	4068.761	4178.512	3952.309	4158.935	2775.641	2779.08	2761.257	4047.42	3922.23	3856.174	4014.454	4069.202	3959.95	2603.309	4064.142	3972.939	3810.759	3977.636	2728.579	
Six_zebra_models31450.py	4411.849	391.889	376.583	4371.918	0.0	340.145	4498.627	4420.897	363.289	4357.16	2561.718	364.55	3933.744	2579.057	486.355	3863.849	3996.671	2538.793	3889.385	2382.132	4004.459	3967.831	4007.201	2692.845	2539.065	4031.615	2466.841	3847.492	4075.753	2650.691	2532.381	2634.802	2677.883	2692.706	3924.612	3865.489	2696.054	4146.68	4044.782	4072.19	2713.18	3998.986	4415.278	2657.16	2707.134	2689.414	4035.589	4076.909	3888.606	3868.299	2723.548	2759.111	4098.891	4004.297	2253.402	3893.289	2743.152	2758.512	2711.017	2775.538	3944.174	3810.635	2680.668	2738.553	3867.537	3790.656	3910.774	2733.531	3967.334	4025.608	2656.764	2773.624	2673.245	2708.114	2712.359	3928.515	3837.08	4033.038	2354.783	2732.629	2704.466	2674.641	2762.495	2718.038	3898.581	2748.88	2777.681	2653.114	2794.798	4022.791	
Six_zebra_models40097.py	4443.163	419.668	351.541	4400.977	340.145	0.0	4526.494	4441.728	528.538	4389.183	2583.528	463.447	3996.952	2590.351	617.981	3932.12	4063.619	2541.661	3956.622	2409.789	4071.913	4035.111	4072.584	2706.165	2546.521	4095.797	2505.205	3906.606	4135.677	2668.779	2548.692	2640.665	2683.791	2699.259	4000.483	3933.219	2710.471	4212.902	4116.933	4136.514	2729.475	4064.2	4433.422	2673.441	2711.349	2682.615	4092.692	4146.96	3954.895	3931.338	2728.437	2764.903	4169.808	4066.775	2294.934	3957.62	2770.054	2765.286	2716.672	2786.872	4011.692	3879.193	2699.454	2758.946	3930.321	3854.801	3969.228	2744.068	4040.229	4100.7	2664.264	2782.841	2669.54	2721.674	2726.703	3993.363	3904.968	4103.088	2396.501	2742.752	2724.806	2686.549	2784.815	2741.956	3961.174	2757.419	2786.254	2681.817	2807.94	4091.656	
Six_zebra_models48110.py	354.738	4455.34	4471.62	359.031	4498.627	4526.494	0.0	556.389	4518.652	477.209	4103.299	4434.214	2491.748	4091.748	4547.203	2699.426	2705.203	4206.978	2739.979	4089.916	2479.519	2778.678	2710.234	4144.834	4190.709	2780.928	4167.247	2489.36	2745.145	4217.369	4162.777	4220.028	4108.333	4059.682	2742.271	2641.451	4156.63	2721.087	2794.938	2742.015	4084.912	2698.423	745.295	4194.982	4099.06	4161.938	2627.012	2758.638	2791.118	2709.19	4082.574	4187.583	2779.191	2715.643	4056.093	2790.765	4084.646	4219.497	4230.017	4125.09	2785.519	2784.465	3988.574	4198.029	2755.533	2744.662	2687.251	4119.854	2675.876	2782.298	4248.61	4171.777	4283.675	4084.103	4264.138	2811.407	2821.13	2786.434	4165.368	4046.838	3976.64	4130.954	4179.9	4074.462	2609.907	4179.306	4093.603	3931.406	4083.971	2763.418	
Six_zebra_models16368.py	583.334	4367.406	4380.223	463.458	4420.897	4441.728	556.389	0.0	4438.476	426.158	3964.287	4365.832	2540.395	3931.006	4488.88	2760.545	2765.491	4053.473	2795.436	3939.006	2543.829	2822.349	2765.528	4009.99	4019.705	2845.118	4045.155	2529.35	2825.983	4082.398	4018.357	4061.763	3972.309	3884.865	2815.098	2690.443	4023.279	2800.383	2866.728	2789.695	3934.655	2758.066	334.67	4064.211	3931.605	4011.681	2707.207	2840.042	2852.162	2768.608	3907.044	4058.821	2852.072	2757.055	3890.674	2820.318	3946.14	4075.376	4080.589	3979.404	2858.023	2842.703	3804.113	4062.398	2810.747	2785.731	2724.2	3968.787	2757.892	2859.262	4111.14	4032.506	4145.558	3902.497	4126.841	2863.604	2882.125	2836.419	4032.242	3876.562	3809.606	3976.846	4033.653	3925.48	2673.559	4027.946	3921.951	3770.798	3938.756	2834.813	
Six_zebra_models8148.py	4426.05	456.801	466.695	4388.64	363.289	528.538	4518.652	4438.476	0.0	4367.434	2714.72	328.327	3897.508	2706.974	316.43	3821.182	3940.719	2675.21	3839.104	2517.625	3971.566	3902.878	3952.546	2829.689	2651.784	3967.083	2621.832	3812.324	4017.713	2800.386	2695.197	2779.933	2835.911	2794.505	3875.844	3825.897	2857.734	4081.399	3980.914	4001.205	2858.387	3946.439	4427.863	2806.951	2835.247	2830.787	3986.428	4017.023	3837.228	3831.375	2834.0	2916.658	4035.114	3938.491	2322.84	3830.313	2891.091	2913.404	2861.359	2931.2	3897.133	3766.162	2770.166	2893.138	3824.154	3748.202	3863.367	2870.921	3927.05	3961.876	2820.488	2921.305	2834.005	2807.839	2868.725	3868.585	3793.645	3964.647	2503.757	2858.279	2822.154	2819.885	2897.295	2835.483	3863.957	2897.343	2889.002	2747.863	2943.178	3964.921	
Six_zebra_models47909.py	560.431	4301.772	4333.628	432.344	4357.16	4389.183	477.209	426.158	4367.434	0.0	3918.612	4299.836	2467.975	3898.481	4412.107	2681.178	2717.443	4016.135	2727.554	3902.573	2482.929	2783.351	2724.407	3968.087	3980.571	2807.853	3991.133	2474.102	2790.951	4026.366	3968.23	4019.71	3928.741	3861.279	2731.935	2614.585	3969.438	2775.244	2811.084	2754.635	3896.369	2709.587	509.834	4013.469	3895.142	3977.257	2669.051	2795.435	2781.756	2685.489	3874.718	4011.779	2815.106	2717.393	3848.953	2775.671	3897.693	4027.096	4034.953	3933.271	2787.747	2759.614	3774.684	4008.247	2732.286	2704.404	2669.797	3931.709	2689.036	2809.058	4061.871	3988.469	4098.809	3873.811	4072.041	2812.299	2795.007	2794.541	3982.567	3839.839	3778.898	3935.378	3982.467	3878.185	2593.751	3979.913	3890.428	3739.081	3897.561	2791.704	
