Original row		wnt6352.py	wnt7072.py	wnt7160.py	wnt920.py	wnt116.py	wnt9044.py	wnt8687.py	wnt4932.py	wnt6111.py	wnt5357.py	wnt968.py	wnt8273.py	wnt7969.py	wnt5698.py	wnt5778.py	wnt7643.py	wnt3183.py	wnt6312.py	wnt7211.py	wnt4603.py	wnt9839.py	wnt7459.py	wnt4379.py	wnt1462.py	wnt3440.py	wnt5113.py	wnt2072.py	wnt3753.py	wnt4311.py	wnt7763.py	wnt4939.py	wnt1269.py	wnt7344.py	wnt6709.py	wnt1264.py	wnt7098.py	wnt3424.py	wnt914.py	wnt5009.py	wnt3699.py	wnt6415.py	wnt3744.py	wnt3119.py	wnt7805.py	wnt2026.py	wnt4803.py	wnt7423.py	wnt6605.py	wnt437.py	wnt816.py	wnt6934.py	wnt2961.py	wnt5610.py	wnt9629.py	wnt3714.py	wnt8091.py	wnt5348.py	wnt6801.py	wnt6644.py	wnt5952.py	wnt6914.py	wnt5920.py	wnt3243.py	wnt4121.py	wnt9636.py	wnt3572.py	wnt7476.py	wnt2073.py	wnt5648.py	wnt6067.py	wnt833.py	wnt6964.py	wnt1266.py	wnt786.py	wnt8033.py	wnt7012.py	wnt4554.py	wnt9630.py	wnt9572.py	wnt552.py	wnt3345.py	wnt3076.py	wnt228.py	wnt9156.py	wnt2172.py	wnt3548.py	wnt159.py	wnt4900.py	wnt1965.py	wnt6237.py	wnt3472.py	wnt3031.py	wnt3822.py	wnt3664.py	wnt1615.py	wnt4129.py	wnt8614.py	wnt9168.py	wnt5287.py	wnt1763.py	wnt2459.py	wnt7731.py	wnt3098.py	wnt5878.py	wnt8728.py	wnt8024.py	wnt7158.py	wnt2797.py	wnt5016.py	wnt2028.py	wnt4590.py	wnt3420.py	wnt7719.py	wnt4162.py	wnt2161.py	wnt3147.py	wnt7032.py	wnt8556.py	wnt2134.py	wnt7250.py	wnt1074.py	wnt4804.py	wnt3783.py	wnt4194.py	wnt7817.py	wnt1801.py	wnt2798.py	wnt1119.py	wnt6132.py	wnt42.py	wnt8406.py	wnt1557.py	wnt2898.py	wnt6074.py	wnt9008.py	wnt9235.py	wnt4473.py	wnt6206.py	wnt8457.py	wnt519.py	wnt8615.py	wnt3504.py	wnt8550.py	wnt4466.py	wnt891.py	wnt2112.py	wnt8404.py	wnt754.py	wnt9616.py	wnt696.py	wnt8510.py	wnt3413.py	wnt4062.py	wnt8479.py	wnt6302.py	wnt1037.py	wnt4575.py	wnt214.py	wnt1895.py	wnt5283.py	wnt9359.py	wnt3273.py	wnt5741.py	wnt3063.py	wnt3027.py	wnt368.py	wnt1796.py	wnt3213.py	wnt2141.py	wnt5677.py	wnt1544.py	wnt3989.py	wnt1412.py	wnt1922.py	wnt8992.py	wnt2239.py	wnt6656.py	wnt2873.py	wnt4295.py	wnt4690.py	wnt1158.py	wnt9084.py	wnt4987.py	wnt6202.py	wnt2536.py	wnt7200.py	wnt2140.py	wnt2690.py	wnt4195.py	wnt4230.py	wnt5035.py	wnt841.py	wnt1828.py	wnt1301.py	wnt5091.py	wnt4821.py	wnt3685.py	wnt2288.py	wnt1867.py	wnt7398.py
12	wnt8273.py	1711.615	8347.84	8117.339	9157.026	3783.691	8003.376	4520.313	3498.318	4188.335	8322.331	6916.981	1.0	3749.044	9279.764	7355.481	3936.169	7430.841	7929.578	7929.578	4530.411	4567.389	5018.884	9710.306	8586.188	3985.688	3985.688	4191.827	7875.041	3504.678	3938.959	9396.079	8377.048	8377.048	3640.486	4168.737	8287.638	7831.834	3256.969	3989.749	8937.931	8937.931	8561.462	8843.441	8264.945	7974.77	8560.37	1830.631	1830.631	3729.857	9519.707	7466.947	3611.861	2126.257	3223.855	3223.855	7419.761	4013.057	8657.83	3448.02	4151.121	8205.025	3179.214	2948.965	2948.965	4167.753	6165.942	8073.296	4119.375	8059.778	9148.455	9148.455	2474.562	4139.602	3659.637	7066.642	8690.972	3356.951	4735.121	4735.121	8201.351	2909.385	9155.761	9056.848	8138.266	2953.151	4235.689	6161.547	6161.547	2939.075	3264.52	8250.921	4548.923	8379.184	8760.586	8760.586	4456.927	3969.753	9322.994	3026.3	7612.284	3579.884	8366.459	8366.459	3128.928	8602.299	7892.165	8918.392	2719.051	3874.243	8419.898	8419.898	1714.677	4302.086	3269.569	4545.543	4029.816	2576.608	9072.673	9072.673	4170.392	2006.962	2661.494	3846.562	7723.96	9340.598	9340.598	8745.469	3346.257	4513.696	3570.368	1940.654	3578.551	7208.159	7208.159	4451.501	2291.171	7748.795	4297.212	3824.395	3429.185	3429.185	3837.474	4322.085	8828.131	2706.38	8933.273	8665.613	8912.493	8912.493	8601.42	7944.795	4053.22	7719.291	4144.669	3526.358	3526.358	8302.613	3465.732	2279.024	2540.966	8228.303	2950.995	2950.995	7670.332	4289.806	9049.933	8019.082	9261.94	8711.721	3883.002	2667.074	2667.074	8840.394	3905.849	4486.265	8178.074	3649.44	3649.44	8989.163	4427.502	4200.353	8189.593	8625.945	8219.486	2316.189	2316.189	5086.82	8290.279	8540.496	4173.941	8495.453	9678.767	3370.427	3370.427	8946.112	7759.125	2884.541	4429.349	8833.529	7510.726
16	wnt7643.py	4219.778	8657.107	8527.765	9197.159	1808.083	8155.682	2071.545	2453.982	8779.412	8554.959	8185.291	3936.169	2064.856	9497.629	8386.708	1.0	9141.703	9141.703	2304.03	1739.174	2438.984	3334.373	9678.727	8340.906	1487.398	1487.398	2074.855	8603.598	3736.91	1785.832	9363.457	8754.105	9392.984	2131.406	2131.406	8691.261	8409.642	2223.175	3010.244	9182.484	2516.323	9144.281	9144.281	7958.033	8541.651	8864.913	4461.758	9277.209	5181.737	9604.087	9604.087	5819.49	2642.475	3833.315	2748.385	8471.495	2597.471	8780.992	8780.992	2413.374	8425.613	2810.551	3056.026	2099.846	2272.333	8174.615	8390.322	8390.322	8697.557	9329.738	2215.282	3179.824	2229.57	2177.686	6468.749	9020.03	2429.694	2429.694	9032.651	8264.968	2636.371	9484.44	9342.326	8300.838	2554.058	2554.058	8121.655	4706.983	2161.62	2580.303	8282.323	2043.562	2043.562	9082.817	8343.182	2262.505	2470.899	9356.239	3033.176	8175.404	8175.404	8372.014	2066.09	3205.75	8737.056	8457.735	9184.742	9184.742	2017.452	8649.283	2803.525	3723.305	4226.055	2053.777	2288.691	2288.691	5484.22	9335.514	2754.158	4356.757	3642.333	3723.478	3723.478	8161.78	9478.564	2113.611	9164.592	2418.982	2293.077	2384.262	2384.262	2684.986	9175.973	2708.38	2005.251	2807.109	8400.399	2004.968	2219.227	2219.227	8419.2	2043.031	2191.76	8986.735	2814.312	8818.351	8818.351	9281.203	2781.452	8900.581	7815.56	2074.789	8206.872	8206.872	5039.409	2175.135	8617.609	1963.493	2857.085	2952.469	2952.469	2345.088	3008.915	8486.73	1578.654	9147.795	8309.43	9463.898	9463.898	2117.537	2939.136	9294.694	9196.666	1981.3	2420.222	8615.382	8615.382	8645.686	9267.505	2135.458	2099.089	8728.301	9072.986	8878.095	8878.095	8527.709	6047.195	9180.344	8371.964	2277.223	8746.813	9377.904	9377.904	8852.755	9396.145	8247.989	2149.416	2093.907	8953.617	9201.761
22	wnt7459.py	5136.321	8988.453	8910.703	9468.646	3883.726	8730.262	3341.343	3796.66	9294.42	9360.106	8930.361	5018.884	2804.369	9345.185	8730.535	3334.373	9255.416	8505.24	4259.764	3532.275	3305.437	1.0	9763.51	9763.51	3527.661	9152.651	3167.655	8859.126	5065.079	3724.458	3724.458	9112.733	9446.467	4148.953	3019.858	9032.704	8760.678	3943.032	4776.985	4776.985	3875.483	9091.431	9027.885	8633.31	8878.228	9159.952	5312.571	5312.571	6271.593	9299.852	9086.053	6609.812	4170.969	5228.264	5228.264	8777.208	4522.895	9281.6	6355.349	4471.847	8893.875	8893.875	4327.506	3546.633	2967.738	8418.772	8834.894	4112.914	4112.914	9113.558	4211.077	4398.081	2945.399	4213.273	7528.203	9271.934	9271.934	3047.61	9309.697	8770.156	4006.189	9364.78	9311.15	8758.667	8758.667	3291.135	8254.327	6136.877	3853.356	4234.212	8897.174	3185.662	3185.662	9137.15	8765.892	3236.137	4357.913	9500.654	4012.703	8644.957	4758.666	4758.666	3527.185	4297.006	9118.571	8723.884	9402.654	4041.701	3179.907	9056.085	9056.085	5042.436	5557.101	3913.928	3333.223	3756.507	6307.025	6307.025	4009.856	5752.787	4645.478	4890.255	4929.69	8582.534	9237.295	9237.295	9055.972	4020.952	4007.073	3572.838	4451.041	4507.031	9033.821	9033.821	2802.376	4118.786	8815.537	3140.755	3973.701	4077.347	8754.823	8754.823	2998.278	9332.309	3982.164	9355.677	9092.879	9128.056	9128.056	9232.802	8320.414	3653.203	8571.292	2850.668	6031.504	6031.504	9096.937	3581.372	4376.481	4635.663	8812.571	3981.324	3981.324	8828.809	3466.352	9435.547	8770.235	9264.588	9168.267	4057.73	4057.73	9373.043	8972.948	4008.337	3086.051	9009.918	4105.38	9306.714	9306.714	3072.288	3093.577	9057.859	9126.877	9137.06	3951.35	8950.786	8950.786	9327.439	8878.974	3009.806	9123.17	9761.612	3546.348	9040.54	9040.54	8614.462	3976.506	3456.48	9287.036	9322.414
25	wnt3440.py	4451.915	8670.729	8571.859	9170.373	1849.24	8169.702	1869.934	2484.344	8788.059	8538.224	8246.416	3985.688	1943.457	9498.112	8397.848	1487.398	9189.361	8032.973	2352.066	1731.641	2242.348	3527.661	4160.112	8284.337	1.0	8884.147	2188.325	2188.325	3927.763	1803.645	9351.939	8763.945	9410.134	2433.808	2433.808	8691.091	8440.816	2355.886	2895.367	9197.91	2631.435	9113.908	9113.908	7934.7	8547.234	8842.923	4556.186	9262.785	5142.715	9578.311	9578.311	5817.222	2698.392	3947.196	2546.148	8474.119	2773.02	8764.877	8764.877	2388.772	8457.339	2644.613	3232.37	2228.858	2331.865	8188.487	8188.487	1999.567	8701.081	9330.481	2214.343	3163.336	2230.57	2280.417	2280.417	9004.311	2404.39	2178.963	8999.943	8240.932	2729.27	2729.27	9334.866	8371.532	2741.415	2405.86	8122.315	4792.713	4792.713	2674.283	8282.876	2050.957	8707.382	9102.466	8342.402	2175.421	2665.253	2665.253	3258.239	8215.542	3812.811	8343.483	1923.726	3276.567	3276.567	8482.945	9180.051	2905.153	2247.861	8635.426	2838.037	3603.093	3603.093	2021.148	2279.394	1940.095	5552.422	9293.751	2862.361	4460.235	4460.235	3734.09	3480.533	8239.947	9462.73	2058.317	9108.754	2269.068	2269.068	2277.616	3002.831	2669.46	9212.094	2795.682	2246.783	2246.783	8354.768	1887.134	1849.834	2198.916	8436.916	1840.116	2309.665	8975.882	2685.142	2685.142	8499.728	9212.209	2718.755	8859.618	7841.818	1965.267	8224.16	8224.16	4980.341	2142.156	8575.289	1919.528	2869.314	2838.243	8247.913	8247.913	2977.309	8487.542	1595.865	9120.484	8326.674	9430.848	9430.848	2327.124	3133.368	9261.113	9148.079	1943.595	2500.878	8655.353	8655.353	8581.9	9296.384	2026.564	2098.57	8720.228	9051.34	8900.985	2525.546	2525.546	6092.694	9154.809	8376.541	2333.278	8724.026	9371.307	1899.597	1899.597	9343.736	8269.949	2288.757	1825.98	8933.586	9226.01
34	wnt6709.py	3807.401	8118.036	7914.727	8618.061	1762.281	7545.307	3021.253	2388.472	8203.325	8086.021	7709.826	3640.486	1922.164	1231.563	7828.783	2131.406	5509.109	7437.651	1507.96	2725.771	9420.355	4148.953	9071.021	7834.357	2433.808	8254.4	2728.847	3318.953	2653.614	9469.314	8821.661	8207.375	8859.756	1.0	3080.859	8129.187	7786.669	1798.949	1933.988	1933.988	2063.113	8685.013	8785.695	7412.666	7944.768	8277.513	4152.412	8782.215	4848.601	4848.601	8318.212	5453.947	2405.398	2729.015	2163.26	7906.512	1607.475	1607.475	5343.473	1872.151	7896.703	2207.914	2427.907	2695.873	2695.873	7700.352	7718.014	2229.52	8092.579	8971.761	1923.236	1923.236	3123.316	1673.304	5783.956	8433.543	2383.645	3128.863	3128.863	7725.557	2484.003	9004.56	8855.091	7809.966	2094.2	2911.835	2911.835	3644.289	1836.726	1757.967	7675.706	3342.883	8076.221	8536.082	7753.696	7753.696	1461.778	8815.452	2521.933	7574.404	3309.719	7823.342	2423.671	2601.869	2601.869	7897.066	8611.309	2543.752	2567.526	8096.823	2371.46	3171.512	3171.512	1782.481	3225.603	1962.912	4995.867	8874.629	2238.337	2238.337	3789.333	2900.904	2549.943	7565.128	9093.414	3138.864	8770.012	8770.012	2101.534	2539.757	2455.733	1694.866	8984.335	1898.878	1898.878	2393.287	7831.635	3280.036	2235.063	1977.671	7837.682	2136.007	2136.007	8486.466	2425.587	8251.93	8050.932	8926.69	2035.254	2035.254	7223.014	2321.418	7579.197	3014.363	4914.819	3042.982	8028.54	1980.046	1980.046	2418.719	7666.217	1787.002	2400.857	7856.367	2481.904	2481.904	7754.642	9026.062	8070.008	1787.079	1999.169	8767.786	8767.786	1890.068	3428.18	7954.582	1719.575	8229.445	8732.125	3226.364	3226.364	8194.846	8526.994	8376.121	2539.795	7991.066	4897.261	8642.745	8642.745	3109.484	8173.117	8810.901	2286.175	8372.623	8767.594	7578.773	7578.773	3018.552	8457.95	8808.83
38	wnt914.py	3481.787	8482.385	8265.686	9017.055	1794.307	7903.414	2608.981	7952.68	8594.962	2317.883	2878.646	3256.969	1912.546	9444.411	8049.379	2223.175	8743.21	7802.524	1165.218	2629.983	2745.186	3943.032	9436.503	8164.216	2355.886	8591.31	2295.954	8321.589	3237.388	1843.151	9254.081	8619.058	3495.286	1798.949	2716.323	8461.466	4567.297	1.0	2296.548	8992.39	2095.881	8964.252	9109.102	7740.935	7740.935	8659.055	3703.709	9106.083	4408.279	9610.052	8473.602	5113.695	1968.842	1968.842	2205.719	8139.947	2013.558	8617.829	4810.046	2185.263	8281.18	8281.18	2484.577	2542.084	3130.261	7691.492	8104.847	2412.658	2412.658	9325.651	2075.043	2647.003	2760.399	1877.826	6255.65	8781.98	8781.98	2936.02	8815.128	8041.579	2575.102	9359.04	9265.153	8232.192	8232.192	2552.365	7666.958	4067.834	1616.378	1895.077	8067.612	2982.246	2982.246	8911.93	8032.786	2847.735	2017.492	9246.432	2734.442	2734.442	3543.204	8161.942	2126.181	2767.238	8515.424	8233.165	9010.573	9010.573	2247.508	8478.334	1916.751	2896.592	3846.003	1537.072	2605.174	1774.697	1774.697	9194.27	2558.68	3770.202	3287.14	2985.56	2903.438	7926.173	9460.548	9460.548	9059.532	1890.673	2273.368	2389.473	1971.746	1530.585	1530.585	1953.746	2858.59	1875.823	8102.641	2980.779	1956.6	1980.784	1980.784	2161.599	3066.612	8862.036	1865.828	8626.94	8441.19	9188.444	9188.444	8606.154	7636.607	1918.598	7942.835	2752.84	4377.159	2750.802	8332.3	8332.3	2140.714	2457.443	8080.902	1574.39	2223.191	8156.598	2248.734	2248.734	8108.623	9427.963	8385.806	1953.404	1978.532	9154.677	9165.084	1790.633	1790.633	8335.629	1791.87	8599.654	9151.022	2957.421	2744.062	8559.308	8559.308	8723.519	2246.355	8386.44	5257.496	8927.94	8247.016	2746.954	2746.954	9253.988	2154.492	8506.223	9136.245	7932.019	1884.587	1884.587	8823.666	8832.436
52	wnt2961.py	3584.404	8192.162	7952.692	9078.7	5525.715	8102.894	6169.417	5318.268	8598.92	8212.991	6650.028	3611.861	8567.287	9102.067	7108.527	5819.49	7209.948	3360.623	8477.623	9339.319	6183.547	6609.812	9788.378	8768.739	5817.222	8159.146	5872.229	7468.127	4838.763	5669.091	9315.156	8238.351	9079.289	5453.947	5856.971	8138.576	7547.407	5113.695	8294.254	8734.707	4892.922	8213.886	8615.903	8522.778	2619.034	8414.919	3273.959	8427.942	7814.204	9372.1	7116.324	1.0	4181.422	4682.019	6074.025	7037.441	5674.953	5674.953	1865.254	5921.326	8077.649	4960.826	4855.375	6731.009	6060.502	6060.502	7829.508	5963.154	7836.232	8966.097	5699.413	4289.074	5787.365	5308.94	5308.94	8530.861	5108.252	6371.943	8668.937	8225.055	4888.557	8925.208	8925.208	8072.527	4793.196	5856.321	5762.72	5123.872	5123.872	5058.908	8332.535	6185.921	8264.614	8559.382	7569.047	6021.35	6021.35	9180.877	4832.353	7497.936	5181.867	8422.043	5443.527	4829.147	4829.147	7677.078	8712.089	4601.705	5733.713	8315.948	4209.826	3875.151	3875.151	5112.469	6194.923	5779.727	3422.227	8897.148	5243.731	5243.731	3891.976	4465.968	5355.636	7569.948	9143.062	5958.34	5958.34	5086.515	6107.143	5348.151	4129.819	5183.632	6947.66	4774.21	4774.21	4550.43	7698.244	5956.276	5530.712	5239.211	7500.345	5572.744	5572.744	8682.053	4655.336	8934.453	8729.616	8671.334	5836.748	5836.748	8172.137	5653.189	7516.433	5790.053	2453.49	6317.995	6317.995	5234.668	4182.476	4347.997	8305.139	4785.189	4333.223	7292.397	7292.397	8937.376	7918.846	9108.322	8934.187	5651.444	4432.46	4432.46	8572.691	5687.806	6133.781	7948.189	5355.862	9219.197	8766.012	8766.012	5863.807	7940.053	8335.547	7998.972	4445.444	8227.767	8227.767	8003.912	8639.196	6002.223	8403.63	9596.021	5217.012	7004.717	7004.717	7557.557	4677.216	6002.444	8740.646	7390.174
53	wnt5610.py	2474.245	8249.733	8081.742	9020.623	2441.94	7849.919	3216.791	2313.554	8493.402	8212.991	7312.322	2126.257	2361.454	9265.887	7561.948	2642.475	8082.602	7699.774	2130.701	3298.396	3310.1	4170.969	9489.661	8231.851	2698.392	8379.145	2935.504	7947.276	2869.162	2574.121	9236.892	8367.484	9079.289	2405.398	2998.797	8234.847	7547.407	1968.842	2760.566	8894.22	1959.009	8213.886	8890.542	7842.477	7985.052	8470.512	2775.587	8873.598	3864.344	9482.421	7979.758	4181.422	1.0	2858.243	3050.727	3050.727	2755.206	8486.133	4066.267	2856.608	8096.845	2245.949	2245.949	3607.827	3167.691	6915.392	7938.333	2916.948	8092.25	8092.25	2688.587	1831.984	3044.738	2309.317	6423.403	8655.508	2131.46	2131.46	8712.791	7988.359	2025.319	9153.99	9062.524	8062.897	8062.897	2873.181	6899.49	3808.802	1865.213	1918.617	8044.442	3394.365	3394.365	8739.267	7746.883	3167.411	2686.544	9177.983	2218.549	7647.804	3025.307	3025.307	2329.246	2209.188	8472.754	7911.656	8825.349	1785.376	1785.376	8304.812	1564.822	1970.62	3727.647	1849.672	3324.317	2597.56	2597.56	9035.685	2454.578	3580.154	2362.994	2240.575	2828.894	7659.66	9285.302	9285.302	8819.558	1906.613	2974.65	2461.65	1514.671	2203.051	8040.612	8040.612	3312.943	1550.661	7809.412	3112.567	2433.786	2071.839	2071.839	2639.186	3252.558	8743.167	1804.924	8666.178	8422.635	8960.812	8960.812	8492.614	7644.094	2632.406	7634.85	3004.017	3812.587	3393.413	8240.832	8240.832	1595.6	1890.331	8063.271	1824.203	1924.926	7769.398	7769.398	8901.953	7924.637	9231.285	8452.088	2556.163	1846.464	9040.571	9040.571	2489.89	3336.355	8115.309	2242.444	8640.633	8972.004	8972.004	2941.757	8185.084	8619.138	8359.097	1602.339	8239.319	5037.12	8577.422	8258.416	8258.416	8356.426	9326.919	2250.744	7932.705	8910.515	7659.856	1699.533	1699.533	8698.244	8147.431
55	wnt3714.py	4783.226	8426.645	8311.588	8812.46	2145.88	7889.791	2672.306	2739.112	8484.552	8517.466	8393.641	3223.855	2173.763	9360.815	6857.886	2748.385	9433.806	7775.957	1891.083	2725.23	2784.64	5228.264	9065.835	7899.677	2546.148	8596.672	4304.626	8503.545	3672.288	2120.598	8418.96	7612.772	9090.833	2163.26	3108.189	8495.979	8244.489	2205.719	2096.599	8903.719	2686.754	9055.961	9194.372	6993.489	8413.144	7707.183	4937.408	9195.591	5259.758	9431.68	7396.538	6074.025	3050.727	3825.114	1.0	8441.704	2215.08	8508.547	5972.097	2000.745	8244.526	2695.451	3382.539	2314.515	2314.515	8468.135	8132.803	2376.515	8500.706	9299.001	1997.851	1997.851	3321.864	2040.68	5819.94	8713.392	2733.112	3091.87	3091.87	7964.636	3348.167	9278.053	9196.747	8241.583	3134.688	3134.688	8459.532	4425.495	2550.173	2089.649	7959.435	3231.808	8396.594	8396.594	8250.89	3012.515	1895.351	9055.267	3543.684	8089.995	8089.995	8047.606	2619.141	3381.226	8398.567	8357.703	8861.804	8861.804	2835.084	8425.056	3113.614	3853.239	4148.383	2240.857	3036.445	3036.445	5938.109	9065.259	2617.834	4065.453	4624.215	3757.031	2959.474	2959.474	9334.537	3333.217	9130.538	2183.142	1426.696	2750.921	3361.679	3361.679	9697.557	2604.029	3428.216	3054.703	8225.126	3212.977	1778.373	1778.373	8316.609	2111.059	3513.117	8786.004	2879.558	8407.232	8250.661	8250.661	2065.859	8471.842	7510.098	2206.862	7996.459	3332.777	5283.679	2587.211	2587.211	2289.633	3378.611	3415.608	8004.31	2472.657	2472.657	8354.942	2446.246	8811.687	8143.389	9264.04	8189.4	2081.863	2081.863	9015.684	9250.331	1931.176	3397.398	8399.638	1955.175	8347.545	8347.545	3248.013	3038.866	8604.842	8832.712	8858.017	3060.947	3060.947	5614.703	9137.563	8059.907	3108.209	8376.473	8922.471	8922.471	8984.743	9037.997	7985.102	2756.386	2551.295	8673.847	9509.504
63	wnt3243.py	2912.448	7718.091	7612.431	8653.831	2841.062	7355.787	3762.063	1795.011	8175.177	7824.747	7031.184	2948.965	2472.997	8928.697	7172.789	3056.026	7913.074	7106.552	2412.086	3695.505	3857.239	4327.506	9173.454	7822.91	3232.37	7890.811	3310.205	7543.82	2428.221	3018.511	8760.247	8106.886	8793.697	2427.907	3302.706	7772.069	7281.496	2484.577	2600.167	8474.262	2224.388	8295.241	8540.12	7510.704	7525.128	7950.859	3477.627	8512.869	4770.14	9148.228	8008.816	4855.375	2245.949	2374.847	3382.539	7239.793	2172.672	8124.626	5011.233	3222.63	7830.054	2418.918	1.0	3805.775	3455.425	6880.094	6880.094	3435.597	7607.599	8828.41	3066.016	1854.07	3386.136	3386.136	6009.969	8242.971	2076.234	3881.953	8318.381	7487.27	1866.848	1866.848	8672.351	7579.678	1599.259	3051.466	6881.682	3297.758	2429.536	2429.536	7545.849	3889.976	7875.782	8371.318	7284.134	3838.407	2874.111	2874.111	1748.392	7127.66	2189.635	7610.222	2484.063	1585.718	1585.718	7410.871	8418.289	1593.5	2952.284	7851.873	2099.041	2741.227	2741.227	2324.78	3751.296	3031.308	3997.776	8673.828	2156.784	2156.784	3044.601	1650.737	2155.115	7110.984	8951.333	3379.289	8450.975	2297.504	2297.504	2067.489	2369.386	2277.247	8061.652	2065.646	3601.545	2265.539	2265.539	3612.263	2770.644	2209.678	7359.742	3276.347	3553.042	8342.479	2130.669	8306.62	8306.62	8645.577	2958.128	8086.278	7027.907	2734.773	7056.112	3201.354	4779.717	3773.853	3773.853	2583.791	2333.629	2370.237	7615.625	2385.489	2475.45	2475.45	3450.623	8500.102	7333.822	8893.666	8178.507	2833.105	1931.01	1931.01	8596.127	2905.883	3736.222	7558.032	2608.931	8359.998	8558.035	8558.035	3271.167	7666.639	8153.178	7966.263	2010.52	7770.095	7770.095	8276.981	7775.37	3323.366	7920.847	8780.819	2533.452	7789.842	7789.842	7056.788	2056.442	3582.725	8274.598	8003.641
